"Step","perplexity_eval - Enron Emails","perplexity_eval - Enron Emails__MIN","perplexity_eval - Enron Emails__MAX"
"0","129.46515328246767","129.46515328246767","129.46515328246767"
"2","30.806746076593303","30.806746076593303","30.806746076593303"
"4","25.456464219801497","25.456464219801497","25.456464219801497"
"6","24.901954126830148","24.901954126830148","24.901954126830148"
"8","25.946614440832988","25.946614440832988","25.946614440832988"
"10","26.152392983082496","26.152392983082496","26.152392983082496"
"12","27.446534117613687","27.446534117613687","27.446534117613687"
"14","24.579853003567987","24.579853003567987","24.579853003567987"
"16","25.85023853283117","25.85023853283117","25.85023853283117"
"18","24.353852787112245","24.353852787112245","24.353852787112245"
"20","24.539838392899767","24.539838392899767","24.539838392899767"
"22","25.29023805608844","25.29023805608844","25.29023805608844"
"24","22.504700466547863","22.504700466547863","22.504700466547863"
"26","24.105512642388295","24.105512642388295","24.105512642388295"
"28","24.330706936770145","24.330706936770145","24.330706936770145"
"30","23.51440016314535","23.51440016314535","23.51440016314535"
"32","24.990514560265115","24.990514560265115","24.990514560265115"
"34","25.445639787806144","25.445639787806144","25.445639787806144"
"36","24.31876542438375","24.31876542438375","24.31876542438375"
"38","24.02015439472576","24.02015439472576","24.02015439472576"
"40","24.74149167679324","24.74149167679324","24.74149167679324"
"42","26.52237335785781","26.52237335785781","26.52237335785781"
"44","24.67763481517829","24.67763481517829","24.67763481517829"
"46","25.742452696762463","25.742452696762463","25.742452696762463"
"48","22.83409215719393","22.83409215719393","22.83409215719393"
"50","24.236888111463863","24.236888111463863","24.236888111463863"
"52","24.52196284119445","24.52196284119445","24.52196284119445"
"54","24.679362272272016","24.679362272272016","24.679362272272016"
"56","23.36998753358822","23.36998753358822","23.36998753358822"
"58","23.478281136550525","23.478281136550525","23.478281136550525"
"60","21.54093082045565","21.54093082045565","21.54093082045565"
"62","23.945121712495784","23.945121712495784","23.945121712495784"
"64","22.63896188311057","22.63896188311057","22.63896188311057"
"66","23.867574713843883","23.867574713843883","23.867574713843883"
"68","22.97939829389648","22.97939829389648","22.97939829389648"
"70","22.9644873425512","22.9644873425512","22.9644873425512"
"72","22.50580729494001","22.50580729494001","22.50580729494001"
"74","22.61784313810934","22.61784313810934","22.61784313810934"
"76","22.40347817439844","22.40347817439844","22.40347817439844"
"78","23.57290383636361","23.57290383636361","23.57290383636361"
"80","23.47614466636488","23.47614466636488","23.47614466636488"
"82","23.1567769200495","23.1567769200495","23.1567769200495"
"84","23.42777948096247","23.42777948096247","23.42777948096247"
"86","22.305725048674216","22.305725048674216","22.305725048674216"
"88","22.839825500120032","22.839825500120032","22.839825500120032"
"90","23.063510814161585","23.063510814161585","23.063510814161585"
"92","23.467131032566037","23.467131032566037","23.467131032566037"
"94","22.888660192253568","22.888660192253568","22.888660192253568"
"96","24.51304990973803","24.51304990973803","24.51304990973803"
"98","23.12574647523389","23.12574647523389","23.12574647523389"
"100","21.367721987242746","21.367721987242746","21.367721987242746"
"102","22.9426103563592","22.9426103563592","22.9426103563592"
"104","21.53658418738016","21.53658418738016","21.53658418738016"
"106","22.62941431798557","22.62941431798557","22.62941431798557"
"108","23.522529291044368","23.522529291044368","23.522529291044368"
"110","21.904540931706386","21.904540931706386","21.904540931706386"
"112","22.944740662480346","22.944740662480346","22.944740662480346"
"114","22.51667744759286","22.51667744759286","22.51667744759286"
"116","23.408305518934043","23.408305518934043","23.408305518934043"
