"Step","downstream_eval - crowspairs","downstream_eval - crowspairs__MIN","downstream_eval - crowspairs__MAX"
"0","48.48069015394398","48.48069015394398","48.48069015394398"
"2","57.59921143790982","57.59921143790982","57.59921143790982"
"4","62.57910105363417","62.57910105363417","62.57910105363417"
"6","64.03542628174243","64.03542628174243","64.03542628174243"
"8","65.41159251121752","65.41159251121752","65.41159251121752"
"10","65.94590844693407","65.94590844693407","65.94590844693407"
"12","65.69618029100269","65.69618029100269","65.69618029100269"
"14","65.23976872144267","65.23976872144267","65.23976872144267"
"16","66.1686997459301","66.1686997459301","66.1686997459301"
"18","65.83383151604846","65.83383151604846","65.83383151604846"
"20","66.93020976485293","66.93020976485293","66.93020976485293"
"22","67.33952082955757","67.33952082955757","67.33952082955757"
"24","65.98331294719559","65.98331294719559","65.98331294719559"
"26","67.22888035026962","67.22888035026962","67.22888035026962"
"28","65.94688022077673","65.94688022077673","65.94688022077673"
"30","67.8024095319274","67.8024095319274","67.8024095319274"
"32","68.07837080707111","68.07837080707111","68.07837080707111"
"34","67.54468034496075","67.54468034496075","67.54468034496075"
"36","69.79963316490971","69.79963316490971","69.79963316490971"
"38","67.64197149854685","67.64197149854685","67.64197149854685"
"40","66.78051738288377","66.78051738288377","66.78051738288377"
"42","68.19366647690212","68.19366647690212","68.19366647690212"
"44","68.10511165305927","68.10511165305927","68.10511165305927"
"46","67.18689040074754","67.18689040074754","67.18689040074754"
"48","65.83379628546851","65.83379628546851","65.83379628546851"
"50","69.51968138966238","69.51968138966238","69.51968138966238"
"52","66.0724395407016","66.0724395407016","66.0724395407016"
"54","67.38223011756116","67.38223011756116","67.38223011756116"
"56","68.1955245528995","68.1955245528995","68.1955245528995"
"58","65.97663295821458","65.97663295821458","65.97663295821458"
"60","66.28527442268536","66.28527442268536","66.28527442268536"
"62","66.91638015455868","66.91638015455868","66.91638015455868"
"64","67.43534970600857","67.43534970600857","67.43534970600857"
"66","65.54353234354872","65.54353234354872","65.54353234354872"
"68","67.26951134116831","67.26951134116831","67.26951134116831"
"70","67.3025232130528","67.3025232130528","67.3025232130528"
"72","65.2290594160439","65.2290594160439","65.2290594160439"
"74","66.68573992994386","66.68573992994386","66.68573992994386"
"76","66.71538739456095","66.71538739456095","66.71538739456095"
"78","67.67328375174318","67.67328375174318","67.67328375174318"
"80","68.40807168863782","68.40807168863782","68.40807168863782"
"82","67.12996833565862","67.12996833565862","67.12996833565862"
"84","68.03718604991909","68.03718604991909","68.03718604991909"
"86","67.64228839724142","67.64228839724142","67.64228839724142"
"88","68.9521295836981","68.9521295836981","68.9521295836981"
"90","68.33746171444734","68.33746171444734","68.33746171444734"
"92","67.20416406185483","67.20416406185483","67.20416406185483"
"94","65.42060608637567","65.42060608637567","65.42060608637567"
"96","66.6732914738309","66.6732914738309","66.6732914738309"
"98","66.60652150251373","66.60652150251373","66.60652150251373"
"100","67.57114929320755","67.57114929320755","67.57114929320755"
"102","66.94273458393674","66.94273458393674","66.94273458393674"
"104","69.143149293132","69.143149293132","69.143149293132"
"106","68.44606517329869","68.44606517329869","68.44606517329869"
"108","68.35312473019475","68.35312473019475","68.35312473019475"
"110","66.69095227703798","66.69095227703798","66.69095227703798"
"112","68.13763340667509","68.13763340667509","68.13763340667509"
"114","67.56141684822353","67.56141684822353","67.56141684822353"
"116","67.95570594634512","67.95570594634512","67.95570594634512"
"118","68.59856528706668","68.59856528706668","68.59856528706668"
"120","65.96480349783192","65.96480349783192","65.96480349783192"
"122","65.7117685666474","65.7117685666474","65.7117685666474"
"124","67.10504948803923","67.10504948803923","67.10504948803923"
"126","68.09184616409551","68.09184616409551","68.09184616409551"
"128","67.66494663365235","67.66494663365235","67.66494663365235"
"130","68.38108828111653","68.38108828111653","68.38108828111653"
"132","67.55805234533027","67.55805234533027","67.55805234533027"
"134","67.55074954165899","67.55074954165899","67.55074954165899"
"136","68.91991039548792","68.91991039548792","68.91991039548792"
"138","66.99352079598653","66.99352079598653","66.99352079598653"
"140","67.54041527820193","67.54041527820193","67.54041527820193"
"142","70.0312058130833","70.0312058130833","70.0312058130833"
"144","70.16069396994584","70.16069396994584","70.16069396994584"
"146","67.83796579772886","67.83796579772886","67.83796579772886"
"148","68.1023728901914","68.1023728901914","68.1023728901914"
"150","69.58888632095046","69.58888632095046","69.58888632095046"
"152","69.86880786152248","69.86880786152248","69.86880786152248"
"154","68.76702919626749","68.76702919626749","68.76702919626749"
