"Step","downstream_eval - race","downstream_eval - race__MIN","downstream_eval - race__MAX"
"0","21.339712918660286","21.339712918660286","21.339712918660286"
"2","26.507177033492823","26.507177033492823","26.507177033492823"
"4","29.1866028708134","29.1866028708134","29.1866028708134"
"6","30.7177033492823","30.7177033492823","30.7177033492823"
"8","31.483253588516746","31.483253588516746","31.483253588516746"
"10","32.344497607655505","32.344497607655505","32.344497607655505"
"12","32.248803827751196","32.248803827751196","32.248803827751196"
"14","31.67464114832536","31.67464114832536","31.67464114832536"
"16","33.014354066985646","33.014354066985646","33.014354066985646"
"18","32.72727272727273","32.72727272727273","32.72727272727273"
"20","34.25837320574163","34.25837320574163","34.25837320574163"
"22","34.64114832535885","34.64114832535885","34.64114832535885"
"24","33.588516746411486","33.588516746411486","33.588516746411486"
"26","33.875598086124405","33.875598086124405","33.875598086124405"
"28","33.11004784688995","33.11004784688995","33.11004784688995"
"30","34.64114832535885","34.64114832535885","34.64114832535885"
"32","35.59808612440191","35.59808612440191","35.59808612440191"
"34","34.73684210526316","34.73684210526316","34.73684210526316"
"36","35.406698564593306","35.406698564593306","35.406698564593306"
"38","36.84210526315789","36.84210526315789","36.84210526315789"
"40","36.07655502392345","36.07655502392345","36.07655502392345"
"42","36.74641148325359","36.74641148325359","36.74641148325359"
"44","35.50239234449761","35.50239234449761","35.50239234449761"
"46","35.98086124401914","35.98086124401914","35.98086124401914"
"48","36.36363636363637","36.36363636363637","36.36363636363637"
"50","36.36363636363637","36.36363636363637","36.36363636363637"
"52","35.406698564593306","35.406698564593306","35.406698564593306"
"54","34.64114832535885","34.64114832535885","34.64114832535885"
"56","37.32057416267943","37.32057416267943","37.32057416267943"
"58","36.36363636363637","36.36363636363637","36.36363636363637"
"60","36.45933014354067","36.45933014354067","36.45933014354067"
"62","37.22488038277512","37.22488038277512","37.22488038277512"
"64","37.03349282296651","37.03349282296651","37.03349282296651"
"66","36.07655502392345","36.07655502392345","36.07655502392345"
"68","36.07655502392345","36.07655502392345","36.07655502392345"
"70","36.17224880382775","36.17224880382775","36.17224880382775"
"72","36.65071770334929","36.65071770334929","36.65071770334929"
"74","37.70334928229665","37.70334928229665","37.70334928229665"
"76","36.55502392344497","36.55502392344497","36.55502392344497"
"78","36.74641148325359","36.74641148325359","36.74641148325359"
"80","37.60765550239235","37.60765550239235","37.60765550239235"
"82","36.17224880382775","36.17224880382775","36.17224880382775"
