"Step","downstream_eval - medical","downstream_eval - medical__MIN","downstream_eval - medical__MAX"
"138","25.262842085813205","25.262842085813205","25.262842085813205"
"140","23.826609170165593","23.826609170165593","23.826609170165593"
"142","23.071788107697465","23.071788107697465","23.071788107697465"
"144","24.733895813744276","24.733895813744276","24.733895813744276"
"146","23.431881871733466","23.431881871733466","23.431881871733466"
"148","26.938057893844718","26.938057893844718","26.938057893844718"
"150","24.902467359295418","24.902467359295418","24.902467359295418"
"152","23.73385123507429","23.73385123507429","23.73385123507429"
"154","24.01352842356595","24.01352842356595","24.01352842356595"
"156","23.82163428903889","23.82163428903889","23.82163428903889"
"158","23.623442965847406","23.623442965847406","23.623442965847406"
"160","23.8905108288848","23.8905108288848","23.8905108288848"
"162","23.371101190113524","23.371101190113524","23.371101190113524"
"164","24.766863217489636","24.766863217489636","24.766863217489636"
"166","24.770752612992613","24.770752612992613","24.770752612992613"
"168","24.154849963906408","24.154849963906408","24.154849963906408"
"170","26.094544177405368","26.094544177405368","26.094544177405368"
"172","23.81248711432304","23.81248711432304","23.81248711432304"
"174","23.269428656995665","23.269428656995665","23.269428656995665"
"176","23.730253160341398","23.730253160341398","23.730253160341398"
"178","23.40613192275286","23.40613192275286","23.40613192275286"
"180","22.74654814810103","22.74654814810103","22.74654814810103"
"182","23.418576641493704","23.418576641493704","23.418576641493704"
"184","24.184143320256553","24.184143320256553","24.184143320256553"
"186","23.002663929403145","23.002663929403145","23.002663929403145"
"188","24.277032230228166","24.277032230228166","24.277032230228166"
"190","23.293480622958164","23.293480622958164","23.293480622958164"
"192","24.150629341846372","24.150629341846372","24.150629341846372"
"194","23.74427881447476","23.74427881447476","23.74427881447476"
"196","25.48601576006115","25.48601576006115","25.48601576006115"
"198","22.78377153675812","22.78377153675812","22.78377153675812"
"200","22.971722821976346","22.971722821976346","22.971722821976346"
"202","23.521689719873123","23.521689719873123","23.521689719873123"
"204","23.77639655566921","23.77639655566921","23.77639655566921"
"206","23.926242258508033","23.926242258508033","23.926242258508033"
"208","22.52146279131741","22.52146279131741","22.52146279131741"
"210","23.583282053436637","23.583282053436637","23.583282053436637"
"212","24.583359173146853","24.583359173146853","24.583359173146853"
"214","24.318740485466645","24.318740485466645","24.318740485466645"
"216","23.981870911726567","23.981870911726567","23.981870911726567"
"218","23.269074172009805","23.269074172009805","23.269074172009805"
"220","25.42689777505628","25.42689777505628","25.42689777505628"
"222","23.972626810727355","23.972626810727355","23.972626810727355"
"224","24.468483520804902","24.468483520804902","24.468483520804902"
"226","23.881070374554177","23.881070374554177","23.881070374554177"
"228","23.443688287519777","23.443688287519777","23.443688287519777"
"230","23.619381412673082","23.619381412673082","23.619381412673082"
"232","23.15212462232536","23.15212462232536","23.15212462232536"
"234","23.19537880530789","23.19537880530789","23.19537880530789"
"236","23.276864067684937","23.276864067684937","23.276864067684937"
"238","24.196484279970385","24.196484279970385","24.196484279970385"
"240","25.13650056193061","25.13650056193061","25.13650056193061"
"242","23.242344513252185","23.242344513252185","23.242344513252185"
"244","25.567561937272437","25.567561937272437","25.567561937272437"
"246","25.41816426319539","25.41816426319539","25.41816426319539"
"248","23.389074744402738","23.389074744402738","23.389074744402738"
"250","23.890680160920827","23.890680160920827","23.890680160920827"
"252","25.683728008713416","25.683728008713416","25.683728008713416"
"254","25.602821849765256","25.602821849765256","25.602821849765256"
"256","24.586670974081656","24.586670974081656","24.586670974081656"
"258","23.64572305712533","23.64572305712533","23.64572305712533"
"260","25.40011554221333","25.40011554221333","25.40011554221333"
"262","26.28897708713701","26.28897708713701","26.28897708713701"
"264","24.986994672204354","24.986994672204354","24.986994672204354"
"266","25.153058806257416","25.153058806257416","25.153058806257416"
"268","27.61983660815274","27.61983660815274","27.61983660815274"
"270","23.896375035350154","23.896375035350154","23.896375035350154"
"272","27.35914829499192","27.35914829499192","27.35914829499192"
"274","23.67705462366692","23.67705462366692","23.67705462366692"
"276","27.13352924812824","27.13352924812824","27.13352924812824"
"278","26.645879680561052","26.645879680561052","26.645879680561052"
"280","27.224168606847257","27.224168606847257","27.224168606847257"
"282","26.061976551050037","26.061976551050037","26.061976551050037"
"284","26.903969324625486","26.903969324625486","26.903969324625486"
"286","25.706919115548764","25.706919115548764","25.706919115548764"
"288","27.319767645587042","27.319767645587042","27.319767645587042"
"290","25.175934930269445","25.175934930269445","25.175934930269445"
"292","27.744087976268485","27.744087976268485","27.744087976268485"
"294","26.749947100125553","26.749947100125553","26.749947100125553"
"296","25.13019546257599","25.13019546257599","25.13019546257599"
"298","26.72807488455903","26.72807488455903","26.72807488455903"
"300","25.928079598419394","25.928079598419394","25.928079598419394"
"302","26.42937271523514","26.42937271523514","26.42937271523514"
"304","27.597515896973597","27.597515896973597","27.597515896973597"
"306","26.20801762785546","26.20801762785546","26.20801762785546"
"308","26.664072996412536","26.664072996412536","26.664072996412536"
"310","27.845020076953084","27.845020076953084","27.845020076953084"
"312","27.250285569558265","27.250285569558265","27.250285569558265"
"314","27.75879584365673","27.75879584365673","27.75879584365673"
"316","27.594896388799924","27.594896388799924","27.594896388799924"
"318","26.117449212740325","26.117449212740325","26.117449212740325"
"320","26.49232553326949","26.49232553326949","26.49232553326949"
"322","25.976221708628533","25.976221708628533","25.976221708628533"
"324","27.437374732637227","27.437374732637227","27.437374732637227"
"326","27.51298520743786","27.51298520743786","27.51298520743786"
"328","28.326549046630568","28.326549046630568","28.326549046630568"
"330","27.708823724175097","27.708823724175097","27.708823724175097"
"332","28.236409508172038","28.236409508172038","28.236409508172038"
"334","28.207656331977073","28.207656331977073","28.207656331977073"
"336","27.13936916240534","27.13936916240534","27.13936916240534"
"338","28.50136864702702","28.50136864702702","28.50136864702702"
"340","28.49485462550649","28.49485462550649","28.49485462550649"
"342","28.457423102722352","28.457423102722352","28.457423102722352"
"344","28.92650183176581","28.92650183176581","28.92650183176581"
"346","28.79438220697798","28.79438220697798","28.79438220697798"
"348","27.75767486142986","27.75767486142986","27.75767486142986"
"350","26.31747156140894","26.31747156140894","26.31747156140894"
"352","29.83590036421869","29.83590036421869","29.83590036421869"
"354","29.09466153992404","29.09466153992404","29.09466153992404"
