"Step","perplexity_eval - HackerNews","perplexity_eval - HackerNews__MIN","perplexity_eval - HackerNews__MAX"
"0","129.51720832726534","129.51720832726534","129.51720832726534"
"2","37.09843004684822","37.09843004684822","37.09843004684822"
"4","31.046669948334788","31.046669948334788","31.046669948334788"
"6","28.92457623662902","28.92457623662902","28.92457623662902"
"8","28.16700788397415","28.16700788397415","28.16700788397415"
"10","26.720160357508004","26.720160357508004","26.720160357508004"
"12","28.38045071679003","28.38045071679003","28.38045071679003"
"14","28.37792366889177","28.37792366889177","28.37792366889177"
"16","27.341574736377773","27.341574736377773","27.341574736377773"
"18","25.353884821428974","25.353884821428974","25.353884821428974"
"20","23.706844266723184","23.706844266723184","23.706844266723184"
"22","24.3256621717238","24.3256621717238","24.3256621717238"
"24","23.75893013442264","23.75893013442264","23.75893013442264"
"26","23.63962896226668","23.63962896226668","23.63962896226668"
"28","24.78486567005223","24.78486567005223","24.78486567005223"
"30","24.598548200492765","24.598548200492765","24.598548200492765"
"32","24.72337711383315","24.72337711383315","24.72337711383315"
"34","23.23066366858342","23.23066366858342","23.23066366858342"
"36","23.95310606471464","23.95310606471464","23.95310606471464"
"38","23.21387815563118","23.21387815563118","23.21387815563118"
"40","24.144386687699487","24.144386687699487","24.144386687699487"
"42","25.98697065313657","25.98697065313657","25.98697065313657"
"44","24.1328041343128","24.1328041343128","24.1328041343128"
"46","23.17056352893512","23.17056352893512","23.17056352893512"
"48","23.2115386280359","23.2115386280359","23.2115386280359"
"50","24.164280283977003","24.164280283977003","24.164280283977003"
"52","26.01883334155176","26.01883334155176","26.01883334155176"
"54","25.018213671212106","25.018213671212106","25.018213671212106"
"56","29.44012715711313","29.44012715711313","29.44012715711313"
"58","22.93909062094548","22.93909062094548","22.93909062094548"
"60","22.596045522128836","22.596045522128836","22.596045522128836"
"62","22.697811377691288","22.697811377691288","22.697811377691288"
"64","23.879054203045133","23.879054203045133","23.879054203045133"
"66","21.5907290671386","21.5907290671386","21.5907290671386"
"68","22.16112479275348","22.16112479275348","22.16112479275348"
"70","22.786112570295145","22.786112570295145","22.786112570295145"
"72","21.94162092810752","21.94162092810752","21.94162092810752"
"74","22.996242175207417","22.996242175207417","22.996242175207417"
"76","22.2474155087097","22.2474155087097","22.2474155087097"
"78","23.48467638036784","23.48467638036784","23.48467638036784"
"80","21.0020807107874","21.0020807107874","21.0020807107874"
"82","21.1193976671088","21.1193976671088","21.1193976671088"
"84","21.31108424973254","21.31108424973254","21.31108424973254"
"86","22.29685982681957","22.29685982681957","22.29685982681957"
"88","21.58204613859747","21.58204613859747","21.58204613859747"
"90","21.61730472948037","21.61730472948037","21.61730472948037"
"92","21.421309191514464","21.421309191514464","21.421309191514464"
"94","19.44761776339774","19.44761776339774","19.44761776339774"
"96","21.674100723044543","21.674100723044543","21.674100723044543"
"98","22.38858763289218","22.38858763289218","22.38858763289218"
"100","20.540627955221662","20.540627955221662","20.540627955221662"
"102","21.52258414030075","21.52258414030075","21.52258414030075"
"104","19.72612516728102","19.72612516728102","19.72612516728102"
"106","20.007159832061507","20.007159832061507","20.007159832061507"
"108","22.474460662287825","22.474460662287825","22.474460662287825"
"110","20.920957471517955","20.920957471517955","20.920957471517955"
