"Step","perplexity_eval - DM Mathematics","perplexity_eval - DM Mathematics__MIN","perplexity_eval - DM Mathematics__MAX"
"0","46.1579967105798","46.1579967105798","46.1579967105798"
"2","23.37159926412505","23.37159926412505","23.37159926412505"
"4","20.40922310920461","20.40922310920461","20.40922310920461"
"6","19.737528115728026","19.737528115728026","19.737528115728026"
"8","19.23393805118803","19.23393805118803","19.23393805118803"
"10","18.02934431831249","18.02934431831249","18.02934431831249"
"12","18.756167948432072","18.756167948432072","18.756167948432072"
"14","17.858404184851512","17.858404184851512","17.858404184851512"
"16","16.885902895019406","16.885902895019406","16.885902895019406"
"18","16.878956749089426","16.878956749089426","16.878956749089426"
"20","17.094255826103577","17.094255826103577","17.094255826103577"
"22","17.362643569366742","17.362643569366742","17.362643569366742"
"24","16.74871078688694","16.74871078688694","16.74871078688694"
"26","17.0868031575454","17.0868031575454","17.0868031575454"
"28","16.83241125882354","16.83241125882354","16.83241125882354"
"30","17.03496763460594","17.03496763460594","17.03496763460594"
"32","17.794148673872296","17.794148673872296","17.794148673872296"
"34","16.954705184877973","16.954705184877973","16.954705184877973"
"36","16.866671492232243","16.866671492232243","16.866671492232243"
"38","17.026978425751366","17.026978425751366","17.026978425751366"
"40","17.28857745365099","17.28857745365099","17.28857745365099"
"42","18.287946447497475","18.287946447497475","18.287946447497475"
"44","16.994277844195807","16.994277844195807","16.994277844195807"
"46","17.190617434564167","17.190617434564167","17.190617434564167"
"48","16.89104151862221","16.89104151862221","16.89104151862221"
"50","17.834742091324774","17.834742091324774","17.834742091324774"
"52","17.108732938518386","17.108732938518386","17.108732938518386"
"54","16.816187992304346","16.816187992304346","16.816187992304346"
"56","16.87989051880375","16.87989051880375","16.87989051880375"
"58","16.505777951209776","16.505777951209776","16.505777951209776"
"60","16.42059284367993","16.42059284367993","16.42059284367993"
"62","17.142540150204756","17.142540150204756","17.142540150204756"
"64","17.13731510011512","17.13731510011512","17.13731510011512"
"66","16.919637432951834","16.919637432951834","16.919637432951834"
"68","17.585431188500014","17.585431188500014","17.585431188500014"
"70","17.073939087487656","17.073939087487656","17.073939087487656"
"72","17.357237859521522","17.357237859521522","17.357237859521522"
