"Step","downstream_eval - computer_science","downstream_eval - computer_science__MIN","downstream_eval - computer_science__MAX"
"0","24.223214285714285","24.223214285714285","24.223214285714285"
"2","21.30357142857143","21.30357142857143","21.30357142857143"
"4","23.75892857142857","23.75892857142857","23.75892857142857"
"6","27.785714285714285","27.785714285714285","27.785714285714285"
"8","26.5","26.5","26.5"
"10","25.589285714285715","25.589285714285715","25.589285714285715"
"12","29.69642857142857","29.69642857142857","29.69642857142857"
"14","27.61607142857143","27.61607142857143","27.61607142857143"
"16","26.88392857142857","26.88392857142857","26.88392857142857"
"18","27.267857142857142","27.267857142857142","27.267857142857142"
"20","27.49107142857143","27.49107142857143","27.49107142857143"
"22","25.026785714285715","25.026785714285715","25.026785714285715"
"24","29.11607142857143","29.11607142857143","29.11607142857143"
"26","30.8125","30.8125","30.8125"
"28","25.24107142857143","25.24107142857143","25.24107142857143"
"30","29.5625","29.5625","29.5625"
"32","28.42857142857143","28.42857142857143","28.42857142857143"
"34","27.0625","27.0625","27.0625"
"36","25.5625","25.5625","25.5625"
"38","30","30","30"
"40","33.36607142857143","33.36607142857143","33.36607142857143"
"42","29.3125","29.3125","29.3125"
"44","26.589285714285715","26.589285714285715","26.589285714285715"
"46","28.535714285714285","28.535714285714285","28.535714285714285"
"48","26.392857142857142","26.392857142857142","26.392857142857142"
"50","28.00892857142857","28.00892857142857","28.00892857142857"
"52","26.839285714285715","26.839285714285715","26.839285714285715"
"54","27.25892857142857","27.25892857142857","27.25892857142857"
"56","29.035714285714285","29.035714285714285","29.035714285714285"
"58","25.642857142857142","25.642857142857142","25.642857142857142"
"60","26.69642857142857","26.69642857142857","26.69642857142857"
"62","27.901785714285715","27.901785714285715","27.901785714285715"
"64","30.50892857142857","30.50892857142857","30.50892857142857"
"66","28.035714285714285","28.035714285714285","28.035714285714285"
"68","31.035714285714285","31.035714285714285","31.035714285714285"
"70","29.0625","29.0625","29.0625"
"72","27.723214285714285","27.723214285714285","27.723214285714285"
"74","27.526785714285715","27.526785714285715","27.526785714285715"
"76","29.0625","29.0625","29.0625"
"78","27.339285714285715","27.339285714285715","27.339285714285715"
"80","28.142857142857142","28.142857142857142","28.142857142857142"
"82","28.0625","28.0625","28.0625"
"84","29.0625","29.0625","29.0625"
"86","28.526785714285715","28.526785714285715","28.526785714285715"
"88","28.830357142857142","28.830357142857142","28.830357142857142"
"90","30.8125","30.8125","30.8125"
"92","28.669642857142858","28.669642857142858","28.669642857142858"
"94","26.169642857142858","26.169642857142858","26.169642857142858"
"96","28.8125","28.8125","28.8125"
