"Step","perplexity_eval - FreeLaw","perplexity_eval - FreeLaw__MIN","perplexity_eval - FreeLaw__MAX"
"0","58.05082016476368","58.05082016476368","58.05082016476368"
"2","10.861764290150042","10.861764290150042","10.861764290150042"
"4","8.905398676966106","8.905398676966106","8.905398676966106"
"6","8.595337035772356","8.595337035772356","8.595337035772356"
"8","8.627870630012076","8.627870630012076","8.627870630012076"
"10","8.966633435722146","8.966633435722146","8.966633435722146"
"12","9.034199892013968","9.034199892013968","9.034199892013968"
"14","8.56448395414414","8.56448395414414","8.56448395414414"
"16","8.935605153596255","8.935605153596255","8.935605153596255"
"18","8.781411846065915","8.781411846065915","8.781411846065915"
"20","8.119366864320508","8.119366864320508","8.119366864320508"
"22","7.9429999964070355","7.9429999964070355","7.9429999964070355"
"24","7.623028759511399","7.623028759511399","7.623028759511399"
"26","7.824513364973967","7.824513364973967","7.824513364973967"
"28","7.990881091822505","7.990881091822505","7.990881091822505"
"30","7.925979308534243","7.925979308534243","7.925979308534243"
"32","8.039548528916553","8.039548528916553","8.039548528916553"
"34","7.979316442018863","7.979316442018863","7.979316442018863"
"36","7.969260011039933","7.969260011039933","7.969260011039933"
"38","7.443390767542994","7.443390767542994","7.443390767542994"
"40","7.5501881309453935","7.5501881309453935","7.5501881309453935"
"42","8.590156828649043","8.590156828649043","8.590156828649043"
"44","7.882546659217959","7.882546659217959","7.882546659217959"
"46","7.975117146092474","7.975117146092474","7.975117146092474"
"48","7.508954111442125","7.508954111442125","7.508954111442125"
"50","7.97418614065757","7.97418614065757","7.97418614065757"
"52","7.9504755404714835","7.9504755404714835","7.9504755404714835"
"54","8.345859074868354","8.345859074868354","8.345859074868354"
"56","8.04418617065129","8.04418617065129","8.04418617065129"
"58","7.566199156261617","7.566199156261617","7.566199156261617"
"60","7.552461751300525","7.552461751300525","7.552461751300525"
"62","7.497912541694955","7.497912541694955","7.497912541694955"
"64","7.784434640975448","7.784434640975448","7.784434640975448"
"66","7.40660451232534","7.40660451232534","7.40660451232534"
"68","7.339926590921364","7.339926590921364","7.339926590921364"
"70","7.98131222433727","7.98131222433727","7.98131222433727"
"72","7.441408966621028","7.441408966621028","7.441408966621028"
"74","7.1916854417784455","7.1916854417784455","7.1916854417784455"
"76","7.392525186353607","7.392525186353607","7.392525186353607"
"78","7.538730939494187","7.538730939494187","7.538730939494187"
"80","7.539981043495353","7.539981043495353","7.539981043495353"
"82","7.059556510980819","7.059556510980819","7.059556510980819"
"84","7.4674509840604255","7.4674509840604255","7.4674509840604255"
"86","7.5974093642662","7.5974093642662","7.5974093642662"
"88","7.185327931867583","7.185327931867583","7.185327931867583"
"90","7.324272254242006","7.324272254242006","7.324272254242006"
"92","7.814493043355862","7.814493043355862","7.814493043355862"
"94","6.776361210466343","6.776361210466343","6.776361210466343"
"96","7.107508149620973","7.107508149620973","7.107508149620973"
"98","7.270264814096768","7.270264814096768","7.270264814096768"
"100","7.13024570906403","7.13024570906403","7.13024570906403"
"102","7.653742758485995","7.653742758485995","7.653742758485995"
"104","7.281314020109186","7.281314020109186","7.281314020109186"
"106","7.092160309559923","7.092160309559923","7.092160309559923"
"108","7.797504286419245","7.797504286419245","7.797504286419245"
"110","7.514789095347452","7.514789095347452","7.514789095347452"
"112","7.537762131837741","7.537762131837741","7.537762131837741"
"114","7.236161813738766","7.236161813738766","7.236161813738766"
"116","7.768939110139518","7.768939110139518","7.768939110139518"
"118","7.077886427460734","7.077886427460734","7.077886427460734"
"120","7.221668226581956","7.221668226581956","7.221668226581956"
"122","7.479934451954431","7.479934451954431","7.479934451954431"
"124","7.811226888348883","7.811226888348883","7.811226888348883"
"126","7.394109255938968","7.394109255938968","7.394109255938968"
"128","7.001132116414032","7.001132116414032","7.001132116414032"
"130","7.091557070592459","7.091557070592459","7.091557070592459"
"132","7.603704333048292","7.603704333048292","7.603704333048292"
"134","7.379631477953102","7.379631477953102","7.379631477953102"
"136","7.666158257337487","7.666158257337487","7.666158257337487"
"138","7.048050573376482","7.048050573376482","7.048050573376482"
"140","7.2250351972894045","7.2250351972894045","7.2250351972894045"
"142","6.838023326416105","6.838023326416105","6.838023326416105"
"144","6.966174350114833","6.966174350114833","6.966174350114833"
"146","7.299274566149716","7.299274566149716","7.299274566149716"
"148","7.055026100000151","7.055026100000151","7.055026100000151"
"150","7.022871022083272","7.022871022083272","7.022871022083272"
"152","7.445231193819366","7.445231193819366","7.445231193819366"
"154","7.217395302268295","7.217395302268295","7.217395302268295"
"156","7.445874772897259","7.445874772897259","7.445874772897259"
"158","7.165665375487614","7.165665375487614","7.165665375487614"
"160","7.1923863395852825","7.1923863395852825","7.1923863395852825"
"162","7.253256671430083","7.253256671430083","7.253256671430083"
"164","6.857688303765912","6.857688303765912","6.857688303765912"
"166","7.253744929941279","7.253744929941279","7.253744929941279"
"168","7.023197591713751","7.023197591713751","7.023197591713751"
"170","7.385359235147336","7.385359235147336","7.385359235147336"
"172","7.057587587723567","7.057587587723567","7.057587587723567"
"174","7.020210675061205","7.020210675061205","7.020210675061205"
"176","7.300501742191909","7.300501742191909","7.300501742191909"
"178","7.399446302524994","7.399446302524994","7.399446302524994"
"180","7.061913604223127","7.061913604223127","7.061913604223127"
"182","7.0818019348881895","7.0818019348881895","7.0818019348881895"
"184","7.294767624208727","7.294767624208727","7.294767624208727"
"186","7.438917091140044","7.438917091140044","7.438917091140044"
"188","7.106700114562591","7.106700114562591","7.106700114562591"
"190","6.986535292610284","6.986535292610284","6.986535292610284"
"192","6.9809862468504855","6.9809862468504855","6.9809862468504855"
"194","7.152855290171914","7.152855290171914","7.152855290171914"
"196","7.148449341798853","7.148449341798853","7.148449341798853"
"198","7.061650002570602","7.061650002570602","7.061650002570602"
"200","7.125872690895917","7.125872690895917","7.125872690895917"
"202","7.218281343623111","7.218281343623111","7.218281343623111"
"204","6.794901928885781","6.794901928885781","6.794901928885781"
"206","6.952246481403373","6.952246481403373","6.952246481403373"
"208","6.9483987081988","6.9483987081988","6.9483987081988"
"210","6.76758385022419","6.76758385022419","6.76758385022419"
"212","6.831859450016833","6.831859450016833","6.831859450016833"
"214","6.963348160512633","6.963348160512633","6.963348160512633"
"216","6.904553793968114","6.904553793968114","6.904553793968114"
"218","7.211496250813112","7.211496250813112","7.211496250813112"
"220","7.278426508953983","7.278426508953983","7.278426508953983"
"222","6.975778391748707","6.975778391748707","6.975778391748707"
"224","7.103035231333951","7.103035231333951","7.103035231333951"
"226","7.021113475405265","7.021113475405265","7.021113475405265"
"228","7.113130937812609","7.113130937812609","7.113130937812609"
"230","6.911215783941631","6.911215783941631","6.911215783941631"
"232","6.995224550971095","6.995224550971095","6.995224550971095"
"234","7.108432776295562","7.108432776295562","7.108432776295562"
"236","7.032275345881204","7.032275345881204","7.032275345881204"
"238","7.0485797751957096","7.0485797751957096","7.0485797751957096"
"240","7.087657209168087","7.087657209168087","7.087657209168087"
"242","7.049575440113836","7.049575440113836","7.049575440113836"
"244","6.957900744423028","6.957900744423028","6.957900744423028"
"246","6.97103536437479","6.97103536437479","6.97103536437479"
"248","7.060520932244871","7.060520932244871","7.060520932244871"
"250","7.0323475814992085","7.0323475814992085","7.0323475814992085"
"252","6.943986408735252","6.943986408735252","6.943986408735252"
