"Step","perplexity_eval - average per doc","perplexity_eval - average per doc__MIN","perplexity_eval - average per doc__MAX"
"0","159.50507566315056","159.50507566315056","159.50507566315056"
"2","23.444967160191972","23.444967160191972","23.444967160191972"
"4","17.957198608034812","17.957198608034812","17.957198608034812"
"6","17.008790519149578","17.008790519149578","17.008790519149578"
"8","16.520698177166995","16.520698177166995","16.520698177166995"
"10","16.72832491034453","16.72832491034453","16.72832491034453"
"12","16.905598191720927","16.905598191720927","16.905598191720927"
"14","15.686316044873212","15.686316044873212","15.686316044873212"
"16","16.140326878377387","16.140326878377387","16.140326878377387"
"18","15.980037599160775","15.980037599160775","15.980037599160775"
"20","15.754517623432886","15.754517623432886","15.754517623432886"
"22","16.000131812132942","16.000131812132942","16.000131812132942"
"24","14.661031401795215","14.661031401795215","14.661031401795215"
"26","15.69748557455121","15.69748557455121","15.69748557455121"
"28","15.647730140104096","15.647730140104096","15.647730140104096"
"30","15.493536726093264","15.493536726093264","15.493536726093264"
"32","15.42344558546568","15.42344558546568","15.42344558546568"
"34","15.769435477595952","15.769435477595952","15.769435477595952"
"36","15.10441348912738","15.10441348912738","15.10441348912738"
"38","15.376842045709578","15.376842045709578","15.376842045709578"
"40","15.412417360874256","15.412417360874256","15.412417360874256"
"42","16.365406513215433","16.365406513215433","16.365406513215433"
"44","15.571380147061012","15.571380147061012","15.571380147061012"
"46","15.87540805969655","15.87540805969655","15.87540805969655"
"48","14.594850162704814","14.594850162704814","14.594850162704814"
"50","15.797087971824832","15.797087971824832","15.797087971824832"
"52","15.413260302699191","15.413260302699191","15.413260302699191"
"54","15.842403471269956","15.842403471269956","15.842403471269956"
"56","15.654559343781802","15.654559343781802","15.654559343781802"
"58","14.801940234102002","14.801940234102002","14.801940234102002"
"60","14.144025830164743","14.144025830164743","14.144025830164743"
"62","14.817920293897496","14.817920293897496","14.817920293897496"
"64","14.977794707084811","14.977794707084811","14.977794707084811"
"66","14.73692332659926","14.73692332659926","14.73692332659926"
"68","14.17146152374007","14.17146152374007","14.17146152374007"
"70","14.624576313094613","14.624576313094613","14.624576313094613"
"72","14.681382420020418","14.681382420020418","14.681382420020418"
"74","14.401859915212947","14.401859915212947","14.401859915212947"
"76","13.90019338799178","13.90019338799178","13.90019338799178"
"78","14.353563082533883","14.353563082533883","14.353563082533883"
"80","14.280351406345314","14.280351406345314","14.280351406345314"
"82","14.161346859380831","14.161346859380831","14.161346859380831"
"84","14.608162953940012","14.608162953940012","14.608162953940012"
"86","14.17656301602429","14.17656301602429","14.17656301602429"
"88","14.635625030416085","14.635625030416085","14.635625030416085"
"90","14.451256804595705","14.451256804595705","14.451256804595705"
"92","14.831826676352074","14.831826676352074","14.831826676352074"
"94","14.29675232948198","14.29675232948198","14.29675232948198"
"96","15.57743995713222","15.57743995713222","15.57743995713222"
"98","14.53569185420857","14.53569185420857","14.53569185420857"
