"Step","perplexity_eval - StackExchange","perplexity_eval - StackExchange__MIN","perplexity_eval - StackExchange__MAX"
"0","97.0442129910616","97.0442129910616","97.0442129910616"
"2","28.99571552134712","28.99571552134712","28.99571552134712"
"4","23.91436242000857","23.91436242000857","23.91436242000857"
"6","21.97968358316685","21.97968358316685","21.97968358316685"
"8","19.57376045144423","19.57376045144423","19.57376045144423"
"10","22.455841477812456","22.455841477812456","22.455841477812456"
"12","20.36042848371268","20.36042848371268","20.36042848371268"
"14","20.23713673379958","20.23713673379958","20.23713673379958"
"16","21.67570306214251","21.67570306214251","21.67570306214251"
"18","23.54223950189084","23.54223950189084","23.54223950189084"
"20","23.343723040476583","23.343723040476583","23.343723040476583"
"22","22.971798516880085","22.971798516880085","22.971798516880085"
"24","20.837003262599136","20.837003262599136","20.837003262599136"
"26","23.14704479986923","23.14704479986923","23.14704479986923"
"28","23.426941438756927","23.426941438756927","23.426941438756927"
"30","22.1653896737455","22.1653896737455","22.1653896737455"
"32","18.543511095766853","18.543511095766853","18.543511095766853"
"34","20.515753070223017","20.515753070223017","20.515753070223017"
"36","19.590207532486755","19.590207532486755","19.590207532486755"
"38","21.42134736660902","21.42134736660902","21.42134736660902"
"40","20.515737365087816","20.515737365087816","20.515737365087816"
"42","20.75129684774673","20.75129684774673","20.75129684774673"
"44","21.144491792933813","21.144491792933813","21.144491792933813"
"46","20.392748593028315","20.392748593028315","20.392748593028315"
"48","19.93678460066844","19.93678460066844","19.93678460066844"
"50","21.863296384690223","21.863296384690223","21.863296384690223"
"52","19.99982414168534","19.99982414168534","19.99982414168534"
"54","22.87497389183921","22.87497389183921","22.87497389183921"
"56","23.33867113677672","23.33867113677672","23.33867113677672"
"58","18.423715569298185","18.423715569298185","18.423715569298185"
"60","19.703901366552092","19.703901366552092","19.703901366552092"
"62","20.41139221617574","20.41139221617574","20.41139221617574"
"64","22.208491076960986","22.208491076960986","22.208491076960986"
"66","19.35609379778637","19.35609379778637","19.35609379778637"
"68","18.53498709186901","18.53498709186901","18.53498709186901"
"70","19.68135966985596","19.68135966985596","19.68135966985596"
"72","19.06086142942632","19.06086142942632","19.06086142942632"
"74","20.18394678932737","20.18394678932737","20.18394678932737"
"76","17.923343514209442","17.923343514209442","17.923343514209442"
"78","18.64786266941528","18.64786266941528","18.64786266941528"
"80","18.153830118188427","18.153830118188427","18.153830118188427"
"82","17.977122335470376","17.977122335470376","17.977122335470376"
"84","19.24555869338401","19.24555869338401","19.24555869338401"
"86","18.00428326146081","18.00428326146081","18.00428326146081"
"88","20.815655140073407","20.815655140073407","20.815655140073407"
"90","20.215751409169613","20.215751409169613","20.215751409169613"
"92","19.98699863830998","19.98699863830998","19.98699863830998"
"94","19.732581710444983","19.732581710444983","19.732581710444983"
"96","22.8789838769954","22.8789838769954","22.8789838769954"
"98","19.4617585801915","19.4617585801915","19.4617585801915"
"100","19.296866682544422","19.296866682544422","19.296866682544422"
"102","19.04852849301188","19.04852849301188","19.04852849301188"
"104","17.40994870747452","17.40994870747452","17.40994870747452"
"106","20.46675194092269","20.46675194092269","20.46675194092269"
"108","23.402074223910223","23.402074223910223","23.402074223910223"
"110","21.651388713563044","21.651388713563044","21.651388713563044"
"112","22.01881127078394","22.01881127078394","22.01881127078394"
"114","19.064463370673096","19.064463370673096","19.064463370673096"
"116","22.04504113944808","22.04504113944808","22.04504113944808"
"118","20.54672980605202","20.54672980605202","20.54672980605202"
"120","21.04469278737912","21.04469278737912","21.04469278737912"
"122","19.311410905264893","19.311410905264893","19.311410905264893"
"124","22.38918438478269","22.38918438478269","22.38918438478269"
"126","20.69184307727453","20.69184307727453","20.69184307727453"
"128","20.64744705706197","20.64744705706197","20.64744705706197"
"130","20.132168206070432","20.132168206070432","20.132168206070432"
"132","20.338896316728235","20.338896316728235","20.338896316728235"
"134","20.32567352734997","20.32567352734997","20.32567352734997"
"136","21.539029659893085","21.539029659893085","21.539029659893085"
"138","19.86331090507078","19.86331090507078","19.86331090507078"
"140","18.432046869170147","18.432046869170147","18.432046869170147"
"142","18.426123836566497","18.426123836566497","18.426123836566497"
"144","20.898669634807792","20.898669634807792","20.898669634807792"
"146","20.02360678153917","20.02360678153917","20.02360678153917"
"148","21.48036428897704","21.48036428897704","21.48036428897704"
"150","20.65420572209432","20.65420572209432","20.65420572209432"
"152","20.90015675588501","20.90015675588501","20.90015675588501"
"154","19.501106557581423","19.501106557581423","19.501106557581423"
"156","19.97326231605565","19.97326231605565","19.97326231605565"
"158","20.395537474681426","20.395537474681426","20.395537474681426"
"160","20.215542457346874","20.215542457346874","20.215542457346874"
"162","19.264422229149584","19.264422229149584","19.264422229149584"
"164","18.870338325927754","18.870338325927754","18.870338325927754"
"166","20.07608125274008","20.07608125274008","20.07608125274008"
"168","20.01872792379892","20.01872792379892","20.01872792379892"
"170","20.4087221397532","20.4087221397532","20.4087221397532"
"172","21.045009357352058","21.045009357352058","21.045009357352058"
"174","19.73388117526296","19.73388117526296","19.73388117526296"
"176","19.62671072858687","19.62671072858687","19.62671072858687"
"178","19.478567300739748","19.478567300739748","19.478567300739748"
"180","19.486816011962272","19.486816011962272","19.486816011962272"
"182","18.93012712545537","18.93012712545537","18.93012712545537"
"184","20.440542256544088","20.440542256544088","20.440542256544088"
"186","19.29809381856811","19.29809381856811","19.29809381856811"
"188","20.752095409060917","20.752095409060917","20.752095409060917"
"190","19.735940206261997","19.735940206261997","19.735940206261997"
"192","20.379003654388686","20.379003654388686","20.379003654388686"
"194","22.0645329208526","22.0645329208526","22.0645329208526"
"196","20.952821186119547","20.952821186119547","20.952821186119547"
"198","19.73017220436228","19.73017220436228","19.73017220436228"
"200","19.88135806440059","19.88135806440059","19.88135806440059"
"202","21.643990712809718","21.643990712809718","21.643990712809718"
"204","19.669726576388523","19.669726576388523","19.669726576388523"
"206","19.909488810396656","19.909488810396656","19.909488810396656"
"208","20.659129823279965","20.659129823279965","20.659129823279965"
"210","20.734111826935784","20.734111826935784","20.734111826935784"
"212","18.42979065587392","18.42979065587392","18.42979065587392"
"214","19.757263527102356","19.757263527102356","19.757263527102356"
"216","19.9382827474787","19.9382827474787","19.9382827474787"
"218","19.999245700092786","19.999245700092786","19.999245700092786"
"220","19.611267145740022","19.611267145740022","19.611267145740022"
"222","18.998817664418983","18.998817664418983","18.998817664418983"
"224","20.506528668064888","20.506528668064888","20.506528668064888"
"226","19.698193365703947","19.698193365703947","19.698193365703947"
"228","20.71477359119307","20.71477359119307","20.71477359119307"
"230","19.75163841268749","19.75163841268749","19.75163841268749"
"232","19.603590743938376","19.603590743938376","19.603590743938376"
"234","20.711422628784707","20.711422628784707","20.711422628784707"
"236","21.18202408303925","21.18202408303925","21.18202408303925"
"238","20.932336410687213","20.932336410687213","20.932336410687213"
"240","19.829743374719605","19.829743374719605","19.829743374719605"
"242","19.75780553695","19.75780553695","19.75780553695"
"244","19.38801065992827","19.38801065992827","19.38801065992827"
"246","21.11519660437364","21.11519660437364","21.11519660437364"
"248","20.38523518769954","20.38523518769954","20.38523518769954"
"250","19.56648011267699","19.56648011267699","19.56648011267699"
"252","20.55705651039901","20.55705651039901","20.55705651039901"
"254","20.256410271445368","20.256410271445368","20.256410271445368"
"256","19.68250313043924","19.68250313043924","19.68250313043924"
"258","20.4723465978546","20.4723465978546","20.4723465978546"
"260","20.708783138825662","20.708783138825662","20.708783138825662"
"262","19.83204357755436","19.83204357755436","19.83204357755436"
"264","20.081721371224308","20.081721371224308","20.081721371224308"
"266","19.8052244951463","19.8052244951463","19.8052244951463"
"268","21.216607523824663","21.216607523824663","21.216607523824663"
"270","20.75160225516554","20.75160225516554","20.75160225516554"
"272","19.98306932557021","19.98306932557021","19.98306932557021"
"274","20.785235135470035","20.785235135470035","20.785235135470035"
"276","20.4292482629696","20.4292482629696","20.4292482629696"
"278","19.955111201547695","19.955111201547695","19.955111201547695"
"280","20.44955570905453","20.44955570905453","20.44955570905453"
"282","19.732791341122603","19.732791341122603","19.732791341122603"
"284","19.963148772720448","19.963148772720448","19.963148772720448"
"286","21.591194749671168","21.591194749671168","21.591194749671168"
"288","21.58711758384476","21.58711758384476","21.58711758384476"
"290","20.78294515021112","20.78294515021112","20.78294515021112"
"292","20.995878854225808","20.995878854225808","20.995878854225808"
"294","19.751977888134046","19.751977888134046","19.751977888134046"
"296","20.559429088678925","20.559429088678925","20.559429088678925"
"298","20.182182167130325","20.182182167130325","20.182182167130325"
"300","20.038906140876527","20.038906140876527","20.038906140876527"
