"Step","downstream_eval - phsychology","downstream_eval - phsychology__MIN","downstream_eval - phsychology__MAX"
"0","23.79333286644723","23.79333286644723","23.79333286644723"
"2","24.04528047572337","24.04528047572337","24.04528047572337"
"4","24.956915262155785","24.956915262155785","24.956915262155785"
"6","24.58891822947635","24.58891822947635","24.58891822947635"
"8","23.722548508474365","23.722548508474365","23.722548508474365"
"10","23.758600965111555","23.758600965111555","23.758600965111555"
"12","27.05107032113372","27.05107032113372","27.05107032113372"
"14","24.238092993031344","24.238092993031344","24.238092993031344"
"16","23.92026867006578","23.92026867006578","23.92026867006578"
"18","22.18017272039427","22.18017272039427","22.18017272039427"
"20","24.106374658398817","24.106374658398817","24.106374658398817"
"22","23.12820249918333","23.12820249918333","23.12820249918333"
"24","22.69254054852404","22.69254054852404","22.69254054852404"
"26","26.288075439029328","26.288075439029328","26.288075439029328"
"28","26.606367410983818","26.606367410983818","26.606367410983818"
"30","23.035838390884674","23.035838390884674","23.035838390884674"
"32","24.65594461205045","24.65594461205045","24.65594461205045"
"34","22.67190677657715","22.67190677657715","22.67190677657715"
"36","25.876020226238357","25.876020226238357","25.876020226238357"
"38","24.03672852602379","24.03672852602379","24.03672852602379"
"40","22.90895980370033","22.90895980370033","22.90895980370033"
"42","25.443456354769967","25.443456354769967","25.443456354769967"
"44","24.372852190420563","24.372852190420563","24.372852190420563"
"46","25.789737843453093","25.789737843453093","25.789737843453093"
"48","24.96223333899395","24.96223333899395","24.96223333899395"
"50","23.80278425849256","23.80278425849256","23.80278425849256"
"52","23.201025287985573","23.201025287985573","23.201025287985573"
"54","24.645593777659375","24.645593777659375","24.645593777659375"
"56","23.411716033768986","23.411716033768986","23.411716033768986"
"58","24.059924831337394","24.059924831337394","24.059924831337394"
"60","25.07325000484433","25.07325000484433","25.07325000484433"
"62","25.45403529201208","25.45403529201208","25.45403529201208"
"64","25.4912267371329","25.4912267371329","25.4912267371329"
"66","23.943464975379385","23.943464975379385","23.943464975379385"
"68","24.357183279191332","24.357183279191332","24.357183279191332"
"70","24.033619766431837","24.033619766431837","24.033619766431837"
"72","24.17645258413066","24.17645258413066","24.17645258413066"
"74","26.564757331370583","26.564757331370583","26.564757331370583"
"76","23.899156568728916","23.899156568728916","23.899156568728916"
"78","22.980472717602108","22.980472717602108","22.980472717602108"
"80","22.479094259269175","22.479094259269175","22.479094259269175"
"82","23.462595175723877","23.462595175723877","23.462595175723877"
"84","24.66933630919822","24.66933630919822","24.66933630919822"
"86","25.392041666990895","25.392041666990895","25.392041666990895"
"88","23.363592435285543","23.363592435285543","23.363592435285543"
"90","24.980054351035182","24.980054351035182","24.980054351035182"
"92","22.526033096121626","22.526033096121626","22.526033096121626"
"94","22.36574316290312","22.36574316290312","22.36574316290312"
"96","25.36483715973959","25.36483715973959","25.36483715973959"
"98","26.53445474492837","26.53445474492837","26.53445474492837"
"100","24.43539204166699","24.43539204166699","24.43539204166699"
"102","22.95416765269655","22.95416765269655","22.95416765269655"
"104","24.134899720951637","24.134899720951637","24.134899720951637"
"106","23.35145339660403","23.35145339660403","23.35145339660403"
"108","23.09885657152108","23.09885657152108","23.09885657152108"
"110","24.743832869422487","24.743832869422487","24.743832869422487"
