"Step","perplexity_eval - USPTO Backgrounds","perplexity_eval - USPTO Backgrounds__MIN","perplexity_eval - USPTO Backgrounds__MAX"
"0","154.76461072713724","154.76461072713724","154.76461072713724"
"2","16.20664119346592","16.20664119346592","16.20664119346592"
"4","11.758506199543904","11.758506199543904","11.758506199543904"
"6","11.588406986214853","11.588406986214853","11.588406986214853"
"8","11.16217746454741","11.16217746454741","11.16217746454741"
"10","11.290417563325212","11.290417563325212","11.290417563325212"
"12","11.85421193430312","11.85421193430312","11.85421193430312"
"14","10.437329210694088","10.437329210694088","10.437329210694088"
"16","11.101103453504583","11.101103453504583","11.101103453504583"
"18","10.282537386765148","10.282537386765148","10.282537386765148"
"20","9.859510015762536","9.859510015762536","9.859510015762536"
"22","9.923543794814089","9.923543794814089","9.923543794814089"
"24","9.4062898160698","9.4062898160698","9.4062898160698"
"26","10.123955463726062","10.123955463726062","10.123955463726062"
"28","10.45147522662326","10.45147522662326","10.45147522662326"
"30","10.0813444402622","10.0813444402622","10.0813444402622"
"32","10.672094292626063","10.672094292626063","10.672094292626063"
"34","10.303059222266906","10.303059222266906","10.303059222266906"
"36","9.883425802647729","9.883425802647729","9.883425802647729"
"38","9.78314152313229","9.78314152313229","9.78314152313229"
"40","9.911095871154645","9.911095871154645","9.911095871154645"
"42","10.88360452192476","10.88360452192476","10.88360452192476"
"44","9.847702681094056","9.847702681094056","9.847702681094056"
"46","10.23951794191562","10.23951794191562","10.23951794191562"
"48","9.419287391446217","9.419287391446217","9.419287391446217"
"50","10.316279865219778","10.316279865219778","10.316279865219778"
"52","9.991490365307008","9.991490365307008","9.991490365307008"
"54","9.961865547734083","9.961865547734083","9.961865547734083"
"56","10.066689236854389","10.066689236854389","10.066689236854389"
"58","10.359994435696764","10.359994435696764","10.359994435696764"
"60","9.577947311217567","9.577947311217567","9.577947311217567"
"62","9.756418331662552","9.756418331662552","9.756418331662552"
"64","9.35945062146498","9.35945062146498","9.35945062146498"
"66","9.29301112739339","9.29301112739339","9.29301112739339"
"68","9.137028398233916","9.137028398233916","9.137028398233916"
"70","9.6200404087598","9.6200404087598","9.6200404087598"
"72","9.424026336745111","9.424026336745111","9.424026336745111"
"74","9.229298394759184","9.229298394759184","9.229298394759184"
"76","9.222567998073208","9.222567998073208","9.222567998073208"
"78","9.798837806653204","9.798837806653204","9.798837806653204"
"80","9.58556501101988","9.58556501101988","9.58556501101988"
"82","9.437363554269036","9.437363554269036","9.437363554269036"
"84","9.758611593213042","9.758611593213042","9.758611593213042"
"86","9.233564790382337","9.233564790382337","9.233564790382337"
"88","9.495758853750274","9.495758853750274","9.495758853750274"
"90","9.323807534302633","9.323807534302633","9.323807534302633"
"92","10.194544403040249","10.194544403040249","10.194544403040249"
"94","9.568503118720535","9.568503118720535","9.568503118720535"
"96","9.912289008684864","9.912289008684864","9.912289008684864"
"98","9.782027486516256","9.782027486516256","9.782027486516256"
"100","9.092999934711532","9.092999934711532","9.092999934711532"
"102","9.457702975747257","9.457702975747257","9.457702975747257"
"104","9.041605076286492","9.041605076286492","9.041605076286492"
"106","9.645996783398976","9.645996783398976","9.645996783398976"
"108","9.614386196048752","9.614386196048752","9.614386196048752"
"110","9.112410132570638","9.112410132570638","9.112410132570638"
"112","9.500711151324392","9.500711151324392","9.500711151324392"
"114","9.095833511118611","9.095833511118611","9.095833511118611"
"116","9.81264545703425","9.81264545703425","9.81264545703425"
"118","9.36766905339726","9.36766905339726","9.36766905339726"
"120","9.549256673947374","9.549256673947374","9.549256673947374"
"122","9.609678451711025","9.609678451711025","9.609678451711025"
"124","10.510696192639886","10.510696192639886","10.510696192639886"
"126","9.958466066209256","9.958466066209256","9.958466066209256"
"128","9.118091964324838","9.118091964324838","9.118091964324838"
"130","8.981302359456093","8.981302359456093","8.981302359456093"
"132","9.348869126040425","9.348869126040425","9.348869126040425"
"134","9.213692059936724","9.213692059936724","9.213692059936724"
"136","9.422001483197072","9.422001483197072","9.422001483197072"
"138","9.112669518930684","9.112669518930684","9.112669518930684"
"140","9.196419566585158","9.196419566585158","9.196419566585158"
"142","9.050067953806511","9.050067953806511","9.050067953806511"
"144","8.808585709497901","8.808585709497901","8.808585709497901"
"146","9.146685196671422","9.146685196671422","9.146685196671422"
"148","9.166777578885233","9.166777578885233","9.166777578885233"
"150","9.418622652251","9.418622652251","9.418622652251"
"152","9.422957947877642","9.422957947877642","9.422957947877642"
"154","9.345802149833217","9.345802149833217","9.345802149833217"
"156","9.31688951341092","9.31688951341092","9.31688951341092"
"158","8.9330537613682","8.9330537613682","8.9330537613682"
"160","9.340103119609129","9.340103119609129","9.340103119609129"
"162","9.532130988856652","9.532130988856652","9.532130988856652"
"164","8.965631714715176","8.965631714715176","8.965631714715176"
