"Step","downstream_eval - history_and_general","downstream_eval - history_and_general__MIN","downstream_eval - history_and_general__MAX"
"0","24.531459716101327","24.531459716101327","24.531459716101327"
"2","26.22619268323439","26.22619268323439","26.22619268323439"
"4","23.365849979989573","23.365849979989573","23.365849979989573"
"6","23.500042290417337","23.500042290417337","23.500042290417337"
"8","25.921188908032104","25.921188908032104","25.921188908032104"
"10","25.876586248018366","25.876586248018366","25.876586248018366"
"12","26.51913877064213","26.51913877064213","26.51913877064213"
"14","25.459448672533195","25.459448672533195","25.459448672533195"
"16","28.792371131260676","28.792371131260676","28.792371131260676"
"18","29.742178131108385","29.742178131108385","29.742178131108385"
"20","25.70568641980293","25.70568641980293","25.70568641980293"
"22","26.908691330989324","26.908691330989324","26.908691330989324"
"24","29.37780686426034","29.37780686426034","29.37780686426034"
"26","26.99345302701671","26.99345302701671","26.99345302701671"
"28","25.83408231868953","25.83408231868953","25.83408231868953"
"30","28.27584407428564","28.27584407428564","28.27584407428564"
"32","27.260725437019673","27.260725437019673","27.260725437019673"
"34","23.92803376858669","23.92803376858669","23.92803376858669"
"36","27.109228949294177","27.109228949294177","27.109228949294177"
"38","25.649428076535497","25.649428076535497","25.649428076535497"
"40","27.023826504695467","27.023826504695467","27.023826504695467"
"42","26.640514130372747","26.640514130372747","26.640514130372747"
"44","24.816530857174783","24.816530857174783","24.816530857174783"
"46","25.250365076481","25.250365076481","25.250365076481"
"48","30.167139470453606","30.167139470453606","30.167139470453606"
"50","25.924737381199957","25.924737381199957","25.924737381199957"
"52","27.292369599158537","27.292369599158537","27.292369599158537"
"54","25.541986042153685","25.541986042153685","25.541986042153685"
"56","25.656445962002607","25.656445962002607","25.656445962002607"
"58","27.995821627596523","27.995821627596523","27.995821627596523"
"60","28.55372084492105","28.55372084492105","28.55372084492105"
"62","26.67268564353296","26.67268564353296","26.67268564353296"
"64","27.974425762621433","27.974425762621433","27.974425762621433"
"66","26.903813740891852","26.903813740891852","26.903813740891852"
"68","25.52323348587059","25.52323348587059","25.52323348587059"
"70","25.287590979926808","25.287590979926808","25.287590979926808"
"72","26.303722945147182","26.303722945147182","26.303722945147182"
"74","27.091507299821583","27.091507299821583","27.091507299821583"
"76","24.97599218677759","24.97599218677759","24.97599218677759"
"78","24.239376143551137","24.239376143551137","24.239376143551137"
"80","27.504770357609207","27.504770357609207","27.504770357609207"
"82","24.218985909366612","24.218985909366612","24.218985909366612"
"84","25.373729522630256","25.373729522630256","25.373729522630256"
"86","27.848958172746666","27.848958172746666","27.848958172746666"
"88","29.458762173486125","29.458762173486125","29.458762173486125"
"90","26.391554834573213","26.391554834573213","26.391554834573213"
"92","27.270452225675978","27.270452225675978","27.270452225675978"
"94","27.109999684636197","27.109999684636197","27.109999684636197"
"96","26.17990839084837","26.17990839084837","26.17990839084837"
"98","25.179502706330137","25.179502706330137","25.179502706330137"
"100","25.580914580233117","25.580914580233117","25.580914580233117"
"102","28.177258543232423","28.177258543232423","28.177258543232423"
"104","26.678057934015836","26.678057934015836","26.678057934015836"
"106","26.258938815332588","26.258938815332588","26.258938815332588"
"108","29.48255023634618","29.48255023634618","29.48255023634618"
"110","25.896208943016518","25.896208943016518","25.896208943016518"
"112","25.29909247066219","25.29909247066219","25.29909247066219"
"114","24.50743649388997","24.50743649388997","24.50743649388997"
"116","24.819418591137225","24.819418591137225","24.819418591137225"
"118","25.057459306084407","25.057459306084407","25.057459306084407"
"120","25.509175011968356","25.509175011968356","25.509175011968356"
"122","25.6587710919333","25.6587710919333","25.6587710919333"
"124","25.399665409419253","25.399665409419253","25.399665409419253"
"126","24.173364034900786","24.173364034900786","24.173364034900786"
"128","23.863801258877743","23.863801258877743","23.863801258877743"
"130","27.23603983354128","27.23603983354128","27.23603983354128"
"132","27.49423804976095","27.49423804976095","27.49423804976095"
"134","25.555804965655913","25.555804965655913","25.555804965655913"
"136","27.370362145401007","27.370362145401007","27.370362145401007"
"138","27.891453994396258","27.891453994396258","27.891453994396258"
"140","24.55034287492823","24.55034287492823","24.55034287492823"
"142","24.761311806961114","24.761311806961114","24.761311806961114"
"144","26.616673426242645","26.616673426242645","26.616673426242645"
"146","26.415896778012666","26.415896778012666","26.415896778012666"
"148","23.5658394869226","23.5658394869226","23.5658394869226"
"150","25.753103639408195","25.753103639408195","25.753103639408195"
"152","24.278426780640988","24.278426780640988","24.278426780640988"
"154","28.20107604591151","28.20107604591151","28.20107604591151"
"156","28.38553098283648","28.38553098283648","28.38553098283648"
"158","27.725795260338682","27.725795260338682","27.725795260338682"
"160","23.853624721272865","23.853624721272865","23.853624721272865"
"162","24.968359664451157","24.968359664451157","24.968359664451157"
"164","26.421195036440647","26.421195036440647","26.421195036440647"
"166","26.136521956027906","26.136521956027906","26.136521956027906"
"168","25.71327769266181","25.71327769266181","25.71327769266181"
"170","25.749381224998785","25.749381224998785","25.749381224998785"
"172","24.92980501793798","24.92980501793798","24.92980501793798"
"174","24.603436760197173","24.603436760197173","24.603436760197173"
"176","25.451047789989584","25.451047789989584","25.451047789989584"
"178","25.482172686794442","25.482172686794442","25.482172686794442"
"180","25.207811078934032","25.207811078934032","25.207811078934032"
"182","25.92985199995994","25.92985199995994","25.92985199995994"
"184","25.343110182877137","25.343110182877137","25.343110182877137"
"186","26.81311371228333","26.81311371228333","26.81311371228333"
"188","25.625232349886502","25.625232349886502","25.625232349886502"
"190","25.986512853581868","25.986512853581868","25.986512853581868"
"192","27.09897058717235","27.09897058717235","27.09897058717235"
"194","26.570408391427492","26.570408391427492","26.570408391427492"
"196","27.208678021493444","27.208678021493444","27.208678021493444"
"198","25.210293318974674","25.210293318974674","25.210293318974674"
"200","24.222988918385884","24.222988918385884","24.222988918385884"
"202","27.229628770479533","27.229628770479533","27.229628770479533"
"204","27.206008952959788","27.206008952959788","27.206008952959788"
"206","28.07288127025078","28.07288127025078","28.07288127025078"
"208","25.430973176175723","25.430973176175723","25.430973176175723"
"210","26.48237255648219","26.48237255648219","26.48237255648219"
"212","25.67396058709039","25.67396058709039","25.67396058709039"
"214","26.402470725083543","26.402470725083543","26.402470725083543"
"216","28.557748213631214","28.557748213631214","28.557748213631214"
"218","26.786708665031615","26.786708665031615","26.786708665031615"
"220","28.097337974737794","28.097337974737794","28.097337974737794"
"222","29.39790763377","29.39790763377","29.39790763377"
"224","26.74208663015689","26.74208663015689","26.74208663015689"
"226","27.70096859350429","27.70096859350429","27.70096859350429"
"228","27.57083748265444","27.57083748265444","27.57083748265444"
"230","26.081035990164107","26.081035990164107","26.081035990164107"
"232","27.367526048411992","27.367526048411992","27.367526048411992"
"234","27.866656173599694","27.866656173599694","27.866656173599694"
"236","26.00598439827407","26.00598439827407","26.00598439827407"
"238","29.696499488226575","29.696499488226575","29.696499488226575"
"240","26.28244716325865","26.28244716325865","26.28244716325865"
"242","26.300953872128645","26.300953872128645","26.300953872128645"
"244","27.61374348983046","27.61374348983046","27.61374348983046"
"246","27.73399781995794","27.73399781995794","27.73399781995794"
"248","25.635805753259035","25.635805753259035","25.635805753259035"
"250","26.03737075673867","26.03737075673867","26.03737075673867"
"252","27.583393044998164","27.583393044998164","27.583393044998164"
"254","25.571930150041478","25.571930150041478","25.571930150041478"
"256","26.69103106383264","26.69103106383264","26.69103106383264"
"258","27.704489063657025","27.704489063657025","27.704489063657025"
"260","28.091223868257043","28.091223868257043","28.091223868257043"
"262","28.582738434201293","28.582738434201293","28.582738434201293"
"264","27.74756833765643","27.74756833765643","27.74756833765643"
"266","28.057881147316078","28.057881147316078","28.057881147316078"
"268","28.51140441850339","28.51140441850339","28.51140441850339"
"270","26.993685965186447","26.993685965186447","26.993685965186447"
"272","29.171818942884418","29.171818942884418","29.171818942884418"
"274","25.323530474706377","25.323530474706377","25.323530474706377"
"276","28.588480987587463","28.588480987587463","28.588480987587463"
"278","29.642300715406662","29.642300715406662","29.642300715406662"
"280","31.05355023178653","31.05355023178653","31.05355023178653"
"282","30.518058279435227","30.518058279435227","30.518058279435227"
"284","31.091922792725743","31.091922792725743","31.091922792725743"
"286","28.786736257531327","28.786736257531327","28.786736257531327"
"288","29.95390141452026","29.95390141452026","29.95390141452026"
"290","30.619795498525587","30.619795498525587","30.619795498525587"
"292","29.25649111723102","29.25649111723102","29.25649111723102"
"294","29.396070328091685","29.396070328091685","29.396070328091685"
"296","30.52297165034861","30.52297165034861","30.52297165034861"
"298","30.10799579767109","30.10799579767109","30.10799579767109"
"300","30.861116612750596","30.861116612750596","30.861116612750596"
"302","29.69964050286319","29.69964050286319","29.69964050286319"
"304","28.78027223065172","28.78027223065172","28.78027223065172"
"306","29.084860329684044","29.084860329684044","29.084860329684044"
"308","30.34638578059086","30.34638578059086","30.34638578059086"
"310","29.728077403441976","29.728077403441976","29.728077403441976"
"312","29.73384536479946","29.73384536479946","29.73384536479946"
"314","30.59307895804915","30.59307895804915","30.59307895804915"
"316","29.510086510110465","29.510086510110465","29.510086510110465"
"318","28.786110170224465","28.786110170224465","28.786110170224465"
"320","30.223196690495183","30.223196690495183","30.223196690495183"
"322","30.01711355153722","30.01711355153722","30.01711355153722"
"324","28.95437765637371","28.95437765637371","28.95437765637371"
"326","28.799476185275626","28.799476185275626","28.799476185275626"
"328","29.099348451941278","29.099348451941278","29.099348451941278"
"330","29.970381430828283","29.970381430828283","29.970381430828283"
"332","29.04680176171513","29.04680176171513","29.04680176171513"
"334","29.378895199243726","29.378895199243726","29.378895199243726"
"336","29.932422398183785","29.932422398183785","29.932422398183785"
"338","30.68136235577549","30.68136235577549","30.68136235577549"
"340","30.814321587886486","30.814321587886486","30.814321587886486"
"342","29.26707190255021","29.26707190255021","29.26707190255021"
"344","29.67185143224646","29.67185143224646","29.67185143224646"
"346","31.000715865559783","31.000715865559783","31.000715865559783"
"348","31.919088124770173","31.919088124770173","31.919088124770173"
"350","31.136904812957383","31.136904812957383","31.136904812957383"
"352","30.279530004138437","30.279530004138437","30.279530004138437"
"354","30.079158109436396","30.079158109436396","30.079158109436396"
