"Step","perplexity_eval - Ubuntu IRC","perplexity_eval - Ubuntu IRC__MIN","perplexity_eval - Ubuntu IRC__MAX"
"0","20.27263108166781","20.27263108166781","20.27263108166781"
"2","15.360778938640248","15.360778938640248","15.360778938640248"
"4","13.122520988637753","13.122520988637753","13.122520988637753"
"6","13.522731282494284","13.522731282494284","13.522731282494284"
"8","13.130747708407316","13.130747708407316","13.130747708407316"
"10","11.642531481656162","11.642531481656162","11.642531481656162"
"12","11.036385796286844","11.036385796286844","11.036385796286844"
"14","10.862341599030929","10.862341599030929","10.862341599030929"
"16","12.390464912761342","12.390464912761342","12.390464912761342"
"18","13.741361661390824","13.741361661390824","13.741361661390824"
"20","12.409013813192194","12.409013813192194","12.409013813192194"
"22","12.272861935875632","12.272861935875632","12.272861935875632"
"24","10.179844639518045","10.179844639518045","10.179844639518045"
"26","12.465664950284092","12.465664950284092","12.465664950284092"
"28","11.647010152990168","11.647010152990168","11.647010152990168"
"30","11.490337025035512","11.490337025035512","11.490337025035512"
"32","10.848324645649305","10.848324645649305","10.848324645649305"
"34","11.07798736745661","11.07798736745661","11.07798736745661"
"36","10.57994363524697","10.57994363524697","10.57994363524697"
"38","11.119552157141946","11.119552157141946","11.119552157141946"
"40","12.756823886524549","12.756823886524549","12.756823886524549"
"42","12.49067583951083","12.49067583951083","12.49067583951083"
"44","12.41687239300121","12.41687239300121","12.41687239300121"
"46","13.723409219221637","13.723409219221637","13.723409219221637"
"48","11.009459950707177","11.009459950707177","11.009459950707177"
"50","12.069494247436523","12.069494247436523","12.069494247436523"
"52","11.760494340549815","11.760494340549815","11.760494340549815"
"54","11.60032838041132","11.60032838041132","11.60032838041132"
"56","13.73427625135942","13.73427625135942","13.73427625135942"
"58","11.495966694571756","11.495966694571756","11.495966694571756"
"60","10.534650325775146","10.534650325775146","10.534650325775146"
"62","11.05340400609103","11.05340400609103","11.05340400609103"
"64","11.317955710671164","11.317955710671164","11.317955710671164"
"66","10.824793403798884","10.824793403798884","10.824793403798884"
"68","11.281728159297597","11.281728159297597","11.281728159297597"
"70","10.009518254886974","10.009518254886974","10.009518254886974"
"72","12.14522647857666","12.14522647857666","12.14522647857666"
"74","10.742418679324064","10.742418679324064","10.742418679324064"
"76","10.901601964777166","10.901601964777166","10.901601964777166"
"78","10.797308054837314","10.797308054837314","10.797308054837314"
"80","11.782736886631358","11.782736886631358","11.782736886631358"
"82","10.713563723997636","10.713563723997636","10.713563723997636"
"84","11.11938079920682","11.11938079920682","11.11938079920682"
"86","12.677208466963334","12.677208466963334","12.677208466963334"
"88","11.02447778528387","11.02447778528387","11.02447778528387"
"90","11.89796629819003","11.89796629819003","11.89796629819003"
"92","10.625542120500045","10.625542120500045","10.625542120500045"
"94","11.206319895657629","11.206319895657629","11.206319895657629"
"96","11.545606114647605","11.545606114647605","11.545606114647605"
"98","11.415717320008712","11.415717320008712","11.415717320008712"
"100","10.207714535973288","10.207714535973288","10.207714535973288"
"102","10.642831260507757","10.642831260507757","10.642831260507757"
"104","10.544736211950127","10.544736211950127","10.544736211950127"
