"Step","perplexity_eval - Gutenberg (PG-19)","perplexity_eval - Gutenberg (PG-19)__MIN","perplexity_eval - Gutenberg (PG-19)__MAX"
"0","72.04982028007507","72.04982028007507","72.04982028007507"
"2","19.34374080300331","19.34374080300331","19.34374080300331"
"4","12.627233576774596","12.627233576774596","12.627233576774596"
"6","12.989861637353895","12.989861637353895","12.989861637353895"
"8","11.68320677280426","11.68320677280426","11.68320677280426"
"10","10.445479333400726","10.445479333400726","10.445479333400726"
"12","10.658083242177964","10.658083242177964","10.658083242177964"
"14","9.91673328280449","9.91673328280449","9.91673328280449"
"16","8.941986173391342","8.941986173391342","8.941986173391342"
"18","8.907553717494011","8.907553717494011","8.907553717494011"
"20","8.922006809711457","8.922006809711457","8.922006809711457"
"22","8.518937268853188","8.518937268853188","8.518937268853188"
"24","9.850477463006971","9.850477463006971","9.850477463006971"
"26","9.09724754691124","9.09724754691124","9.09724754691124"
"28","10.391950160264969","10.391950160264969","10.391950160264969"
"30","9.049556183815003","9.049556183815003","9.049556183815003"
"32","9.71870834827423","9.71870834827423","9.71870834827423"
"34","8.795020452141761","8.795020452141761","8.795020452141761"
"36","9.983589470386503","9.983589470386503","9.983589470386503"
"38","7.860247278213501","7.860247278213501","7.860247278213501"
"40","7.963203087449074","7.963203087449074","7.963203087449074"
"42","9.019329592585564","9.019329592585564","9.019329592585564"
"44","8.399102258682252","8.399102258682252","8.399102258682252"
"46","8.472698694467544","8.472698694467544","8.472698694467544"
"48","8.76485276222229","8.76485276222229","8.76485276222229"
"50","8.112634736299515","8.112634736299515","8.112634736299515"
"52","8.548360019922256","8.548360019922256","8.548360019922256"
"54","8.842557722330094","8.842557722330094","8.842557722330094"
"56","7.690836799144745","7.690836799144745","7.690836799144745"
"58","9.614323630928991","9.614323630928991","9.614323630928991"
"60","7.9865586996078495","7.9865586996078495","7.9865586996078495"
"62","8.790975677967072","8.790975677967072","8.790975677967072"
"64","7.609855526685715","7.609855526685715","7.609855526685715"
"66","8.549677813053131","8.549677813053131","8.549677813053131"
"68","7.258132562041283","7.258132562041283","7.258132562041283"
"70","8.800222313404083","8.800222313404083","8.800222313404083"
"72","8.468936783075332","8.468936783075332","8.468936783075332"
"74","7.565261662006378","7.565261662006378","7.565261662006378"
"76","7.269899579882622","7.269899579882622","7.269899579882622"
"78","8.419134125113487","8.419134125113487","8.419134125113487"
"80","7.531775757670402","7.531775757670402","7.531775757670402"
"82","8.560048180818558","8.560048180818558","8.560048180818558"
"84","7.910783669352531","7.910783669352531","7.910783669352531"
"86","7.614485055208206","7.614485055208206","7.614485055208206"
