"Step","downstream_eval - piqa","downstream_eval - piqa__MIN","downstream_eval - piqa__MAX"
"0","52.50272034820457","52.50272034820457","52.50272034820457"
"2","61.31664853101198","61.31664853101198","61.31664853101198"
"4","67.13819368879217","67.13819368879217","67.13819368879217"
"6","69.0968443960827","69.0968443960827","69.0968443960827"
"8","70.02176278563657","70.02176278563657","70.02176278563657"
"10","72.68770402611534","72.68770402611534","72.68770402611534"
"12","71.9260065288357","71.9260065288357","71.9260065288357"
"14","73.01414581066376","73.01414581066376","73.01414581066376"
"16","72.79651795429814","72.79651795429814","72.79651795429814"
"18","73.83025027203483","73.83025027203483","73.83025027203483"
"20","73.449401523395","73.449401523395","73.449401523395"
"22","74.42872687704026","74.42872687704026","74.42872687704026"
"24","74.75516866158868","74.75516866158868","74.75516866158868"
"26","75.1904243743199","75.1904243743199","75.1904243743199"
"28","75.24483133841132","75.24483133841132","75.24483133841132"
"30","74.9183895538629","74.9183895538629","74.9183895538629"
"32","75.68008705114254","75.68008705114254","75.68008705114254"
"34","76.06093579978237","76.06093579978237","76.06093579978237"
"36","75.95212187159956","75.95212187159956","75.95212187159956"
"38","76.06093579978237","76.06093579978237","76.06093579978237"
"40","75.1904243743199","75.1904243743199","75.1904243743199"
"42","75.68008705114254","75.68008705114254","75.68008705114254"
"44","75.78890097932536","75.78890097932536","75.78890097932536"
"46","75.89771490750816","75.89771490750816","75.89771490750816"
"48","75.51686615886834","75.51686615886834","75.51686615886834"
"50","75.51686615886834","75.51686615886834","75.51686615886834"
"52","76.76822633297063","76.76822633297063","76.76822633297063"
"54","77.14907508161045","77.14907508161045","77.14907508161045"
"56","75.73449401523395","75.73449401523395","75.73449401523395"
"58","76.06093579978237","76.06093579978237","76.06093579978237"
"60","77.25788900979326","77.25788900979326","77.25788900979326"
"62","76.44178454842219","76.44178454842219","76.44178454842219"
"64","76.44178454842219","76.44178454842219","76.44178454842219"
"66","77.09466811751903","77.09466811751903","77.09466811751903"
"68","76.278563656148","76.278563656148","76.278563656148"
"70","77.52992383025027","77.52992383025027","77.52992383025027"
"72","77.42110990206747","77.42110990206747","77.42110990206747"
"74","77.09466811751903","77.09466811751903","77.09466811751903"
"76","76.98585418933624","76.98585418933624","76.98585418933624"
"78","76.4961915125136","76.4961915125136","76.4961915125136"
