"Step","perplexity_eval - PubMed Abstracts","perplexity_eval - PubMed Abstracts__MIN","perplexity_eval - PubMed Abstracts__MAX"
"0","300.21698629082914","300.21698629082914","300.21698629082914"
"2","25.67665657007409","25.67665657007409","25.67665657007409"
"4","17.438931273281586","17.438931273281586","17.438931273281586"
"6","16.36061912260041","16.36061912260041","16.36061912260041"
"8","16.14380315317121","16.14380315317121","16.14380315317121"
"10","15.672324686908546","15.672324686908546","15.672324686908546"
"12","16.126665551057528","16.126665551057528","16.126665551057528"
"14","14.794245459009002","14.794245459009002","14.794245459009002"
"16","14.384103385236555","14.384103385236555","14.384103385236555"
"18","14.010852305987624","14.010852305987624","14.010852305987624"
"20","13.437467547175997","13.437467547175997","13.437467547175997"
"22","14.01130523438397","14.01130523438397","14.01130523438397"
"24","13.189704277627463","13.189704277627463","13.189704277627463"
"26","13.606664682371717","13.606664682371717","13.606664682371717"
"28","13.29458564481402","13.29458564481402","13.29458564481402"
"30","13.24094092370196","13.24094092370196","13.24094092370196"
"32","14.06746548171585","14.06746548171585","14.06746548171585"
"34","14.218713674889816","14.218713674889816","14.218713674889816"
"36","13.43960722108054","13.43960722108054","13.43960722108054"
"38","13.48697326828114","13.48697326828114","13.48697326828114"
"40","13.732466163833038","13.732466163833038","13.732466163833038"
"42","14.69300373215842","14.69300373215842","14.69300373215842"
"44","13.568932290291745","13.568932290291745","13.568932290291745"
"46","14.357513251522349","14.357513251522349","14.357513251522349"
"48","12.818915218636231","12.818915218636231","12.818915218636231"
"50","13.958922053396272","13.958922053396272","13.958922053396272"
"52","13.61166538166589","13.61166538166589","13.61166538166589"
"54","13.030144715536435","13.030144715536435","13.030144715536435"
"56","12.937538308215233","12.937538308215233","12.937538308215233"
"58","13.328071870706536","13.328071870706536","13.328071870706536"
"60","12.32358081875527","12.32358081875527","12.32358081875527"
"62","12.970869482390995","12.970869482390995","12.970869482390995"
"64","12.901737692739315","12.901737692739315","12.901737692739315"
"66","12.91910027772572","12.91910027772572","12.91910027772572"
"68","12.517685197033318","12.517685197033318","12.517685197033318"
"70","12.34937500798158","12.34937500798158","12.34937500798158"
"72","13.033345221125336","13.033345221125336","13.033345221125336"
"74","12.448858345486006","12.448858345486006","12.448858345486006"
"76","12.193134378106883","12.193134378106883","12.193134378106883"
"78","12.570964579391608","12.570964579391608","12.570964579391608"
"80","12.82867216226508","12.82867216226508","12.82867216226508"
"82","12.5283214356792","12.5283214356792","12.5283214356792"
"84","12.934869976621105","12.934869976621105","12.934869976621105"
"86","12.383474270167769","12.383474270167769","12.383474270167769"
"88","12.41162153199517","12.41162153199517","12.41162153199517"
"90","12.386842671475854","12.386842671475854","12.386842671475854"
"92","13.240922636570271","13.240922636570271","13.240922636570271"
"94","12.578207220682671","12.578207220682671","12.578207220682671"
"96","13.425354786672049","13.425354786672049","13.425354786672049"
"98","12.560589792553367","12.560589792553367","12.560589792553367"
"100","12.061080583526769","12.061080583526769","12.061080583526769"
"102","12.596807076058116","12.596807076058116","12.596807076058116"
"104","12.308304906980034","12.308304906980034","12.308304906980034"
"106","12.566605164514652","12.566605164514652","12.566605164514652"
"108","12.94126327480036","12.94126327480036","12.94126327480036"
"110","12.15449834925053","12.15449834925053","12.15449834925053"
"112","12.627715656346233","12.627715656346233","12.627715656346233"
"114","12.45659254503641","12.45659254503641","12.45659254503641"
"116","12.76913067463908","12.76913067463908","12.76913067463908"
"118","12.224055688607292","12.224055688607292","12.224055688607292"
"120","12.191243406665189","12.191243406665189","12.191243406665189"
"122","12.457198717259589","12.457198717259589","12.457198717259589"
"124","13.619070342472712","13.619070342472712","13.619070342472712"
"126","12.787021241600367","12.787021241600367","12.787021241600367"
"128","12.305486145871283","12.305486145871283","12.305486145871283"
"130","12.166909865779528","12.166909865779528","12.166909865779528"
"132","12.439449600352752","12.439449600352752","12.439449600352752"
"134","12.531506704953149","12.531506704953149","12.531506704953149"
"136","12.783791348303732","12.783791348303732","12.783791348303732"
"138","12.200612743244978","12.200612743244978","12.200612743244978"
"140","12.707085162450047","12.707085162450047","12.707085162450047"
"142","12.200246800920162","12.200246800920162","12.200246800920162"
"144","12.049899251214994","12.049899251214994","12.049899251214994"
"146","12.613097008320574","12.613097008320574","12.613097008320574"
"148","12.588340879814504","12.588340879814504","12.588340879814504"
"150","13.04845662420062","13.04845662420062","13.04845662420062"
"152","12.847946360478495","12.847946360478495","12.847946360478495"
"154","12.48055461186353","12.48055461186353","12.48055461186353"
"156","12.583424497587782","12.583424497587782","12.583424497587782"
"158","11.971682564026736","11.971682564026736","11.971682564026736"
"160","12.55892845366906","12.55892845366906","12.55892845366906"
"162","12.825488469281272","12.825488469281272","12.825488469281272"
"164","12.544154201779682","12.544154201779682","12.544154201779682"
"166","12.415055134312766","12.415055134312766","12.415055134312766"
"168","12.439463449054823","12.439463449054823","12.439463449054823"
"170","12.505588056810286","12.505588056810286","12.505588056810286"
"172","12.843642743803382","12.843642743803382","12.843642743803382"
"174","12.306619074719867","12.306619074719867","12.306619074719867"
"176","11.757544890812238","11.757544890812238","11.757544890812238"
"178","12.184460566653556","12.184460566653556","12.184460566653556"
"180","12.191785083931212","12.191785083931212","12.191785083931212"
"182","12.47628589508266","12.47628589508266","12.47628589508266"
"184","12.790962585283973","12.790962585283973","12.790962585283973"
"186","12.389601815434718","12.389601815434718","12.389601815434718"
"188","12.207207149046882","12.207207149046882","12.207207149046882"
"190","11.97696699639949","11.97696699639949","11.97696699639949"
"192","11.910398309951365","11.910398309951365","11.910398309951365"
"194","12.276688562394146","12.276688562394146","12.276688562394146"
"196","11.61107656623552","11.61107656623552","11.61107656623552"
"198","11.673585477260508","11.673585477260508","11.673585477260508"
"200","11.746468476360707","11.746468476360707","11.746468476360707"
"202","11.869577288145123","11.869577288145123","11.869577288145123"
"204","11.639302763513824","11.639302763513824","11.639302763513824"
"206","11.378220197432295","11.378220197432295","11.378220197432295"
"208","11.61849942972158","11.61849942972158","11.61849942972158"
"210","11.705351125629756","11.705351125629756","11.705351125629756"
"212","11.429143564037943","11.429143564037943","11.429143564037943"
"214","11.95318693691202","11.95318693691202","11.95318693691202"
"216","11.76228733380157","11.76228733380157","11.76228733380157"
"218","11.763753221146258","11.763753221146258","11.763753221146258"
"220","11.885180300879906","11.885180300879906","11.885180300879906"
"222","11.548996356889782","11.548996356889782","11.548996356889782"
"224","11.931170686564531","11.931170686564531","11.931170686564531"
"226","11.601403691182869","11.601403691182869","11.601403691182869"
"228","11.809559340986604","11.809559340986604","11.809559340986604"
"230","11.597915215650955","11.597915215650955","11.597915215650955"
"232","11.43178622845045","11.43178622845045","11.43178622845045"
"234","11.528304390150442","11.528304390150442","11.528304390150442"
"236","11.533292055472938","11.533292055472938","11.533292055472938"
"238","11.40182153659035","11.40182153659035","11.40182153659035"
"240","11.605102189956131","11.605102189956131","11.605102189956131"
"242","11.360259537354702","11.360259537354702","11.360259537354702"
"244","11.473899462327129","11.473899462327129","11.473899462327129"
"246","11.384038119261072","11.384038119261072","11.384038119261072"
"248","11.32968373813843","11.32968373813843","11.32968373813843"
"250","11.33242425093146","11.33242425093146","11.33242425093146"
"252","11.381378500556083","11.381378500556083","11.381378500556083"
"254","11.352204176685367","11.352204176685367","11.352204176685367"
"256","11.438290612118204","11.438290612118204","11.438290612118204"
"258","11.428547566541962","11.428547566541962","11.428547566541962"
"260","11.863663853417076","11.863663853417076","11.863663853417076"
"262","11.628082575609024","11.628082575609024","11.628082575609024"
"264","11.273717387652871","11.273717387652871","11.273717387652871"
"266","11.501386276338586","11.501386276338586","11.501386276338586"
"268","11.544495520023103","11.544495520023103","11.544495520023103"
"270","11.435214874835731","11.435214874835731","11.435214874835731"
"272","11.267110081551603","11.267110081551603","11.267110081551603"
"274","11.273501674984187","11.273501674984187","11.273501674984187"
"276","11.846618674108068","11.846618674108068","11.846618674108068"
"278","11.729582201028911","11.729582201028911","11.729582201028911"
"280","11.411828271647645","11.411828271647645","11.411828271647645"
"282","11.277091810411784","11.277091810411784","11.277091810411784"
"284","11.398293275597064","11.398293275597064","11.398293275597064"
"286","11.490613941804163","11.490613941804163","11.490613941804163"
"288","11.531235928239582","11.531235928239582","11.531235928239582"
"290","11.075399006575442","11.075399006575442","11.075399006575442"
"292","11.291975271855335","11.291975271855335","11.291975271855335"
"294","10.785027553070586","10.785027553070586","10.785027553070586"
"296","10.819387129952544","10.819387129952544","10.819387129952544"
"298","10.858547511996385","10.858547511996385","10.858547511996385"
"300","11.034761200391404","11.034761200391404","11.034761200391404"
"302","11.03707022564051","11.03707022564051","11.03707022564051"
"304","10.751133344962575","10.751133344962575","10.751133344962575"
"306","10.771786789966676","10.771786789966676","10.771786789966676"
"308","10.866399477899504","10.866399477899504","10.866399477899504"
"310","10.999246797012953","10.999246797012953","10.999246797012953"
"312","10.723071725848207","10.723071725848207","10.723071725848207"
"314","10.433984233591744","10.433984233591744","10.433984233591744"
"316","10.625703715783612","10.625703715783612","10.625703715783612"
"318","10.96615995770614","10.96615995770614","10.96615995770614"
"320","10.618083084297531","10.618083084297531","10.618083084297531"
"322","10.625633528496154","10.625633528496154","10.625633528496154"
