"Step","downstream_eval - truthfulqa","downstream_eval - truthfulqa__MIN","downstream_eval - truthfulqa__MAX"
"1","53.09778444218034","53.09778444218034","53.09778444218034"
"2","51.01005939978206","51.01005939978206","51.01005939978206"
"3","44.64360244128914","44.64360244128914","44.64360244128914"
"4","41.99615207312358","41.99615207312358","41.99615207312358"
"5","42.028869210436035","42.028869210436035","42.028869210436035"
"6","40.8096296169298","40.8096296169298","40.8096296169298"
"7","41.182253873550486","41.182253873550486","41.182253873550486"
"8","39.167552523126616","39.167552523126616","39.167552523126616"
"9","40.129893615700304","40.129893615700304","40.129893615700304"
"10","38.92443228097392","38.92443228097392","38.92443228097392"
"11","38.06670431200909","38.06670431200909","38.06670431200909"
"12","39.707277077578055","39.707277077578055","39.707277077578055"
"13","38.756482278511385","38.756482278511385","38.756482278511385"
"14","38.45468534818391","38.45468534818391","38.45468534818391"
"15","39.55271597480669","39.55271597480669","39.55271597480669"
"16","39.244021648233684","39.244021648233684","39.244021648233684"
"17","37.673942537935744","37.673942537935744","37.673942537935744"
"18","37.33672409114635","37.33672409114635","37.33672409114635"
"19","38.73037075568306","38.73037075568306","38.73037075568306"
"20","37.78397502749521","37.78397502749521","37.78397502749521"
"21","38.33762137586836","38.33762137586836","38.33762137586836"
"22","38.12048789029481","38.12048789029481","38.12048789029481"
"23","36.841555789341584","36.841555789341584","36.841555789341584"
"24","37.58921638217508","37.58921638217508","37.58921638217508"
"25","37.619475707386634","37.619475707386634","37.619475707386634"
"26","36.75535316085248","36.75535316085248","36.75535316085248"
"27","37.00903176520603","37.00903176520603","37.00903176520603"
"28","37.35291472962742","37.35291472962742","37.35291472962742"
"29","38.064500561653716","38.064500561653716","38.064500561653716"
"30","35.89683279382855","35.89683279382855","35.89683279382855"
"31","38.56117069779316","38.56117069779316","38.56117069779316"
"32","36.86978349245222","36.86978349245222","36.86978349245222"
"33","36.4014608688176","36.4014608688176","36.4014608688176"
"34","36.78977496658212","36.78977496658212","36.78977496658212"
