"Step","perplexity_eval - NIH ExPorter","perplexity_eval - NIH ExPorter__MIN","perplexity_eval - NIH ExPorter__MAX"
"0","242.4145494205937","242.4145494205937","242.4145494205937"
"2","19.91070735505179","19.91070735505179","19.91070735505179"
"4","14.76007299235925","14.76007299235925","14.76007299235925"
"6","14.082007229834351","14.082007229834351","14.082007229834351"
"8","13.899848906983742","13.899848906983742","13.899848906983742"
"10","14.235386204947332","14.235386204947332","14.235386204947332"
"12","14.698496629857711","14.698496629857711","14.698496629857711"
"14","12.905725349666207","12.905725349666207","12.905725349666207"
"16","12.96103078316731","12.96103078316731","12.96103078316731"
"18","12.59881103152682","12.59881103152682","12.59881103152682"
"20","11.807836317459236","11.807836317459236","11.807836317459236"
"22","12.548023765254172","12.548023765254172","12.548023765254172"
"24","11.616386600993495","11.616386600993495","11.616386600993495"
"26","12.575901930752329","12.575901930752329","12.575901930752329"
"28","12.520787724643755","12.520787724643755","12.520787724643755"
"30","11.989497621601048","11.989497621601048","11.989497621601048"
"32","12.694265684630968","12.694265684630968","12.694265684630968"
"34","12.60926036356361","12.60926036356361","12.60926036356361"
"36","12.164078506947575","12.164078506947575","12.164078506947575"
"38","12.028132324006148","12.028132324006148","12.028132324006148"
"40","12.145203984467088","12.145203984467088","12.145203984467088"
"42","12.995280982835531","12.995280982835531","12.995280982835531"
"44","11.938139759937416","11.938139759937416","11.938139759937416"
"46","12.5150576061757","12.5150576061757","12.5150576061757"
"48","11.226708815609069","11.226708815609069","11.226708815609069"
"50","12.440282161321862","12.440282161321862","12.440282161321862"
"52","12.123124755871524","12.123124755871524","12.123124755871524"
"54","11.735171384745597","11.735171384745597","11.735171384745597"
"56","11.831112436175092","11.831112436175092","11.831112436175092"
"58","12.40464708088816","12.40464708088816","12.40464708088816"
"60","11.427510622327242","11.427510622327242","11.427510622327242"
"62","11.934356861686505","11.934356861686505","11.934356861686505"
"64","11.107918598849302","11.107918598849302","11.107918598849302"
"66","11.340393511353025","11.340393511353025","11.340393511353025"
"68","11.362858396933085","11.362858396933085","11.362858396933085"
"70","11.454252424893106","11.454252424893106","11.454252424893106"
"72","11.6327395356891","11.6327395356891","11.6327395356891"
"74","11.125958194145475","11.125958194145475","11.125958194145475"
"76","11.235521978759968","11.235521978759968","11.235521978759968"
"78","11.610517794665764","11.610517794665764","11.610517794665764"
"80","11.748886952860849","11.748886952860849","11.748886952860849"
"82","11.73783346422159","11.73783346422159","11.73783346422159"
"84","11.99038417779716","11.99038417779716","11.99038417779716"
"86","11.386366919727084","11.386366919727084","11.386366919727084"
"88","11.604896323189868","11.604896323189868","11.604896323189868"
"90","11.42822948117165","11.42822948117165","11.42822948117165"
"92","11.960322704284811","11.960322704284811","11.960322704284811"
"94","11.711565105651848","11.711565105651848","11.711565105651848"
"96","12.29509774970401","12.29509774970401","12.29509774970401"
"98","11.782111381649212","11.782111381649212","11.782111381649212"
"100","11.11817131870112","11.11817131870112","11.11817131870112"
"102","11.50419122588103","11.50419122588103","11.50419122588103"
"104","11.032518379754068","11.032518379754068","11.032518379754068"
"106","11.55066999533627","11.55066999533627","11.55066999533627"
"108","11.553592084446278","11.553592084446278","11.553592084446278"
"110","10.9177250139526","10.9177250139526","10.9177250139526"
"112","11.49652315666721","11.49652315666721","11.49652315666721"
"114","11.003495351017914","11.003495351017914","11.003495351017914"
"116","11.925130831334748","11.925130831334748","11.925130831334748"
"118","11.208755698173668","11.208755698173668","11.208755698173668"
"120","11.34966734032722","11.34966734032722","11.34966734032722"
"122","11.281377275025516","11.281377275025516","11.281377275025516"
"124","12.402700644516388","12.402700644516388","12.402700644516388"
"126","11.94699142794194","11.94699142794194","11.94699142794194"
"128","11.078893369423607","11.078893369423607","11.078893369423607"
"130","11.138971412510882","11.138971412510882","11.138971412510882"
"132","11.233671067626611","11.233671067626611","11.233671067626611"
"134","11.234643695081116","11.234643695081116","11.234643695081116"
"136","11.516924682189956","11.516924682189956","11.516924682189956"
"138","11.098408136018522","11.098408136018522","11.098408136018522"
"140","11.33263082134749","11.33263082134749","11.33263082134749"
"142","11.060804535375786","11.060804535375786","11.060804535375786"
"144","10.773142307680375","10.773142307680375","10.773142307680375"
"146","11.373003601142049","11.373003601142049","11.373003601142049"
"148","11.34782908853705","11.34782908853705","11.34782908853705"
"150","11.892786483223018","11.892786483223018","11.892786483223018"
"152","11.647171377756036","11.647171377756036","11.647171377756036"
"154","11.344701341383017","11.344701341383017","11.344701341383017"
"156","11.587841127202262","11.587841127202262","11.587841127202262"
"158","10.961333337230034","10.961333337230034","10.961333337230034"
"160","11.467436566474332","11.467436566474332","11.467436566474332"
"162","11.623913060201454","11.623913060201454","11.623913060201454"
"164","11.213415757232918","11.213415757232918","11.213415757232918"
"166","11.509745777665684","11.509745777665684","11.509745777665684"
"168","11.2367536941911","11.2367536941911","11.2367536941911"
"170","11.43620387763734","11.43620387763734","11.43620387763734"
"172","11.511401653795993","11.511401653795993","11.511401653795993"
"174","10.999101101592847","10.999101101592847","10.999101101592847"
"176","10.53457265130527","10.53457265130527","10.53457265130527"
"178","11.168361761514296","11.168361761514296","11.168361761514296"
"180","11.176902827057363","11.176902827057363","11.176902827057363"
"182","11.338629944056208","11.338629944056208","11.338629944056208"
"184","11.853889546703128","11.853889546703128","11.853889546703128"
"186","11.44264963174322","11.44264963174322","11.44264963174322"
"188","11.08778600707935","11.08778600707935","11.08778600707935"
"190","10.727830710810968","10.727830710810968","10.727830710810968"
"192","10.854014819215058","10.854014819215058","10.854014819215058"
"194","10.901928614405817","10.901928614405817","10.901928614405817"
"196","10.44566346353786","10.44566346353786","10.44566346353786"
"198","10.447164008571844","10.447164008571844","10.447164008571844"
"200","10.858994039127529","10.858994039127529","10.858994039127529"
"202","10.762788926340212","10.762788926340212","10.762788926340212"
"204","10.426663701701315","10.426663701701315","10.426663701701315"
"206","10.394538162367104","10.394538162367104","10.394538162367104"
"208","10.571382282013094","10.571382282013094","10.571382282013094"
"210","10.44693140910183","10.44693140910183","10.44693140910183"
"212","10.243032716894858","10.243032716894858","10.243032716894858"
"214","10.712805978178723","10.712805978178723","10.712805978178723"
"216","10.496823265674008","10.496823265674008","10.496823265674008"
"218","10.740687724005138","10.740687724005138","10.740687724005138"
"220","10.86971110029585","10.86971110029585","10.86971110029585"
"222","10.60121624333084","10.60121624333084","10.60121624333084"
"224","10.913281991729818","10.913281991729818","10.913281991729818"
"226","10.574570419935158","10.574570419935158","10.574570419935158"
"228","10.7655135715843","10.7655135715843","10.7655135715843"
"230","10.622613246273843","10.622613246273843","10.622613246273843"
"232","10.474132146931504","10.474132146931504","10.474132146931504"
"234","10.44550904511393","10.44550904511393","10.44550904511393"
"236","10.494091005715088","10.494091005715088","10.494091005715088"
"238","10.4736024456419","10.4736024456419","10.4736024456419"
"240","10.46731919607033","10.46731919607033","10.46731919607033"
"242","10.349771376754576","10.349771376754576","10.349771376754576"
"244","10.421950476058225","10.421950476058225","10.421950476058225"
"246","10.39727050850599","10.39727050850599","10.39727050850599"
"248","10.403227646892493","10.403227646892493","10.403227646892493"
"250","10.280532379312374","10.280532379312374","10.280532379312374"
"252","10.40303001041878","10.40303001041878","10.40303001041878"
"254","10.384558181094516","10.384558181094516","10.384558181094516"
"256","10.350586498239238","10.350586498239238","10.350586498239238"
"258","10.51809742635476","10.51809742635476","10.51809742635476"
"260","10.683574121975342","10.683574121975342","10.683574121975342"
"262","10.55021321482466","10.55021321482466","10.55021321482466"
"264","10.495589871821636","10.495589871821636","10.495589871821636"
"266","10.317003475379538","10.317003475379538","10.317003475379538"
"268","10.415822697672874","10.415822697672874","10.415822697672874"
"270","10.262691703191988","10.262691703191988","10.262691703191988"
"272","10.27665019528881","10.27665019528881","10.27665019528881"
"274","10.24081285490858","10.24081285490858","10.24081285490858"
"276","10.520087068627594","10.520087068627594","10.520087068627594"
"278","10.5097171661707","10.5097171661707","10.5097171661707"
"280","10.35525266114314","10.35525266114314","10.35525266114314"
"282","10.371100302081706","10.371100302081706","10.371100302081706"
"284","10.446468179266418","10.446468179266418","10.446468179266418"
"286","10.479226504921154","10.479226504921154","10.479226504921154"
"288","10.29117905435542","10.29117905435542","10.29117905435542"
"290","9.997078984279794","9.997078984279794","9.997078984279794"
"292","10.245182843344988","10.245182843344988","10.245182843344988"
"294","9.865864574149915","9.865864574149915","9.865864574149915"
"296","9.697440561721786","9.697440561721786","9.697440561721786"
"298","9.808045359300706","9.808045359300706","9.808045359300706"
"300","9.96063640023999","9.96063640023999","9.96063640023999"
"302","10.071318152856929","10.071318152856929","10.071318152856929"
"304","9.798227288034564","9.798227288034564","9.798227288034564"
