"Step","downstream_eval - hellaswag","downstream_eval - hellaswag__MIN","downstream_eval - hellaswag__MAX"
"1","24.825731925911175","24.825731925911175","24.825731925911175"
"2","27.35510854411472","27.35510854411472","27.35510854411472"
"3","30.402310296753637","30.402310296753637","30.402310296753637"
"4","33.74825731925911","33.74825731925911","33.74825731925911"
"5","37.46265684126668","37.46265684126668","37.46265684126668"
"6","40.47998406691894","40.47998406691894","40.47998406691894"
"7","43.25831507667795","43.25831507667795","43.25831507667795"
"8","44.77195777733519","44.77195777733519","44.77195777733519"
"9","47.062338179645494","47.062338179645494","47.062338179645494"
"10","48.37681736705836","48.37681736705836","48.37681736705836"
"11","49.701254730133435","49.701254730133435","49.701254730133435"
"12","50.248954391555465","50.248954391555465","50.248954391555465"
"13","51.513642700657236","51.513642700657236","51.513642700657236"
"14","52.58912567217686","52.58912567217686","52.58912567217686"
"15","53.42561242780322","53.42561242780322","53.42561242780322"
"16","54.34176458872735","54.34176458872735","54.34176458872735"
"17","54.690300736904994","54.690300736904994","54.690300736904994"
"18","55.437163911571396","55.437163911571396","55.437163911571396"
"19","56.124278032264485","56.124278032264485","56.124278032264485"
"20","56.1840270862378","56.1840270862378","56.1840270862378"
"21","56.89105755825533","56.89105755825533","56.89105755825533"
"22","57.5682135032862","57.5682135032862","57.5682135032862"
"23","57.86695877315275","57.86695877315275","57.86695877315275"
"24","58.424616610237","58.424616610237","58.424616610237"
"25","58.67357100179247","58.67357100179247","58.67357100179247"
"26","59.32085241983669","59.32085241983669","59.32085241983669"
"27","59.529974108743275","59.529974108743275","59.529974108743275"
"28","60.127464648476405","60.127464648476405","60.127464648476405"
"29","60.466042620991836","60.466042620991836","60.466042620991836"
"30","60.4461262696674","60.4461262696674","60.4461262696674"
"31","60.76478789085839","60.76478789085839","60.76478789085839"
"32","60.645289782911775","60.645289782911775","60.645289782911775"
"33","60.69508066122287","60.69508066122287","60.69508066122287"
"34","61.77056363274248","61.77056363274248","61.77056363274248"
"35","61.87014538936467","61.87014538936467","61.87014538936467"
"36","62.3083051185023","62.3083051185023","62.3083051185023"
"37","62.158932483569004","62.158932483569004","62.158932483569004"
"38","62.48755228042223","62.48755228042223","62.48755228042223"
"39","62.55725951005776","62.55725951005776","62.55725951005776"
"40","62.17884883489345","62.17884883489345","62.17884883489345"
"41","62.238597888866764","62.238597888866764","62.238597888866764"
"42","62.776339374626566","62.776339374626566","62.776339374626566"
"43","63.61282613025294","63.61282613025294","63.61282613025294"
"44","62.96554471220872","62.96554471220872","62.96554471220872"
"45","63.56303525194185","63.56303525194185","63.56303525194185"
"46","63.57299342760406","63.57299342760406","63.57299342760406"
"47","64.22027484564828","64.22027484564828","64.22027484564828"
"48","64.08086038637721","64.08086038637721","64.08086038637721"
"49","64.0211113324039","64.0211113324039","64.0211113324039"
"50","64.30989842660824","64.30989842660824","64.30989842660824"
"51","64.19040031866162","64.19040031866162","64.19040031866162"
"52","64.22027484564828","64.22027484564828","64.22027484564828"
"53","64.60864369647481","64.60864369647481","64.60864369647481"
"54","64.45927106154153","64.45927106154153","64.45927106154153"
"55","65.0368452499502","65.0368452499502","65.0368452499502"
"56","64.9770961959769","64.9770961959769","64.9770961959769"
"57","65.09659430392351","65.09659430392351","65.09659430392351"
"58","65.27584146584346","65.27584146584346","65.27584146584346"
"59","65.44513045210117","65.44513045210117","65.44513045210117"
"60","65.71400119498108","65.71400119498108","65.71400119498108"
"61","65.28579964150568","65.28579964150568","65.28579964150568"
"62","65.71400119498108","65.71400119498108","65.71400119498108"
"63","65.68412666799442","65.68412666799442","65.68412666799442"
"64","65.75383389762996","65.75383389762996","65.75383389762996"
"65","65.97291376219877","65.97291376219877","65.97291376219877"
"66","66.55048795060745","66.55048795060745","66.55048795060745"
"67","66.17207727544314","66.17207727544314","66.17207727544314"
"68","65.91316470822545","65.91316470822545","65.91316470822545"
"69","66.39115714001194","66.39115714001194","66.39115714001194"
"70","66.69986058554073","66.69986058554073","66.69986058554073"
"71","66.29157538338977","66.29157538338977","66.29157538338977"
"72","66.56044612626967","66.56044612626967","66.56044612626967"
"73","66.4110734913364","66.4110734913364","66.4110734913364"
"74","66.56044612626967","66.56044612626967","66.56044612626967"
"75","66.12228639713204","66.12228639713204","66.12228639713204"
"76","67.0583549093806","67.0583549093806","67.0583549093806"
"77","66.8990240987851","66.8990240987851","66.8990240987851"
"78","66.46086436964748","66.46086436964748","66.46086436964748"
"79","66.86914957179845","66.86914957179845","66.86914957179845"
"80","66.8990240987851","66.8990240987851","66.8990240987851"
"81","66.81935869348735","66.81935869348735","66.81935869348735"
"82","67.28739294961163","67.28739294961163","67.28739294961163"
"83","67.23760207130054","67.23760207130054","67.23760207130054"
"84","67.43676558454491","67.43676558454491","67.43676558454491"
"85","67.59609639514042","67.59609639514042","67.59609639514042"
"86","67.29735112527385","67.29735112527385","67.29735112527385"
"87","67.25751842262497","67.25751842262497","67.25751842262497"
"88","67.61601274646485","67.61601274646485","67.61601274646485"
"89","68.15375423222466","68.15375423222466","68.15375423222466"
"90","67.26747659828719","67.26747659828719","67.26747659828719"
"91","67.40689105755825","67.40689105755825","67.40689105755825"
"92","68.37283409679347","68.37283409679347","68.37283409679347"
"93","67.88488348934474","67.88488348934474","67.88488348934474"
"94","68.2832105158335","68.2832105158335","68.2832105158335"
"95","68.42262497510457","68.42262497510457","68.42262497510457"
"96","68.25333598884684","68.25333598884684","68.25333598884684"
"97","68.14379605656244","68.14379605656244","68.14379605656244"
"98","68.31308504282015","68.31308504282015","68.31308504282015"
