"Step","downstream_eval - economic_business","downstream_eval - economic_business__MIN","downstream_eval - economic_business__MAX"
"0","22.41941945014568","22.41941945014568","22.41941945014568"
"2","23.160871421308933","23.160871421308933","23.160871421308933"
"4","26.047655320571835","26.047655320571835","26.047655320571835"
"6","25.509202055981046","25.509202055981046","25.509202055981046"
"8","26.49481565054009","26.49481565054009","26.49481565054009"
"10","25.39164366099168","25.39164366099168","25.39164366099168"
"12","28.715418966628572","28.715418966628572","28.715418966628572"
"14","24.734007600298693","24.734007600298693","24.734007600298693"
"16","23.467323196893915","23.467323196893915","23.467323196893915"
"18","23.820492428550477","23.820492428550477","23.820492428550477"
"20","25.27291253200209","25.27291253200209","25.27291253200209"
"22","28.385220165635243","28.385220165635243","28.385220165635243"
"24","24.08118090551905","24.08118090551905","24.08118090551905"
"26","24.564471971403822","24.564471971403822","24.564471971403822"
"28","28.23615082358515","28.23615082358515","28.23615082358515"
"30","22.661510197206187","22.661510197206187","22.661510197206187"
"32","24.583080119004233","24.583080119004233","24.583080119004233"
"34","23.415984600169775","23.415984600169775","23.415984600169775"
"36","24.763929819268444","24.763929819268444","24.763929819268444"
"38","26.632686844876677","26.632686844876677","26.632686844876677"
"40","24.182091454655495","24.182091454655495","24.182091454655495"
"42","28.03380386532862","28.03380386532862","28.03380386532862"
"44","23.823758101797637","23.823758101797637","23.823758101797637"
"46","23.327946906265527","23.327946906265527","23.327946906265527"
"48","26.835058657876633","26.835058657876633","26.835058657876633"
"50","25.483023729836457","25.483023729836457","25.483023729836457"
"52","24.149188952637328","24.149188952637328","24.149188952637328"
"54","25.121766314753646","25.121766314753646","25.121766314753646"
"56","24.181310943180222","24.181310943180222","24.181310943180222"
"58","24.985097090842913","24.985097090842913","24.985097090842913"
"60","23.928893899197863","23.928893899197863","23.928893899197863"
"62","24.555808249518755","24.555808249518755","24.555808249518755"
"64","26.59812446249102","26.59812446249102","26.59812446249102"
"66","23.67182980441853","23.67182980441853","23.67182980441853"
"68","23.385964305656607","23.385964305656607","23.385964305656607"
"70","25.728659034807013","25.728659034807013","25.728659034807013"
"72","25.121976086548198","25.121976086548198","25.121976086548198"
"74","24.96962559285453","24.96962559285453","24.96962559285453"
"76","23.466864850334645","23.466864850334645","23.466864850334645"
"78","23.657467407146843","23.657467407146843","23.657467407146843"
"80","24.55712886102651","24.55712886102651","24.55712886102651"
"82","23.252368276447303","23.252368276447303","23.252368276447303"
"84","23.124350516665952","23.124350516665952","23.124350516665952"
"86","25.608702858688126","25.608702858688126","25.608702858688126"
"88","25.771586884164552","25.771586884164552","25.771586884164552"
"90","23.280787725893436","23.280787725893436","23.280787725893436"
"92","21.66325214071745","21.66325214071745","21.66325214071745"
"94","24.003869637031244","24.003869637031244","24.003869637031244"
"96","25.077282491994346","25.077282491994346","25.077282491994346"
"98","23.090761529907258","23.090761529907258","23.090761529907258"
"100","23.661420683116628","23.661420683116628","23.661420683116628"
"102","25.704517367070505","25.704517367070505","25.704517367070505"
"104","25.0300753586457","25.0300753586457","25.0300753586457"
"106","23.592982544088578","23.592982544088578","23.592982544088578"
"108","24.758984220843754","24.758984220843754","24.758984220843754"
"110","24.837349414809143","24.837349414809143","24.837349414809143"
"112","23.78697658584344","23.78697658584344","23.78697658584344"
"114","24.35084022817924","24.35084022817924","24.35084022817924"
"116","23.340525515680405","23.340525515680405","23.340525515680405"
"118","24.496136299641137","24.496136299641137","24.496136299641137"
"120","25.249273932786274","25.249273932786274","25.249273932786274"
"122","24.182760333353166","24.182760333353166","24.182760333353166"
"124","23.211291211323736","23.211291211323736","23.211291211323736"
"126","24.035973764178987","24.035973764178987","24.035973764178987"
"128","26.24621402391109","26.24621402391109","26.24621402391109"
"130","25.87493013090133","25.87493013090133","25.87493013090133"
"132","27.797693246262934","27.797693246262934","27.797693246262934"
"134","26.10249356215466","26.10249356215466","26.10249356215466"
"136","25.4198478289392","25.4198478289392","25.4198478289392"
"138","25.103000086580924","25.103000086580924","25.103000086580924"
"140","23.80557247568817","23.80557247568817","23.80557247568817"
"142","23.604131544987517","23.604131544987517","23.604131544987517"
"144","24.754031462179864","24.754031462179864","24.754031462179864"
"146","23.3369148581661","23.3369148581661","23.3369148581661"
"148","25.25717055886977","25.25717055886977","25.25717055886977"
"150","25.410070643284545","25.410070643284545","25.410070643284545"
"152","23.36465096308287","23.36465096308287","23.36465096308287"
"154","25.214981782247914","25.214981782247914","25.214981782247914"
"156","25.418317129942483","25.418317129942483","25.418317129942483"
"158","24.775802803156605","24.775802803156605","24.775802803156605"
"160","24.95799531694654","24.95799531694654","24.95799531694654"
"162","25.438890105433465","25.438890105433465","25.438890105433465"
"164","24.91714665773094","24.91714665773094","24.91714665773094"
"166","26.08895545447148","26.08895545447148","26.08895545447148"
"168","24.096449404752327","24.096449404752327","24.096449404752327"
"170","26.05685716822804","26.05685716822804","26.05685716822804"
"172","24.614243509501936","24.614243509501936","24.614243509501936"
"174","23.679891386630803","23.679891386630803","23.679891386630803"
"176","25.911584284910823","25.911584284910823","25.911584284910823"
"178","23.757680153396258","23.757680153396258","23.757680153396258"
"180","23.018801510648252","23.018801510648252","23.018801510648252"
