"Step","Group: OLMo-1B - eval/v3-small-dolma_books-validation/CrossEntropyLoss","Group: OLMo-1B - eval/v3-small-dolma_books-validation/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/v3-small-dolma_books-validation/CrossEntropyLoss__MAX"
"1000","4.781093120574951","4.781093120574951","4.781093120574951"
"2000","4.18505334854126","4.18505334854126","4.18505334854126"
"3000","3.926893711090088","3.926893711090088","3.926893711090088"
"4000","3.780503273010254","3.780503273010254","3.780503273010254"
"5000","3.6905598640441895","3.6905598640441895","3.6905598640441895"
"6000","3.603074312210083","3.603074312210083","3.603074312210083"
"7000","3.541574716567993","3.541574716567993","3.541574716567993"
"8000","3.498828411102295","3.498828411102295","3.498828411102295"
"9000","3.458897829055786","3.458897829055786","3.458897829055786"
"10000","3.425361394882202","3.425361394882202","3.425361394882202"
"11000","3.3924927711486816","3.3924927711486816","3.3924927711486816"
"12000","3.3702824115753174","3.3702824115753174","3.3702824115753174"
"13000","3.349135398864746","3.349135398864746","3.349135398864746"
"14000","3.3280692100524902","3.3280692100524902","3.3280692100524902"
"15000","3.3133599758148193","3.3133599758148193","3.3133599758148193"
"16000","3.2935965061187744","3.2935965061187744","3.2935965061187744"
"17000","3.2776732444763184","3.2776732444763184","3.2776732444763184"
"18000","3.25879168510437","3.25879168510437","3.25879168510437"
"19000","3.245443105697632","3.245443105697632","3.245443105697632"
"20000","3.2302377223968506","3.2302377223968506","3.2302377223968506"
"21000","3.2201690673828125","3.2201690673828125","3.2201690673828125"
"22000","3.217028856277466","3.217028856277466","3.217028856277466"
"23000","3.2048633098602295","3.2048633098602295","3.2048633098602295"
"24000","3.1901447772979736","3.1901447772979736","3.1901447772979736"
"25000","3.1848995685577393","3.1848995685577393","3.1848995685577393"
"26000","3.172358751296997","3.172358751296997","3.172358751296997"
"27000","3.163233518600464","3.163233518600464","3.163233518600464"
"28000","3.155073881149292","3.155073881149292","3.155073881149292"
"29000","3.146233558654785","3.146233558654785","3.146233558654785"
"30000","3.1414475440979004","3.1414475440979004","3.1414475440979004"
"31000","3.133099317550659","3.133099317550659","3.133099317550659"
"32000","3.124342918395996","3.124342918395996","3.124342918395996"
"33000","3.1232168674468994","3.1232168674468994","3.1232168674468994"
"34000","3.115572214126587","3.115572214126587","3.115572214126587"
"35000","3.1112446784973145","3.1112446784973145","3.1112446784973145"
"36000","3.1066572666168213","3.1066572666168213","3.1066572666168213"
"37000","3.0994865894317627","3.0994865894317627","3.0994865894317627"
"38000","3.094970703125","3.094970703125","3.094970703125"
"39000","3.087894916534424","3.087894916534424","3.087894916534424"
"40000","3.0845489501953125","3.0845489501953125","3.0845489501953125"
"41000","3.0827553272247314","3.0827553272247314","3.0827553272247314"
"42000","3.077380418777466","3.077380418777466","3.077380418777466"
"43000","3.072690010070801","3.072690010070801","3.072690010070801"
"44000","3.0682857036590576","3.0682857036590576","3.0682857036590576"
"45000","3.0666122436523438","3.0666122436523438","3.0666122436523438"
"46000","3.061772108078003","3.061772108078003","3.061772108078003"
"47000","3.0636661052703857","3.0636661052703857","3.0636661052703857"
