"Step","Group: OLMo-1B - eval/v2-small-c4_en-validation/CrossEntropyLoss","Group: OLMo-1B - eval/v2-small-c4_en-validation/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/v2-small-c4_en-validation/CrossEntropyLoss__MAX"
"1000","4.282054424285889","4.282054424285889","4.282054424285889"
"2000","3.7608344554901123","3.7608344554901123","3.7608344554901123"
"3000","3.536754608154297","3.536754608154297","3.536754608154297"
"4000","3.419487476348877","3.419487476348877","3.419487476348877"
"5000","3.3417046070098877","3.3417046070098877","3.3417046070098877"
"6000","3.288456439971924","3.288456439971924","3.288456439971924"
"7000","3.2460968494415283","3.2460968494415283","3.2460968494415283"
"8000","3.2091264724731445","3.2091264724731445","3.2091264724731445"
"9000","3.1751439571380615","3.1751439571380615","3.1751439571380615"
"10000","3.1501176357269287","3.1501176357269287","3.1501176357269287"
"11000","3.1246042251586914","3.1246042251586914","3.1246042251586914"
"12000","3.1043288707733154","3.1043288707733154","3.1043288707733154"
"13000","3.0851776599884033","3.0851776599884033","3.0851776599884033"
"14000","3.070054769515991","3.070054769515991","3.070054769515991"
"15000","3.0598320960998535","3.0598320960998535","3.0598320960998535"
"16000","3.0467982292175293","3.0467982292175293","3.0467982292175293"
"17000","3.032536268234253","3.032536268234253","3.032536268234253"
"18000","3.0185017585754395","3.0185017585754395","3.0185017585754395"
"19000","3.006842613220215","3.006842613220215","3.006842613220215"
"20000","3.0017125606536865","3.0017125606536865","3.0017125606536865"
"21000","2.9904205799102783","2.9904205799102783","2.9904205799102783"
"22000","2.978987693786621","2.978987693786621","2.978987693786621"
"23000","2.976543426513672","2.976543426513672","2.976543426513672"
"24000","2.966047763824463","2.966047763824463","2.966047763824463"
"25000","2.9586286544799805","2.9586286544799805","2.9586286544799805"
"26000","2.9512290954589844","2.9512290954589844","2.9512290954589844"
"27000","2.9463136196136475","2.9463136196136475","2.9463136196136475"
"28000","2.939405918121338","2.939405918121338","2.939405918121338"
"29000","2.9331023693084717","2.9331023693084717","2.9331023693084717"
"30000","2.9287939071655273","2.9287939071655273","2.9287939071655273"
"31000","2.9241795539855957","2.9241795539855957","2.9241795539855957"
"32000","2.9147298336029053","2.9147298336029053","2.9147298336029053"
"33000","2.9135701656341553","2.9135701656341553","2.9135701656341553"
"34000","2.9093241691589355","2.9093241691589355","2.9093241691589355"
"35000","2.9052021503448486","2.9052021503448486","2.9052021503448486"
"36000","2.899569511413574","2.899569511413574","2.899569511413574"
"37000","2.896902561187744","2.896902561187744","2.896902561187744"
"38000","2.8925845623016357","2.8925845623016357","2.8925845623016357"
"39000","2.8884470462799072","2.8884470462799072","2.8884470462799072"
"40000","2.88670015335083","2.88670015335083","2.88670015335083"
"41000","2.882848024368286","2.882848024368286","2.882848024368286"
"42000","2.8786890506744385","2.8786890506744385","2.8786890506744385"
"43000","2.872779130935669","2.872779130935669","2.872779130935669"
"44000","2.8729467391967773","2.8729467391967773","2.8729467391967773"
"45000","2.8727777004241943","2.8727777004241943","2.8727777004241943"
"46000","2.8673691749572754","2.8673691749572754","2.8673691749572754"
"47000","2.867933988571167","2.867933988571167","2.867933988571167"
"48000","2.860384225845337","2.860384225845337","2.860384225845337"
"49000","2.857691526412964","2.857691526412964","2.857691526412964"
