"Step","Group: OLMo-1B - eval/v3-small-dolma_wiki-validation/CrossEntropyLoss","Group: OLMo-1B - eval/v3-small-dolma_wiki-validation/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/v3-small-dolma_wiki-validation/CrossEntropyLoss__MAX"
"1000","4.240932941436768","4.240932941436768","4.240932941436768"
"2000","3.617471933364868","3.617471933364868","3.617471933364868"
"3000","3.350733757019043","3.350733757019043","3.350733757019043"
"4000","3.2133259773254395","3.2133259773254395","3.2133259773254395"
"5000","3.1262426376342773","3.1262426376342773","3.1262426376342773"
"6000","3.058150291442871","3.058150291442871","3.058150291442871"
"7000","3.0081470012664795","3.0081470012664795","3.0081470012664795"
"8000","2.9681015014648438","2.9681015014648438","2.9681015014648438"
"9000","2.9357781410217285","2.9357781410217285","2.9357781410217285"
"10000","2.9051389694213867","2.9051389694213867","2.9051389694213867"
"11000","2.881056070327759","2.881056070327759","2.881056070327759"
"12000","2.859795570373535","2.859795570373535","2.859795570373535"
"13000","2.839662790298462","2.839662790298462","2.839662790298462"
"14000","2.821460247039795","2.821460247039795","2.821460247039795"
"15000","2.8069000244140625","2.8069000244140625","2.8069000244140625"
"16000","2.792717456817627","2.792717456817627","2.792717456817627"
"17000","2.778132200241089","2.778132200241089","2.778132200241089"
"18000","2.7644619941711426","2.7644619941711426","2.7644619941711426"
"19000","2.7542645931243896","2.7542645931243896","2.7542645931243896"
"20000","2.745614528656006","2.745614528656006","2.745614528656006"
"21000","2.7330703735351562","2.7330703735351562","2.7330703735351562"
"22000","2.7239253520965576","2.7239253520965576","2.7239253520965576"
"23000","2.721547842025757","2.721547842025757","2.721547842025757"
"24000","2.7075343132019043","2.7075343132019043","2.7075343132019043"
"25000","2.7003936767578125","2.7003936767578125","2.7003936767578125"
"26000","2.694483995437622","2.694483995437622","2.694483995437622"
"27000","2.688769578933716","2.688769578933716","2.688769578933716"
"28000","2.6812195777893066","2.6812195777893066","2.6812195777893066"
"29000","2.6749155521392822","2.6749155521392822","2.6749155521392822"
"30000","2.6692891120910645","2.6692891120910645","2.6692891120910645"
"31000","2.663802146911621","2.663802146911621","2.663802146911621"
"32000","2.6583213806152344","2.6583213806152344","2.6583213806152344"
"33000","2.6532974243164062","2.6532974243164062","2.6532974243164062"
"34000","2.6483168601989746","2.6483168601989746","2.6483168601989746"
"35000","2.6457743644714355","2.6457743644714355","2.6457743644714355"
"36000","2.639697790145874","2.639697790145874","2.639697790145874"
"37000","2.634495496749878","2.634495496749878","2.634495496749878"
"38000","2.631131887435913","2.631131887435913","2.631131887435913"
"39000","2.6264989376068115","2.6264989376068115","2.6264989376068115"
"40000","2.6240034103393555","2.6240034103393555","2.6240034103393555"
"41000","2.618239402770996","2.618239402770996","2.618239402770996"
"42000","2.6156628131866455","2.6156628131866455","2.6156628131866455"
"43000","2.613820791244507","2.613820791244507","2.613820791244507"
"44000","2.6108250617980957","2.6108250617980957","2.6108250617980957"
"45000","2.606898546218872","2.606898546218872","2.606898546218872"
"46000","2.6031620502471924","2.6031620502471924","2.6031620502471924"
"47000","2.6067211627960205","2.6067211627960205","2.6067211627960205"
"48000","2.5979182720184326","2.5979182720184326","2.5979182720184326"
"49000","2.595269203186035","2.595269203186035","2.595269203186035"
"50000","2.593989610671997","2.593989610671997","2.593989610671997"
"51000","2.590451955795288","2.590451955795288","2.590451955795288"
"52000","2.5882136821746826","2.5882136821746826","2.5882136821746826"
"53000","2.5848419666290283","2.5848419666290283","2.5848419666290283"
"54000","2.587258815765381","2.587258815765381","2.587258815765381"
"55000","2.5841777324676514","2.5841777324676514","2.5841777324676514"
"56000","2.580674409866333","2.580674409866333","2.580674409866333"
"57000","2.5777223110198975","2.5777223110198975","2.5777223110198975"
"58000","2.577597141265869","2.577597141265869","2.577597141265869"
"59000","2.5745434761047363","2.5745434761047363","2.5745434761047363"
"60000","2.5708632469177246","2.5708632469177246","2.5708632469177246"
"61000","2.56915545463562","2.56915545463562","2.56915545463562"
"62000","2.567208766937256","2.567208766937256","2.567208766937256"
"63000","2.5650839805603027","2.5650839805603027","2.5650839805603027"
"64000","2.5646300315856934","2.5646300315856934","2.5646300315856934"
"65000","2.560762643814087","2.560762643814087","2.560762643814087"
"66000","2.561213254928589","2.561213254928589","2.561213254928589"
"67000","2.560265064239502","2.560265064239502","2.560265064239502"
"68000","2.557361125946045","2.557361125946045","2.557361125946045"
"69000","2.554529905319214","2.554529905319214","2.554529905319214"
"70000","2.55199933052063","2.55199933052063","2.55199933052063"
"71000","2.55145263671875","2.55145263671875","2.55145263671875"
"72000","2.552833080291748","2.552833080291748","2.552833080291748"
"73000","2.5503244400024414","2.5503244400024414","2.5503244400024414"
"74000","2.5480051040649414","2.5480051040649414","2.5480051040649414"
"75000","2.5458076000213623","2.5458076000213623","2.5458076000213623"
"76000","2.545501708984375","2.545501708984375","2.545501708984375"
"77000","2.5427610874176025","2.5427610874176025","2.5427610874176025"
"78000","2.541378974914551","2.541378974914551","2.541378974914551"
"79000","2.5408151149749756","2.5408151149749756","2.5408151149749756"
"80000","2.540964365005493","2.540964365005493","2.540964365005493"
"81000","2.538724184036255","2.538724184036255","2.538724184036255"
"82000","2.5417048931121826","2.5417048931121826","2.5417048931121826"
"83000","2.5372872352600098","2.5372872352600098","2.5372872352600098"
"84000","2.5352416038513184","2.5352416038513184","2.5352416038513184"
"85000","2.5346293449401855","2.5346293449401855","2.5346293449401855"
"86000","2.537073850631714","2.537073850631714","2.537073850631714"
"87000","2.5323638916015625","2.5323638916015625","2.5323638916015625"
"88000","2.5363566875457764","2.5363566875457764","2.5363566875457764"
"89000","2.531198024749756","2.531198024749756","2.531198024749756"
"90000","2.536407947540283","2.536407947540283","2.536407947540283"
"91000","2.530251979827881","2.530251979827881","2.530251979827881"
"92000","2.528437376022339","2.528437376022339","2.528437376022339"
"93000","2.526980400085449","2.526980400085449","2.526980400085449"
"94000","2.524726629257202","2.524726629257202","2.524726629257202"
"95000","2.525604248046875","2.525604248046875","2.525604248046875"
"96000","2.523972749710083","2.523972749710083","2.523972749710083"
"97000","2.52337646484375","2.52337646484375","2.52337646484375"
"98000","2.5207512378692627","2.5207512378692627","2.5207512378692627"
"99000","2.519353151321411","2.519353151321411","2.519353151321411"
"100000","2.5194809436798096","2.5194809436798096","2.5194809436798096"
