"Step","Group: OLMo-1B - eval/v2-small-c4_100_domains-validation/CrossEntropyLoss","Group: OLMo-1B - eval/v2-small-c4_100_domains-validation/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/v2-small-c4_100_domains-validation/CrossEntropyLoss__MAX"
"1000","4.158494472503662","4.158494472503662","4.158494472503662"
"2000","3.608504295349121","3.608504295349121","3.608504295349121"
"3000","3.374614715576172","3.374614715576172","3.374614715576172"
"4000","3.2545838356018066","3.2545838356018066","3.2545838356018066"
"5000","3.1763195991516113","3.1763195991516113","3.1763195991516113"
"6000","3.1194190979003906","3.1194190979003906","3.1194190979003906"
"7000","3.0771312713623047","3.0771312713623047","3.0771312713623047"
"8000","3.0417208671569824","3.0417208671569824","3.0417208671569824"
"9000","3.0089008808135986","3.0089008808135986","3.0089008808135986"
"10000","2.985511064529419","2.985511064529419","2.985511064529419"
"11000","2.9605984687805176","2.9605984687805176","2.9605984687805176"
"12000","2.9413387775421143","2.9413387775421143","2.9413387775421143"
"13000","2.924304962158203","2.924304962158203","2.924304962158203"
"14000","2.9077229499816895","2.9077229499816895","2.9077229499816895"
"15000","2.895092010498047","2.895092010498047","2.895092010498047"
"16000","2.881455659866333","2.881455659866333","2.881455659866333"
"17000","2.8702118396759033","2.8702118396759033","2.8702118396759033"
"18000","2.8566179275512695","2.8566179275512695","2.8566179275512695"
"19000","2.84614634513855","2.84614634513855","2.84614634513855"
"20000","2.837568521499634","2.837568521499634","2.837568521499634"
"21000","2.8288936614990234","2.8288936614990234","2.8288936614990234"
"22000","2.819460153579712","2.819460153579712","2.819460153579712"
"23000","2.8166441917419434","2.8166441917419434","2.8166441917419434"
"24000","2.805445671081543","2.805445671081543","2.805445671081543"
"25000","2.7977724075317383","2.7977724075317383","2.7977724075317383"
"26000","2.7919390201568604","2.7919390201568604","2.7919390201568604"
"27000","2.787214756011963","2.787214756011963","2.787214756011963"
"28000","2.7800607681274414","2.7800607681274414","2.7800607681274414"
"29000","2.772840976715088","2.772840976715088","2.772840976715088"
"30000","2.768789529800415","2.768789529800415","2.768789529800415"
"31000","2.765256881713867","2.765256881713867","2.765256881713867"
"32000","2.7573325634002686","2.7573325634002686","2.7573325634002686"
"33000","2.755030393600464","2.755030393600464","2.755030393600464"
"34000","2.7492730617523193","2.7492730617523193","2.7492730617523193"
"35000","2.745795965194702","2.745795965194702","2.745795965194702"
"36000","2.740966320037842","2.740966320037842","2.740966320037842"
"37000","2.737812042236328","2.737812042236328","2.737812042236328"
"38000","2.7320199012756348","2.7320199012756348","2.7320199012756348"
"39000","2.729942798614502","2.729942798614502","2.729942798614502"
