"Step","Group: OLMo-1B - eval/v2-small-4chan-validation/CrossEntropyLoss","Group: OLMo-1B - eval/v2-small-4chan-validation/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/v2-small-4chan-validation/CrossEntropyLoss__MAX"
"1000","3.60158109664917","3.60158109664917","3.60158109664917"
"2000","3.057579517364502","3.057579517364502","3.057579517364502"
"3000","2.90492582321167","2.90492582321167","2.90492582321167"
"4000","2.80902361869812","2.80902361869812","2.80902361869812"
"5000","2.7592549324035645","2.7592549324035645","2.7592549324035645"
"6000","2.706328868865967","2.706328868865967","2.706328868865967"
"7000","2.6806676387786865","2.6806676387786865","2.6806676387786865"
"8000","2.6470189094543457","2.6470189094543457","2.6470189094543457"
"9000","2.6269161701202393","2.6269161701202393","2.6269161701202393"
"10000","2.604701042175293","2.604701042175293","2.604701042175293"
"11000","2.5926735401153564","2.5926735401153564","2.5926735401153564"
"12000","2.576533317565918","2.576533317565918","2.576533317565918"
"13000","2.566133499145508","2.566133499145508","2.566133499145508"
"14000","2.5525641441345215","2.5525641441345215","2.5525641441345215"
"15000","2.545442819595337","2.545442819595337","2.545442819595337"
"16000","2.530700206756592","2.530700206756592","2.530700206756592"
"17000","2.5268921852111816","2.5268921852111816","2.5268921852111816"
"18000","2.512556791305542","2.512556791305542","2.512556791305542"
"19000","2.5110912322998047","2.5110912322998047","2.5110912322998047"
"20000","2.506253242492676","2.506253242492676","2.506253242492676"
"21000","2.493582010269165","2.493582010269165","2.493582010269165"
"22000","2.4909589290618896","2.4909589290618896","2.4909589290618896"
"23000","2.4848368167877197","2.4848368167877197","2.4848368167877197"
"24000","2.4766581058502197","2.4766581058502197","2.4766581058502197"
"25000","2.475027322769165","2.475027322769165","2.475027322769165"
"26000","2.4694392681121826","2.4694392681121826","2.4694392681121826"
"27000","2.4682281017303467","2.4682281017303467","2.4682281017303467"
"28000","2.4630496501922607","2.4630496501922607","2.4630496501922607"
"29000","2.4616966247558594","2.4616966247558594","2.4616966247558594"
"30000","2.448439359664917","2.448439359664917","2.448439359664917"
"31000","2.4489214420318604","2.4489214420318604","2.4489214420318604"
"32000","2.4542086124420166","2.4542086124420166","2.4542086124420166"
"33000","2.438897132873535","2.438897132873535","2.438897132873535"
"34000","2.439720630645752","2.439720630645752","2.439720630645752"
"35000","2.4361493587493896","2.4361493587493896","2.4361493587493896"
"36000","2.435537576675415","2.435537576675415","2.435537576675415"
"37000","2.43009614944458","2.43009614944458","2.43009614944458"
