"Step","OLMo-7B-Twin-2T-run-024 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-024 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-024 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-022 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-022 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-022 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-021 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-021 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-021 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-020 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-020 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-020 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-019 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-019 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-019 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-018 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-018 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-018 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-017 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-017 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-017 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-016 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-016 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-016 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-015 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-015 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-015 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-014 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-014 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-014 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-013 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-013 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-013 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-012 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-012 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-012 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-011 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-011 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-011 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-010 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-010 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-010 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-009 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-009 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-009 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-008 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-008 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-008 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-007 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-007 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-007 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-006 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-006 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-006 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-005 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-005 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-005 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-003 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-003 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-003 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-002 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-002 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-002 - eval/manosphere-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-001 - eval/manosphere-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-001 - eval/manosphere-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-001 - eval/manosphere-validation/CrossEntropyLoss__MAX"
"1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.480205535888672","4.480205535888672","4.480205535888672"
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9499213695526123","3.9499213695526123","3.9499213695526123","","",""
"3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7125132083892822","3.7125132083892822","3.7125132083892822","","",""
"4000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5831050872802734","3.5831050872802734","3.5831050872802734","","",""
"5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4900457859039307","3.4900457859039307","3.4900457859039307","","",""
"6000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.420989751815796","3.420989751815796","3.420989751815796","","",""
"7000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.62168550491333","3.62168550491333","3.62168550491333","","",""
"8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3245723247528076","3.3245723247528076","3.3245723247528076","","",""
"9000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.288595676422119","3.288595676422119","3.288595676422119","","",""
"10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.262627124786377","3.262627124786377","3.262627124786377","","",""
"11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.233003616333008","3.233003616333008","3.233003616333008","","",""
"12000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2122135162353516","3.2122135162353516","3.2122135162353516","","",""
"13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.191340923309326","3.191340923309326","3.191340923309326","","",""
"14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1717164516448975","3.1717164516448975","3.1717164516448975","","",""
"15000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.158501148223877","3.158501148223877","3.158501148223877","","",""
"16000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.143092632293701","3.143092632293701","3.143092632293701","","",""
"17000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1265249252319336","3.1265249252319336","3.1265249252319336","","",""
"18000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.134610652923584","3.134610652923584","3.134610652923584","","",""
"19000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1100716590881348","3.1100716590881348","3.1100716590881348","","",""
"20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0945136547088623","3.0945136547088623","3.0945136547088623","","",""
"21000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.084885358810425","3.084885358810425","3.084885358810425","","",""
"22000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0742082595825195","3.0742082595825195","3.0742082595825195","","",""
"23000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0652406215667725","3.0652406215667725","3.0652406215667725","","",""
"24000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0593292713165283","3.0593292713165283","3.0593292713165283","","",""
"25000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.066740036010742","3.066740036010742","3.066740036010742","","",""
"26000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.047990083694458","3.047990083694458","3.047990083694458","","",""
"27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0371036529541016","3.0371036529541016","3.0371036529541016","","",""
"28000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.030374765396118","3.030374765396118","3.030374765396118","","",""
"29000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.023350238800049","3.023350238800049","3.023350238800049","","",""
"30000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.018509864807129","3.018509864807129","3.018509864807129","","",""
"31000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0290961265563965","3.0290961265563965","3.0290961265563965","","",""
