"Step","Group: OLMo-1B - eval/pile/CrossEntropyLoss","Group: OLMo-1B - eval/pile/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/pile/CrossEntropyLoss__MAX"
"1000","3.9241786003112793","3.9241786003112793","3.9241786003112793"
"2000","3.329038619995117","3.329038619995117","3.329038619995117"
"3000","3.0822248458862305","3.0822248458862305","3.0822248458862305"
"4000","2.9521796703338623","2.9521796703338623","2.9521796703338623"
"5000","2.8662185668945312","2.8662185668945312","2.8662185668945312"
"6000","2.805074691772461","2.805074691772461","2.805074691772461"
"7000","2.7543647289276123","2.7543647289276123","2.7543647289276123"
"8000","2.717310667037964","2.717310667037964","2.717310667037964"
"9000","2.6844065189361572","2.6844065189361572","2.6844065189361572"
"10000","2.657503128051758","2.657503128051758","2.657503128051758"
"11000","2.6330459117889404","2.6330459117889404","2.6330459117889404"
"12000","2.6112682819366455","2.6112682819366455","2.6112682819366455"
"13000","2.5920183658599854","2.5920183658599854","2.5920183658599854"
"14000","2.57548451423645","2.57548451423645","2.57548451423645"
"15000","2.562523603439331","2.562523603439331","2.562523603439331"
"16000","2.544872999191284","2.544872999191284","2.544872999191284"
"17000","2.534341335296631","2.534341335296631","2.534341335296631"
"18000","2.5218374729156494","2.5218374729156494","2.5218374729156494"
"19000","2.5138044357299805","2.5138044357299805","2.5138044357299805"
"20000","2.503096103668213","2.503096103668213","2.503096103668213"
"21000","2.492126941680908","2.492126941680908","2.492126941680908"
"22000","2.483577251434326","2.483577251434326","2.483577251434326"
"23000","2.4754440784454346","2.4754440784454346","2.4754440784454346"
"24000","2.4654273986816406","2.4654273986816406","2.4654273986816406"
"25000","2.459346055984497","2.459346055984497","2.459346055984497"
"26000","2.4537720680236816","2.4537720680236816","2.4537720680236816"
"27000","2.4470138549804688","2.4470138549804688","2.4470138549804688"
"28000","2.4428255558013916","2.4428255558013916","2.4428255558013916"
"29000","2.4358103275299072","2.4358103275299072","2.4358103275299072"
"30000","2.4300730228424072","2.4300730228424072","2.4300730228424072"
"31000","2.4278125762939453","2.4278125762939453","2.4278125762939453"
"32000","2.417651653289795","2.417651653289795","2.417651653289795"
"33000","2.410754442214966","2.410754442214966","2.410754442214966"
"34000","2.408045530319214","2.408045530319214","2.408045530319214"
"35000","2.4060137271881104","2.4060137271881104","2.4060137271881104"
"36000","2.400970458984375","2.400970458984375","2.400970458984375"
"37000","2.397463798522949","2.397463798522949","2.397463798522949"
"38000","2.3915293216705322","2.3915293216705322","2.3915293216705322"
