"Step","OLMo-7B-Twin-2T-run-024 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-024 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-024 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-022 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-022 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-022 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-021 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-021 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-021 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-020 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-020 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-020 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-019 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-019 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-019 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-018 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-018 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-018 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-017 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-017 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-017 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-016 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-016 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-016 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-015 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-015 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-015 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-014 - eval/m2d2_s2orc-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-014 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-014 - eval/m2d2_s2orc-validation/CrossEntropyLoss__MAX"
"237000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.826659679412842","2.826659679412842","2.826659679412842"
"238000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8276965618133545","2.8276965618133545","2.8276965618133545"
"239000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8237478733062744","2.8237478733062744","2.8237478733062744"
"240000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8217852115631104","2.8217852115631104","2.8217852115631104"
"241000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8237762451171875","2.8237762451171875","2.8237762451171875"
"242000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.83577823638916","2.83577823638916","2.83577823638916"
"243000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8290205001831055","2.8290205001831055","2.8290205001831055"
"244000","","","","","","","","","","","","","","","","","","","","","","","","","2.8322699069976807","2.8322699069976807","2.8322699069976807","","",""
"245000","","","","","","","","","","","","","","","","","","","","","","","","","2.8213016986846924","2.8213016986846924","2.8213016986846924","","",""
"246000","","","","","","","","","","","","","","","","","","","","","","","","","2.835584878921509","2.835584878921509","2.835584878921509","","",""
"247000","","","","","","","","","","","","","","","","","","","","","","","","","2.821105480194092","2.821105480194092","2.821105480194092","","",""
"248000","","","","","","","","","","","","","","","","","","","","","","","","","2.819335460662842","2.819335460662842","2.819335460662842","","",""
"249000","","","","","","","","","","","","","","","","","","","","","","","","","2.815430164337158","2.815430164337158","2.815430164337158","","",""
"250000","","","","","","","","","","","","","","","","","","","","","","","","","2.8259754180908203","2.8259754180908203","2.8259754180908203","","",""
"251000","","","","","","","","","","","","","","","","","","","","","","","","","2.831059217453003","2.831059217453003","2.831059217453003","","",""
"252000","","","","","","","","","","","","","","","","","","","","","","","","","2.8192052841186523","2.8192052841186523","2.8192052841186523","","",""
"253000","","","","","","","","","","","","","","","","","","","","","","","","","2.822360038757324","2.822360038757324","2.822360038757324","","",""
"254000","","","","","","","","","","","","","","","","","","","","","","","","","2.8277063369750977","2.8277063369750977","2.8277063369750977","","",""
"255000","","","","","","","","","","","","","","","","","","","","","","","","","2.8121650218963623","2.8121650218963623","2.8121650218963623","","",""
"256000","","","","","","","","","","","","","","","","","","","","","","","","","2.8145012855529785","2.8145012855529785","2.8145012855529785","","",""
"257000","","","","","","","","","","","","","","","","","","","","","","","","","2.835737943649292","2.835737943649292","2.835737943649292","","",""
"258000","","","","","","","","","","","","","","","","","","","","","","","","","2.82661771774292","2.82661771774292","2.82661771774292","","",""
"259000","","","","","","","","","","","","","","","","","","","","","","","","","2.819725513458252","2.819725513458252","2.819725513458252","","",""
"260000","","","","","","","","","","","","","","","","","","","","","","","","","2.8269882202148438","2.8269882202148438","2.8269882202148438","","",""
"261000","","","","","","","","","","","","","","","","","","","","","","","","","2.8109049797058105","2.8109049797058105","2.8109049797058105","","",""
