"Step","Group: OLMo-1B - eval/v3-small-m2d2_s2orc-validation/CrossEntropyLoss","Group: OLMo-1B - eval/v3-small-m2d2_s2orc-validation/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/v3-small-m2d2_s2orc-validation/CrossEntropyLoss__MAX"
"1000","4.639316558837891","4.639316558837891","4.639316558837891"
"2000","4.1758832931518555","4.1758832931518555","4.1758832931518555"
"3000","3.9684431552886963","3.9684431552886963","3.9684431552886963"
"4000","3.863790512084961","3.863790512084961","3.863790512084961"
"5000","3.7839035987854004","3.7839035987854004","3.7839035987854004"
"6000","3.7228317260742188","3.7228317260742188","3.7228317260742188"
"7000","3.678238868713379","3.678238868713379","3.678238868713379"
"8000","3.635890483856201","3.635890483856201","3.635890483856201"
"9000","3.6124777793884277","3.6124777793884277","3.6124777793884277"
"10000","3.604494571685791","3.604494571685791","3.604494571685791"
"11000","3.57832407951355","3.57832407951355","3.57832407951355"
"12000","3.5525200366973877","3.5525200366973877","3.5525200366973877"
"13000","3.5395004749298096","3.5395004749298096","3.5395004749298096"
"14000","3.5271880626678467","3.5271880626678467","3.5271880626678467"
"15000","3.5071847438812256","3.5071847438812256","3.5071847438812256"
"16000","3.4924473762512207","3.4924473762512207","3.4924473762512207"
"17000","3.48457932472229","3.48457932472229","3.48457932472229"
"18000","3.476663827896118","3.476663827896118","3.476663827896118"
"19000","3.461864709854126","3.461864709854126","3.461864709854126"
"20000","3.4566705226898193","3.4566705226898193","3.4566705226898193"
"21000","3.438502073287964","3.438502073287964","3.438502073287964"
"22000","3.4409000873565674","3.4409000873565674","3.4409000873565674"
"23000","3.4292571544647217","3.4292571544647217","3.4292571544647217"
"24000","3.4191155433654785","3.4191155433654785","3.4191155433654785"
"25000","3.417254686355591","3.417254686355591","3.417254686355591"
"26000","3.413170337677002","3.413170337677002","3.413170337677002"
"27000","3.4070332050323486","3.4070332050323486","3.4070332050323486"
"28000","3.39189076423645","3.39189076423645","3.39189076423645"
"29000","3.3892788887023926","3.3892788887023926","3.3892788887023926"
"30000","3.380063772201538","3.380063772201538","3.380063772201538"
"31000","3.375380516052246","3.375380516052246","3.375380516052246"
"32000","3.3621985912323","3.3621985912323","3.3621985912323"
"33000","3.372375011444092","3.372375011444092","3.372375011444092"
"34000","3.3640499114990234","3.3640499114990234","3.3640499114990234"
"35000","3.3594748973846436","3.3594748973846436","3.3594748973846436"
"36000","3.3572797775268555","3.3572797775268555","3.3572797775268555"
"37000","3.3488166332244873","3.3488166332244873","3.3488166332244873"
"38000","3.360025644302368","3.360025644302368","3.360025644302368"
"39000","3.3501200675964355","3.3501200675964355","3.3501200675964355"
"40000","3.3456361293792725","3.3456361293792725","3.3456361293792725"
"41000","3.3447084426879883","3.3447084426879883","3.3447084426879883"
"42000","3.344233989715576","3.344233989715576","3.344233989715576"
"43000","3.3377678394317627","3.3377678394317627","3.3377678394317627"
"44000","3.345287322998047","3.345287322998047","3.345287322998047"
"45000","3.3245978355407715","3.3245978355407715","3.3245978355407715"
"46000","3.3265435695648193","3.3265435695648193","3.3265435695648193"
"47000","3.3283331394195557","3.3283331394195557","3.3283331394195557"
"48000","3.3249852657318115","3.3249852657318115","3.3249852657318115"
"49000","3.3173539638519287","3.3173539638519287","3.3173539638519287"
"50000","3.3157479763031006","3.3157479763031006","3.3157479763031006"
"51000","3.322680711746216","3.322680711746216","3.322680711746216"
"52000","3.3138351440429688","3.3138351440429688","3.3138351440429688"
"53000","3.310680866241455","3.310680866241455","3.310680866241455"
"54000","3.3058152198791504","3.3058152198791504","3.3058152198791504"
"55000","3.3164868354797363","3.3164868354797363","3.3164868354797363"
"56000","3.314892292022705","3.314892292022705","3.314892292022705"
"57000","3.297217845916748","3.297217845916748","3.297217845916748"
"58000","3.296902894973755","3.296902894973755","3.296902894973755"
"59000","3.295682430267334","3.295682430267334","3.295682430267334"
"60000","3.30419921875","3.30419921875","3.30419921875"
"61000","3.3003644943237305","3.3003644943237305","3.3003644943237305"
"62000","3.2913455963134766","3.2913455963134766","3.2913455963134766"
"63000","3.2933127880096436","3.2933127880096436","3.2933127880096436"
"64000","3.2841928005218506","3.2841928005218506","3.2841928005218506"
"65000","3.2917635440826416","3.2917635440826416","3.2917635440826416"
"66000","3.2902987003326416","3.2902987003326416","3.2902987003326416"
"67000","3.2887473106384277","3.2887473106384277","3.2887473106384277"
"68000","3.279674530029297","3.279674530029297","3.279674530029297"
"69000","3.280810594558716","3.280810594558716","3.280810594558716"
"70000","3.2851312160491943","3.2851312160491943","3.2851312160491943"
"71000","3.2732720375061035","3.2732720375061035","3.2732720375061035"
"72000","3.2853991985321045","3.2853991985321045","3.2853991985321045"
"73000","3.275336742401123","3.275336742401123","3.275336742401123"
"74000","3.299859046936035","3.299859046936035","3.299859046936035"
"75000","3.2782247066497803","3.2782247066497803","3.2782247066497803"
"76000","3.2763895988464355","3.2763895988464355","3.2763895988464355"
"77000","3.2727138996124268","3.2727138996124268","3.2727138996124268"
"78000","3.2821121215820312","3.2821121215820312","3.2821121215820312"
"79000","3.2684102058410645","3.2684102058410645","3.2684102058410645"
"80000","3.282391309738159","3.282391309738159","3.282391309738159"
"81000","3.2652480602264404","3.2652480602264404","3.2652480602264404"
"82000","3.2737202644348145","3.2737202644348145","3.2737202644348145"
"83000","3.269784450531006","3.269784450531006","3.269784450531006"
"84000","3.2660129070281982","3.2660129070281982","3.2660129070281982"
"85000","3.2742114067077637","3.2742114067077637","3.2742114067077637"
"86000","3.274425983428955","3.274425983428955","3.274425983428955"
"87000","3.266359567642212","3.266359567642212","3.266359567642212"
"88000","3.266815662384033","3.266815662384033","3.266815662384033"
"89000","3.269409418106079","3.269409418106079","3.269409418106079"
"90000","3.268369197845459","3.268369197845459","3.268369197845459"
"91000","3.2713327407836914","3.2713327407836914","3.2713327407836914"
"92000","3.256291627883911","3.256291627883911","3.256291627883911"
"93000","3.2660038471221924","3.2660038471221924","3.2660038471221924"
"94000","3.263387441635132","3.263387441635132","3.263387441635132"
"95000","3.2587127685546875","3.2587127685546875","3.2587127685546875"
"96000","3.260986566543579","3.260986566543579","3.260986566543579"
"97000","3.252737283706665","3.252737283706665","3.252737283706665"
"98000","3.2591683864593506","3.2591683864593506","3.2591683864593506"
"99000","3.257258653640747","3.257258653640747","3.257258653640747"
"100000","3.255577564239502","3.255577564239502","3.255577564239502"
"101000","3.2487270832061768","3.2487270832061768","3.2487270832061768"
