"Step","Group: OLMo-1B - eval/v2-small-twitterAEE-validation/CrossEntropyLoss","Group: OLMo-1B - eval/v2-small-twitterAEE-validation/CrossEntropyLoss__MIN","Group: OLMo-1B - eval/v2-small-twitterAEE-validation/CrossEntropyLoss__MAX"
"1000","5.019254684448242","5.019254684448242","5.019254684448242"
"2000","4.514878273010254","4.514878273010254","4.514878273010254"
"3000","4.335038185119629","4.335038185119629","4.335038185119629"
"4000","4.221787929534912","4.221787929534912","4.221787929534912"
"5000","4.158648490905762","4.158648490905762","4.158648490905762"
"6000","4.117434978485107","4.117434978485107","4.117434978485107"
"7000","4.066811561584473","4.066811561584473","4.066811561584473"
"8000","4.0473809242248535","4.0473809242248535","4.0473809242248535"
"9000","4.034840106964111","4.034840106964111","4.034840106964111"
"10000","3.9877941608428955","3.9877941608428955","3.9877941608428955"
"11000","3.974203109741211","3.974203109741211","3.974203109741211"
"12000","3.951430082321167","3.951430082321167","3.951430082321167"
"13000","3.936873197555542","3.936873197555542","3.936873197555542"
"14000","3.9217138290405273","3.9217138290405273","3.9217138290405273"
"15000","3.9073803424835205","3.9073803424835205","3.9073803424835205"
"16000","3.9039855003356934","3.9039855003356934","3.9039855003356934"
"17000","3.892002820968628","3.892002820968628","3.892002820968628"
"18000","3.8740391731262207","3.8740391731262207","3.8740391731262207"
"19000","3.8666369915008545","3.8666369915008545","3.8666369915008545"
"20000","3.8570401668548584","3.8570401668548584","3.8570401668548584"
"21000","3.8499715328216553","3.8499715328216553","3.8499715328216553"
"22000","3.8459126949310303","3.8459126949310303","3.8459126949310303"
"23000","3.8335509300231934","3.8335509300231934","3.8335509300231934"
"24000","3.8250787258148193","3.8250787258148193","3.8250787258148193"
"25000","3.8278956413269043","3.8278956413269043","3.8278956413269043"
"26000","3.8216259479522705","3.8216259479522705","3.8216259479522705"
"27000","3.812869071960449","3.812869071960449","3.812869071960449"
"28000","3.8106322288513184","3.8106322288513184","3.8106322288513184"
"29000","3.795088052749634","3.795088052749634","3.795088052749634"
"30000","3.801111936569214","3.801111936569214","3.801111936569214"
"31000","3.789747953414917","3.789747953414917","3.789747953414917"
"32000","3.7866742610931396","3.7866742610931396","3.7866742610931396"
"33000","3.782172918319702","3.782172918319702","3.782172918319702"
"34000","3.77209210395813","3.77209210395813","3.77209210395813"
"35000","3.7791991233825684","3.7791991233825684","3.7791991233825684"
"36000","3.77871036529541","3.77871036529541","3.77871036529541"
"37000","3.763436794281006","3.763436794281006","3.763436794281006"
"38000","3.755650520324707","3.755650520324707","3.755650520324707"
"39000","3.765986204147339","3.765986204147339","3.765986204147339"
"40000","3.7544925212860107","3.7544925212860107","3.7544925212860107"
"41000","3.750467300415039","3.750467300415039","3.750467300415039"
"42000","3.753187894821167","3.753187894821167","3.753187894821167"
"43000","3.74910569190979","3.74910569190979","3.74910569190979"
"44000","3.736224889755249","3.736224889755249","3.736224889755249"
"45000","3.7443926334381104","3.7443926334381104","3.7443926334381104"
"46000","3.74760103225708","3.74760103225708","3.74760103225708"
"47000","3.7483932971954346","3.7483932971954346","3.7483932971954346"
"48000","3.734635591506958","3.734635591506958","3.734635591506958"
"49000","3.7344157695770264","3.7344157695770264","3.7344157695770264"
"50000","3.7274091243743896","3.7274091243743896","3.7274091243743896"
"51000","3.7321889400482178","3.7321889400482178","3.7321889400482178"
"52000","3.724477767944336","3.724477767944336","3.724477767944336"
"53000","3.72886061668396","3.72886061668396","3.72886061668396"
