"Step","OLMo-7B-Twin-2T-run-024 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-024 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-024 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-022 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-022 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-022 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-021 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-021 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-021 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-020 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-020 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-020 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-019 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-019 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-019 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-018 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-018 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-018 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-017 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-017 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-017 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-016 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-016 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-016 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-015 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-015 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-015 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-014 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-014 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-014 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-013 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-013 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-013 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-012 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-012 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-012 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-011 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-011 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-011 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-010 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-010 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-010 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-009 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-009 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-009 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-008 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-008 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-008 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-007 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-007 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-007 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-006 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-006 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-006 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-005 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-005 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-005 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-003 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-003 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-003 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-002 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-002 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-002 - eval/ptb-validation/CrossEntropyLoss__MAX","OLMo-7B-Twin-2T-run-001 - eval/ptb-validation/CrossEntropyLoss","OLMo-7B-Twin-2T-run-001 - eval/ptb-validation/CrossEntropyLoss__MIN","OLMo-7B-Twin-2T-run-001 - eval/ptb-validation/CrossEntropyLoss__MAX"
"1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.498289585113525","5.498289585113525","5.498289585113525"
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.266571998596191","4.266571998596191","4.266571998596191","","",""
"3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.009147644042969","4.009147644042969","4.009147644042969","","",""
"4000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8106203079223633","3.8106203079223633","3.8106203079223633","","",""
"5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6469461917877197","3.6469461917877197","3.6469461917877197","","",""
"6000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.545325994491577","3.545325994491577","3.545325994491577","","",""
"7000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8222265243530273","3.8222265243530273","3.8222265243530273","","",""
"8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41017484664917","3.41017484664917","3.41017484664917","","",""
"9000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.366711139678955","3.366711139678955","3.366711139678955","","",""
"10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3248424530029297","3.3248424530029297","3.3248424530029297","","",""
"11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2794699668884277","3.2794699668884277","3.2794699668884277","","",""
"12000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.264094591140747","3.264094591140747","3.264094591140747","","",""
"13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2272250652313232","3.2272250652313232","3.2272250652313232","","",""
"14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2085072994232178","3.2085072994232178","3.2085072994232178","","",""
"15000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.171327829360962","3.171327829360962","3.171327829360962","","",""
"16000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.138369560241699","3.138369560241699","3.138369560241699","","",""
"17000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1031558513641357","3.1031558513641357","3.1031558513641357","","",""
"18000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1399989128112793","3.1399989128112793","3.1399989128112793","","",""
"19000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0699222087860107","3.0699222087860107","3.0699222087860107","","",""
"20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0508553981781006","3.0508553981781006","3.0508553981781006","","",""
"21000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0312747955322266","3.0312747955322266","3.0312747955322266","","",""
"22000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.038686990737915","3.038686990737915","3.038686990737915","","",""
"23000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0226452350616455","3.0226452350616455","3.0226452350616455","","",""
"24000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.990187644958496","2.990187644958496","2.990187644958496","","",""
"25000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0150105953216553","3.0150105953216553","3.0150105953216553","","",""
"26000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.989426851272583","2.989426851272583","2.989426851272583","","",""
"27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9806642532348633","2.9806642532348633","2.9806642532348633","","",""
"28000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9630138874053955","2.9630138874053955","2.9630138874053955","","",""
"29000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9456140995025635","2.9456140995025635","2.9456140995025635","","",""
"30000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9238381385803223","2.9238381385803223","2.9238381385803223","","",""
"31000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.96026611328125","2.96026611328125","2.96026611328125","","",""
"32000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9337377548217773","2.9337377548217773","2.9337377548217773","","",""
"33000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.890374183654785","2.890374183654785","2.890374183654785","","",""
"34000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8943898677825928","2.8943898677825928","2.8943898677825928","","","","","",""
