model,step,train_loss,val_loss
small,11.66757962,3.479039818,
small,12.05258627,3.483370591,
small,12.05258627,3.479035407,
small,12.05258627,3.474700224,
small,12.05258627,3.47036504,
small,13.97761953,3.322946743,
small,13.97761953,3.318611559,
small,13.97761953,3.314276375,
small,13.97761953,3.309941192,
small,13.97761953,3.305606008,
small,13.97761953,3.301270824,
small,13.97761953,3.29693564,
small,13.97761953,3.292600457,
small,13.97761953,3.288265273,
small,13.97761953,3.283930089,
small,13.97761953,3.279594906,
small,13.97761953,3.275259722,
small,13.97761953,3.270924538,
small,13.97761953,3.266589354,
small,13.97761953,3.262254171,
small,14.36262618,3.292596047,
small,14.36262618,3.288260863,
small,14.36262618,3.283925679,
small,14.36262618,3.279590495,
small,14.36262618,3.275255312,
small,14.36262618,3.270920128,
small,14.36262618,3.266584944,
small,14.36262618,3.262249761,
small,14.36262618,3.257914577,
small,14.36262618,3.253579393,
small,14.36262618,3.249244209,
small,14.36262618,3.244909026,
small,14.36262618,3.240573842,
small,14.36262618,3.236238658,
small,14.36262618,3.231903475,
small,14.74763284,3.26224535,
small,14.74763284,3.257910167,
small,14.74763284,3.253574983,
small,14.74763284,3.249239799,
small,14.74763284,3.244904616,
small,14.74763284,3.240569432,
small,14.74763284,3.236234248,
small,14.74763284,3.231899064,
small,14.74763284,3.227563881,
small,15.13263949,3.227559471,
small,15.13263949,3.223224287,
small,15.13263949,3.218889103,
small,15.13263949,3.205883552,
small,15.13263949,3.201548368,
small,15.51764614,3.218884693,
small,15.51764614,3.214549509,
small,15.51764614,3.210214326,
small,15.51764614,3.205879142,
small,15.51764614,3.201543958,
small,15.51764614,3.197208774,
small,15.51764614,3.192873591,
small,15.90265279,3.201539548,
small,15.90265279,3.197204364,
small,15.90265279,3.192869181,
small,15.90265279,3.188533997,
small,15.90265279,3.184198813,
small,15.90265279,3.179863629,
small,15.90265279,3.175528446,
small,15.90265279,3.171193262,
small,15.90265279,3.166858078,
small,16.28765944,3.166853668,
small,16.28765944,3.162518484,
small,16.28765944,3.158183301,
small,16.28765944,3.153848117,
small,16.67266609,3.153843707,
small,16.67266609,3.149508523,
small,16.67266609,3.145173339,
small,16.67266609,3.140838156,
small,16.67266609,3.136502972,
small,16.67266609,3.132167788,
small,17.05767274,3.140833745,
small,17.05767274,3.136498562,
small,17.05767274,3.132163378,
small,17.05767274,3.127828194,
small,17.05767274,3.123493011,
small,17.05767274,3.119157827,
small,17.4426794,3.119153417,
small,17.4426794,3.114818233,
small,17.4426794,3.110483049,
small,17.82768605,3.110478639,
small,17.82768605,3.106143455,
small,17.82768605,3.101808272,
small,17.82768605,3.097473088,
small,18.2126927,3.101803862,
small,18.2126927,3.097468678,
small,18.2126927,3.093133494,
small,18.59769935,3.097464268,
small,18.59769935,3.093129084,
small,18.59769935,3.045442063,
small,18.59769935,3.041106879,
small,18.59769935,3.036771696,
small,18.982706,3.036767285,
small,18.982706,3.032432102,
small,18.982706,3.028096918,
small,19.36771265,3.028092508,
small,19.36771265,3.023757324,
small,20.52273261,3.006403359,
small,20.52273261,3.002068175,
small,20.52273261,2.997732991,
small,20.90773926,3.002063765,
small,20.90773926,2.997728581,
small,20.90773926,2.993393398,
small,21.29274591,3.023735273,
small,21.29274591,2.997724171,
small,21.29274591,2.993388987,
small,21.67775256,2.980379026,
small,21.67775256,2.976043842,
small,22.06275921,3.015056086,
small,22.06275921,2.980374616,
small,22.06275921,2.976039432,
small,22.06275921,2.971704248,
small,22.44776587,3.015051675,
small,22.44776587,3.010716492,
small,22.44776587,3.006381308,
small,22.44776587,3.002046124,
small,22.44776587,2.980370206,
small,22.44776587,2.976035022,
small,22.44776587,2.971699838,
small,22.83277252,3.006376898,
small,22.83277252,3.002041714,
small,22.83277252,2.99770653,
small,22.83277252,2.976030612,
small,23.21777917,3.006372488,
small,23.21777917,3.002037304,
small,23.21777917,2.99770212,
small,23.21777917,2.993366937,
small,23.60278582,3.006368078,
small,23.60278582,3.002032894,
small,23.60278582,2.99769771,
small,23.60278582,2.993362526,
small,23.60278582,2.967351424,
small,23.60278582,2.96301624,
small,23.60278582,2.958681057,
small,23.98779247,3.006363667,
small,23.98779247,3.002028484,
small,23.98779247,2.9976933,
small,23.98779247,2.967347014,
small,23.98779247,2.96301183,
small,23.98779247,2.958676647,
small,24.37279912,2.96300742,
small,25.52781908,2.954323822,
small,25.52781908,2.949988638,
small,25.91282573,2.954319412,
small,25.91282573,2.949984228,
small,25.91282573,2.945649045,
small,26.29783238,2.954315002,
small,26.29783238,2.949979818,
small,26.29783238,2.945644634,
small,26.68283903,2.949975408,
small,26.68283903,2.945640224,
small,27.45285234,2.962972139,
small,27.45285234,2.958636955,
small,27.83785899,2.958632545,
small,27.83785899,2.954297361,
small,28.22286564,2.954292951,
small,28.22286564,2.949957767,
small,28.60787229,2.954288541,
small,28.60787229,2.949953357,
small,28.99287894,2.949948947,
small,29.76289225,2.941269759,
small,29.76289225,2.936934576,
small,30.1478989,2.936930165,
small,30.1478989,2.932594982,
small,30.53290555,2.932590572,
small,30.53290555,2.928255388,
small,30.53290555,2.923920204,
small,32.07293215,2.91956738,
small,32.45793881,2.91956297,
small,32.45793881,2.915227786,
small,32.45793881,2.910892602,
small,32.84294546,2.919558559,
small,32.84294546,2.915223376,
small,32.84294546,2.910888192,
small,33.22795211,2.919554149,
small,33.22795211,2.915218966,
small,33.22795211,2.910883782,
small,33.61295876,2.915214555,
small,33.99796541,2.919545329,
small,33.99796541,2.915210145,
small,34.38297206,2.919540919,
small,34.38297206,2.915205735,
small,34.76797872,2.923871692,
small,34.76797872,2.919536509,
small,34.76797872,2.915201325,
small,35.15298537,2.919532099,
small,35.15298537,2.915196915,
small,35.15298537,2.910861731,
small,36.69301197,2.915179274,
small,36.69301197,2.91084409,
small,37.07801862,2.915174864,
small,37.07801862,2.91083968,
small,37.07801862,2.906504497,
small,37.46302528,2.915170454,
small,37.84803193,2.915166044,
small,38.23303858,2.915161634,
small,38.23303858,2.91082645,
small,38.61804523,2.91082204,
small,38.61804523,2.906486856,
small,39.00305188,2.928158364,
small,39.00305188,2.906482446,
small,39.00305188,2.902147262,
small,39.38805853,2.906478036,
small,39.38805853,2.902142852,
small,40.54307849,2.919470356,
small,40.92808514,2.919465946,
small,40.92808514,2.915130762,
small,41.31309179,2.915126352,
small,41.31309179,2.910791169,
small,41.31309179,2.906455985,
small,42.46811175,2.902107571,
small,42.8531184,2.902103161,
small,42.8531184,2.897767977,
small,43.23812505,2.897763567,
small,43.23812505,2.893428383,
small,43.23812505,2.889093199,
small,43.6231317,2.893423973,
small,44.00813835,2.919430665,
small,44.00813835,2.915095481,
small,44.00813835,2.910760298,
small,44.393145,2.910755887,
small,44.393145,2.906420704,
small,44.77815166,2.910751477,
small,44.77815166,2.906416293,
