"Step","k2 ministage eval - race@0","k2 ministage eval - race@0__MIN","k2 ministage eval - race@0__MAX","k2 eval spike 2 - race@0","k2 eval spike 2 - race@0__MIN","k2 eval spike 2 - race@0__MAX","k2 eval spike 1 - race@0","k2 eval spike 1 - race@0__MIN","k2 eval spike 1 - race@0__MAX","k2 eval - race@0","k2 eval - race@0__MIN","k2 eval - race@0__MAX"
"3","","","","","","","","","","29.5","29.5","29.5"
"6","","","","","","","","","","31.7","31.7","31.7"
"9","","","","","","","","","","34.1","34.1","34.1"
"12","","","","","","","","","","35.1","35.1","35.1"
"15","","","","","","","","","","36.8","36.8","36.8"
"18","","","","","","","","","","35.8","35.8","35.8"
"21","","","","","","","","","","36.5","36.5","36.5"
"24","","","","","","","","","","36.6","36.6","36.6"
"27","","","","","","","","","","37","37","37"
"30","","","","","","","","","","36.4","36.4","36.4"
"33","","","","","","","","","","38.2","38.2","38.2"
"36","","","","","","","","","","37.7","37.7","37.7"
"39","","","","","","","","","","37.7","37.7","37.7"
"42","","","","","","","","","","38","38","38"
"45","","","","","","","","","","39","39","39"
"48","","","","","","","","","","37.5","37.5","37.5"
"51","","","","","","","","","","38.7","38.7","38.7"
"54","","","","","","","","","","38.1","38.1","38.1"
"57","","","","","","","","","","39.3","39.3","39.3"
"60","","","","","","","","","","38.8","38.8","38.8"
"63","","","","","","","","","","39.3","39.3","39.3"
"66","","","","","","","","","","37.6","37.6","37.6"
"69","","","","","","","","","","38.4","38.4","38.4"
"72","","","","","","","","","","38.5","38.5","38.5"
"75","","","","","","","","","","37.9","37.9","37.9"
"78","","","","","","","","","","38.7","38.7","38.7"
"81","","","","","","","","","","38","38","38"
"84","","","","","","","","","","38","38","38"
"87","","","","","","","","","","39.9","39.9","39.9"
"90","","","","","","","","","","38.7","38.7","38.7"
"93","","","","","","","","","","38.9","38.9","38.9"
"96","","","","","","","","","","39.1","39.1","39.1"
"99","","","","","","","","","","38.6","38.6","38.6"
"102","","","","","","","","","","41.1","41.1","41.1"
"105","","","","","","","","","","40.1","40.1","40.1"
"108","","","","","","","","","","39.5","39.5","39.5"
"111","","","","","","","","","","39.6","39.6","39.6"
"114","","","","","","","","","","39.5","39.5","39.5"
"117","","","","","","","","","","38.7","38.7","38.7"
"120","","","","","","","","","","40.4","40.4","40.4"
"123","","","","","","","","","","40","40","40"
"126","","","","","","","","","","39.8","39.8","39.8"
"129","","","","","","","","","","38.3","38.3","38.3"
"132","","","","","","","","","","38.9","38.9","38.9"
"135","","","","","","","","","","39.8","39.8","39.8"
"138","","","","","","","","","","39.8","39.8","39.8"
"141","","","","","","","","","","41","41","41"
"144","","","","","","","","","","40.4","40.4","40.4"
"147","","","","","","","","","","40.4","40.4","40.4"
"150","","","","","","","","","","39.7","39.7","39.7"
"153","","","","","","","","","","39.7","39.7","39.7"
"156","","","","","","","","","","38.9","38.9","38.9"
"159","","","","","","","","","","38.3","38.3","38.3"
"160","","","","","","","39.4","39.4","39.4","","",""
"162","","","","","","","41.4","41.4","41.4","39.7","39.7","39.7"
"164","","","","","","","40.5","40.5","40.5","","",""
"165","","","","","","","","","","38.9","38.9","38.9"
"166","","","","","","","40","40","40","","",""
"168","","","","","","","39.1","39.1","39.1","39.8","39.8","39.8"
"170","","","","","","","41.1","41.1","41.1","","",""
"171","","","","","","","","","","39.1","39.1","39.1"
"172","","","","","","","40.3","40.3","40.3","","",""
"174","","","","","","","40.1","40.1","40.1","40.1","40.1","40.1"
"176","","","","","","","42.1","42.1","42.1","","",""
"177","","","","","","","","","","39.6","39.6","39.6"
"178","","","","","","","39.7","39.7","39.7","","",""
"180","","","","","","","39.5","39.5","39.5","39.5","39.5","39.5"
"182","","","","","","","40.5","40.5","40.5","","",""
"183","","","","","","","","","","40.6","40.6","40.6"
"184","","","","","","","41.2","41.2","41.2","","",""
"186","","","","41.6","41.6","41.6","40.9","40.9","40.9","39.9","39.9","39.9"
"188","","","","41.4","41.4","41.4","40.7","40.7","40.7","","",""
"189","","","","","","","","","","39.3","39.3","39.3"
"190","","","","40.1","40.1","40.1","40.7","40.7","40.7","","",""
"192","","","","39.8","39.8","39.8","40.5","40.5","40.5","40.5","40.5","40.5"
"194","","","","39.6","39.6","39.6","40.6","40.6","40.6","","",""
"195","","","","","","","","","","41.4","41.4","41.4"
"196","","","","39.4","39.4","39.4","40.5","40.5","40.5","","",""
"198","","","","40.6","40.6","40.6","39.5","39.5","39.5","41.7","41.7","41.7"
"200","","","","41.8","41.8","41.8","40.4","40.4","40.4","","",""
"201","","","","","","","","","","41.4","41.4","41.4"
"202","","","","","","","40.8","40.8","40.8","","",""
