"Step","k2 ministage eval - arc_easy@5","k2 ministage eval - arc_easy@5__MIN","k2 ministage eval - arc_easy@5__MAX","k2 eval spike 2 - arc_easy@5","k2 eval spike 2 - arc_easy@5__MIN","k2 eval spike 2 - arc_easy@5__MAX","k2 eval spike 1 - arc_easy@5","k2 eval spike 1 - arc_easy@5__MIN","k2 eval spike 1 - arc_easy@5__MAX","k2 eval - arc_easy@5","k2 eval - arc_easy@5__MIN","k2 eval - arc_easy@5__MAX"
"3","","","","","","","","","","47.8","47.8","47.8"
"6","","","","","","","","","","57.6","57.6","57.6"
"9","","","","","","","","","","64.1","64.1","64.1"
"12","","","","","","","","","","66.8","66.8","66.8"
"15","","","","","","","","","","68.7","68.7","68.7"
"18","","","","","","","","","","71.1","71.1","71.1"
"21","","","","","","","","","","71.4","71.4","71.4"
"24","","","","","","","","","","72.5","72.5","72.5"
"27","","","","","","","","","","73.2","73.2","73.2"
"30","","","","","","","","","","73.4","73.4","73.4"
"33","","","","","","","","","","73.7","73.7","73.7"
"36","","","","","","","","","","74.2","74.2","74.2"
"39","","","","","","","","","","73.1","73.1","73.1"
"42","","","","","","","","","","74.6","74.6","74.6"
"45","","","","","","","","","","75.7","75.7","75.7"
"48","","","","","","","","","","75.7","75.7","75.7"
"51","","","","","","","","","","77.4","77.4","77.4"
"54","","","","","","","","","","77.5","77.5","77.5"
"57","","","","","","","","","","77.7","77.7","77.7"
"60","","","","","","","","","","78.5","78.5","78.5"
"63","","","","","","","","","","78.3","78.3","78.3"
"66","","","","","","","","","","79.3","79.3","79.3"
"69","","","","","","","","","","78.7","78.7","78.7"
"72","","","","","","","","","","79.1","79.1","79.1"
"75","","","","","","","","","","78.2","78.2","78.2"
"78","","","","","","","","","","79.7","79.7","79.7"
"81","","","","","","","","","","79.8","79.8","79.8"
"84","","","","","","","","","","80.5","80.5","80.5"
"87","","","","","","","","","","79.4","79.4","79.4"
"90","","","","","","","","","","79.8","79.8","79.8"
"93","","","","","","","","","","78.2","78.2","78.2"
"96","","","","","","","","","","78.7","78.7","78.7"
"99","","","","","","","","","","80","80","80"
"102","","","","","","","","","","78.7","78.7","78.7"
"105","","","","","","","","","","80.9","80.9","80.9"
"108","","","","","","","","","","79.2","79.2","79.2"
"111","","","","","","","","","","81.1","81.1","81.1"
"114","","","","","","","","","","80.2","80.2","80.2"
"117","","","","","","","","","","80.5","80.5","80.5"
"120","","","","","","","","","","81.7","81.7","81.7"
"123","","","","","","","","","","80.9","80.9","80.9"
"126","","","","","","","","","","81.6","81.6","81.6"
"129","","","","","","","","","","81.2","81.2","81.2"
"132","","","","","","","","","","82.5","82.5","82.5"
"135","","","","","","","","","","81.4","81.4","81.4"
"138","","","","","","","","","","79.5","79.5","79.5"
"141","","","","","","","","","","81","81","81"
"144","","","","","","","","","","81.5","81.5","81.5"
"147","","","","","","","","","","82.5","82.5","82.5"
"150","","","","","","","","","","82.4","82.4","82.4"
"153","","","","","","","","","","82.8","82.8","82.8"
"156","","","","","","","","","","82.5","82.5","82.5"
"159","","","","","","","","","","83.1","83.1","83.1"
"160","","","","","","","81.5","81.5","81.5","","",""
"162","","","","","","","82.6","82.6","82.6","83.2","83.2","83.2"
"164","","","","","","","81.9","81.9","81.9","","",""
"165","","","","","","","","","","83","83","83"
"166","","","","","","","82.9","82.9","82.9","","",""
"168","","","","","","","82.4","82.4","82.4","83","83","83"
"170","","","","","","","82.5","82.5","82.5","","",""
"171","","","","","","","","","","83.4","83.4","83.4"
"172","","","","","","","81.9","81.9","81.9","","",""
"174","","","","","","","81.9","81.9","81.9","81.9","81.9","81.9"
"176","","","","","","","82.1","82.1","82.1","","",""
"177","","","","","","","","","","83","83","83"
"178","","","","","","","83.2","83.2","83.2","","",""
"180","","","","","","","83.9","83.9","83.9","83.9","83.9","83.9"
"182","","","","","","","83.5","83.5","83.5","","",""
"183","","","","","","","","","","83","83","83"
"184","","","","","","","83.3","83.3","83.3","","",""
"186","","","","82.9","82.9","82.9","82.4","82.4","82.4","83","83","83"
"188","","","","82.9","82.9","82.9","82.7","82.7","82.7","","",""
"189","","","","","","","","","","83.8","83.8","83.8"
"190","","","","84","84","84","83.3","83.3","83.3","","",""
"192","","","","83.5","83.5","83.5","83.1","83.1","83.1","84.3","84.3","84.3"
"194","","","","82.8","82.8","82.8","83.3","83.3","83.3","","",""
"195","","","","","","","","","","83.9","83.9","83.9"
"196","","","","84.2","84.2","84.2","82.7","82.7","82.7","","",""
"198","","","","83","83","83","83","83","83","83.9","83.9","83.9"
"200","","","","83.7","83.7","83.7","83","83","83","","",""
"201","","","","","","","","","","83.8","83.8","83.8"
"202","","","","","","","83.7","83.7","83.7","","",""
"204","","","","","","","83.9","83.9","83.9","83","83","83"
"206","","","","","","","83.3","83.3","83.3","","",""
"207","","","","","","","","","","84.9","84.9","84.9"
"208","","","","","","","83.9","83.9","83.9","","",""
"210","","","","","","","83.8","83.8","83.8","83.7","83.7","83.7"
"212","","","","","","","84.1","84.1","84.1","","",""
"213","","","","","","","","","","84.3","84.3","84.3"
"214","","","","","","","84","84","84","","",""
"216","","","","","","","84.8","84.8","84.8","84","84","84"
"218","","","","","","","83.2","83.2","83.2","","",""
"219","","","","","","","","","","84.2","84.2","84.2"
"220","","","","","","","83.8","83.8","83.8","","",""
"222","","","","","","","84","84","84","84.7","84.7","84.7"
"224","","","","","","","83.9","83.9","83.9","","",""
"225","","","","","","","","","","85.2","85.2","85.2"
"226","","","","","","","84.3","84.3","84.3","","",""
"228","","","","","","","","","","85.4","85.4","85.4"
"231","","","","","","","","","","84.3","84.3","84.3"
"234","","","","","","","","","","84.7","84.7","84.7"
"237","","","","","","","","","","84.8","84.8","84.8"
"240","","","","","","","83.7","83.7","83.7","85.3","85.3","85.3"
"243","","","","","","","","","","83.5","83.5","83.5"
"246","","","","","","","","","","84.5","84.5","84.5"
"249","","","","","","","","","","85.4","85.4","85.4"
"252","","","","","","","","","","84.7","84.7","84.7"
"255","","","","","","","","","","85.4","85.4","85.4"
"258","","","","","","","","","","85.1","85.1","85.1"
"261","","","","","","","","","","84.9","84.9","84.9"
"264","","","","","","","","","","85.1","85.1","85.1"
"267","","","","","","","","","","85.2","85.2","85.2"
"270","","","","","","","","","","85.9","85.9","85.9"
"273","","","","","","","","","","85","85","85"
"276","","","","","","","","","","85.9","85.9","85.9"
"279","","","","","","","","","","85.1","85.1","85.1"
"282","","","","","","","","","","85.8","85.8","85.8"
"285","","","","","","","","","","85.9","85.9","85.9"
"288","","","","","","","","","","85.8","85.8","85.8"
"291","","","","","","","","","","85.6","85.6","85.6"
"294","","","","","","","","","","85.6","85.6","85.6"
"297","","","","","","","","","","85.6","85.6","85.6"
"300","","","","","","","","","","85.2","85.2","85.2"
"303","","","","","","","","","","86.1","86.1","86.1"
"306","","","","","","","","","","86.1","86.1","86.1"
"309","","","","","","","","","","86.2","86.2","86.2"
"312","","","","","","","","","","86.2","86.2","86.2"
"315","","","","","","","","","","85.9","85.9","85.9"
"318","","","","","","","","","","86.7","86.7","86.7"
"321","","","","","","","","","","86.7","86.7","86.7"
"324","","","","","","","","","","86.7","86.7","86.7"
"327","","","","","","","","","","86.1","86.1","86.1"
"330","","","","","","","","","","86.3","86.3","86.3"
"333","","","","","","","","","","86.1","86.1","86.1"
"336","","","","","","","","","","86.6","86.6","86.6"
"339","","","","","","","","","","85.9","85.9","85.9"
"342","","","","","","","","","","86.6","86.6","86.6"
"345","","","","","","","","","","85.8","85.8","85.8"
"348","","","","","","","","","","86.2","86.2","86.2"
"351","","","","","","","","","","86.4","86.4","86.4"
"354","","","","","","","","","","86.3","86.3","86.3"
"357","","","","","","","","","","86.7","86.7","86.7"
"360","","","","","","","","","","86.7","86.7","86.7"
"361","83.5","83.5","83.5","","","","","","","","",""
"362","83.4","83.4","83.4","","","","","","","","",""
"363","82.4","82.4","82.4","","","","","","","","",""
"364","83.6","83.6","83.6","","","","","","","","",""
"365","82.5","82.5","82.5","","","","","","","","",""
"366","83.8","83.8","83.8","","","","","","","","",""
"367","83.4","83.4","83.4","","","","","","","","",""
"368","83.7","83.7","83.7","","","","","","","","",""
"369","83.8","83.8","83.8","","","","","","","","",""
"370","83.5","83.5","83.5","","","","","","","","",""
"371","83.6","83.6","83.6","","","","","","","","",""
"372","83.9","83.9","83.9","","","","","","","","",""
"373","83.6","83.6","83.6","","","","","","","","",""
"374","83.8","83.8","83.8","","","","","","","","",""
"375","84.8","84.8","84.8","","","","","","","","",""
"376","85.1","85.1","85.1","","","","","","","","",""
"377","85.1","85.1","85.1","","","","","","","","",""
"378","84.6","84.6","84.6","","","","","","","","",""
"379","85.3","85.3","85.3","","","","","","","","",""
"380","85.1","85.1","85.1","","","","","","","","",""
