"Step","k2 ministage eval - medmcqa@5","k2 ministage eval - medmcqa@5__MIN","k2 ministage eval - medmcqa@5__MAX","k2 eval spike 2 - medmcqa@5","k2 eval spike 2 - medmcqa@5__MIN","k2 eval spike 2 - medmcqa@5__MAX","k2 eval spike 1 - medmcqa@5","k2 eval spike 1 - medmcqa@5__MIN","k2 eval spike 1 - medmcqa@5__MAX","k2 eval - medmcqa@5","k2 eval - medmcqa@5__MIN","k2 eval - medmcqa@5__MAX"
"3","","","","","","","","","","24.8","24.8","24.8"
"6","","","","","","","","","","30.7","30.7","30.7"
"9","","","","","","","","","","25.1","25.1","25.1"
"12","","","","","","","","","","30.6","30.6","30.6"
"15","","","","","","","","","","23.2","23.2","23.2"
"18","","","","","","","","","","28.3","28.3","28.3"
"21","","","","","","","","","","26.6","26.6","26.6"
"24","","","","","","","","","","30.7","30.7","30.7"
"27","","","","","","","","","","24","24","24"
"30","","","","","","","","","","31.1","31.1","31.1"
"33","","","","","","","","","","32.7","32.7","32.7"
"36","","","","","","","","","","25.7","25.7","25.7"
"39","","","","","","","","","","23.6","23.6","23.6"
"42","","","","","","","","","","28","28","28"
"45","","","","","","","","","","27.3","27.3","27.3"
"48","","","","","","","","","","33.6","33.6","33.6"
"51","","","","","","","","","","34.6","34.6","34.6"
"54","","","","","","","","","","34.2","34.2","34.2"
"57","","","","","","","","","","35.9","35.9","35.9"
"60","","","","","","","","","","38.3","38.3","38.3"
"63","","","","","","","","","","33.6","33.6","33.6"
"66","","","","","","","","","","36.1","36.1","36.1"
"69","","","","","","","","","","38.7","38.7","38.7"
"72","","","","","","","","","","34.6","34.6","34.6"
"75","","","","","","","","","","39.1","39.1","39.1"
"78","","","","","","","","","","40.4","40.4","40.4"
"81","","","","","","","","","","39.8","39.8","39.8"
"84","","","","","","","","","","39.5","39.5","39.5"
"87","","","","","","","","","","37.7","37.7","37.7"
"90","","","","","","","","","","41.7","41.7","41.7"
"93","","","","","","","","","","40.5","40.5","40.5"
"96","","","","","","","","","","40.7","40.7","40.7"
"99","","","","","","","","","","42.1","42.1","42.1"
"102","","","","","","","","","","43.2","43.2","43.2"
"105","","","","","","","","","","43.4","43.4","43.4"
"108","","","","","","","","","","41.8","41.8","41.8"
"111","","","","","","","","","","42.6","42.6","42.6"
"114","","","","","","","","","","43.7","43.7","43.7"
"117","","","","","","","","","","41.8","41.8","41.8"
"120","","","","","","","","","","44.2","44.2","44.2"
"123","","","","","","","","","","44.9","44.9","44.9"
"126","","","","","","","","","","43.4","43.4","43.4"
"129","","","","","","","","","","44","44","44"
"132","","","","","","","","","","45.6","45.6","45.6"
"135","","","","","","","","","","43.8","43.8","43.8"
"138","","","","","","","","","","45","45","45"
"141","","","","","","","","","","45.3","45.3","45.3"
"144","","","","","","","","","","45.8","45.8","45.8"
"147","","","","","","","","","","46.8","46.8","46.8"
"150","","","","","","","","","","44.5","44.5","44.5"
"153","","","","","","","","","","48","48","48"
"156","","","","","","","","","","47.7","47.7","47.7"
"159","","","","","","","","","","47.5","47.5","47.5"
"160","","","","","","","46.5","46.5","46.5","","",""
"162","","","","","","","47","47","47","46.4","46.4","46.4"
"164","","","","","","","48.1","48.1","48.1","","",""
"165","","","","","","","","","","47.3","47.3","47.3"
"166","","","","","","","47.2","47.2","47.2","","",""
"168","","","","","","","47.7","47.7","47.7","47.8","47.8","47.8"
"170","","","","","","","46.1","46.1","46.1","","",""
"171","","","","","","","","","","48.6","48.6","48.6"
"172","","","","","","","47.1","47.1","47.1","","",""
"174","","","","","","","47.5","47.5","47.5","47.5","47.5","47.5"
"176","","","","","","","46.6","46.6","46.6","","",""
"177","","","","","","","","","","49.3","49.3","49.3"
"178","","","","","","","48.2","48.2","48.2","","",""
"180","","","","","","","48.5","48.5","48.5","48.5","48.5","48.5"
"182","","","","","","","46.6","46.6","46.6","","",""
"183","","","","","","","","","","46","46","46"
"184","","","","","","","46.6","46.6","46.6","","",""
"186","","","","48.4","48.4","48.4","46.6","46.6","46.6","48.9","48.9","48.9"
"188","","","","48.9","48.9","48.9","46.5","46.5","46.5","","",""
