"Step","training spikes - lm loss","training spikes - lm loss__MIN","training spikes - lm loss__MAX","k2 training - lm loss","k2 training - lm loss__MIN","k2 training - lm loss__MAX"
"2040","12.009223937988281","12.009223937988281","12.009223937988281","","",""
"179520","","","","7.304169654846191","7.304169654846191","7.304169654846191"
"201960","","","","7.19197940826416","7.19197940826416","7.19197940826416"
"208080","","","","7.141663074493408","7.141663074493408","7.141663074493408"
"228480","","","","7.075157642364502","7.075157642364502","7.075157642364502"
"248880","","","","6.889908790588379","6.889908790588379","6.889908790588379"
"275400","","","","6.761528968811035","6.761528968811035","6.761528968811035"
"279480","","","","6.702088356018066","6.702088356018066","6.702088356018066"
"295800","","","","6.620804786682129","6.620804786682129","6.620804786682129"
"316200","","","","6.577084064483643","6.577084064483643","6.577084064483643"
"326400","","","","6.579761981964111","6.579761981964111","6.579761981964111"
"414120","","","","6.074343681335449","6.074343681335449","6.074343681335449"
"491640","","","","5.604286193847656","5.604286193847656","5.604286193847656"
"510000","","","","5.599396705627441","5.599396705627441","5.599396705627441"
"546720","","","","5.424755573272705","5.424755573272705","5.424755573272705"
"577320","","","","5.271008014678955","5.271008014678955","5.271008014678955"
"589560","","","","5.186120510101318","5.186120510101318","5.186120510101318"
"632400","","","","5.144547462463379","5.144547462463379","5.144547462463379"
"665040","","","","5.075648307800293","5.075648307800293","5.075648307800293"
"675240","","","","5.051685810089111","5.051685810089111","5.051685810089111"
"724200","","","","4.865406513214111","4.865406513214111","4.865406513214111"
"746640","","","","4.906380653381348","4.906380653381348","4.906380653381348"
"816000","","","","4.599215507507324","4.599215507507324","4.599215507507324"
"948600","","","","4.3346757888793945","4.3346757888793945","4.3346757888793945"
"964920","","","","4.316840648651123","4.316840648651123","4.316840648651123"
"993480","","","","4.194333076477051","4.194333076477051","4.194333076477051"
"1015920","","","","4.163496017456055","4.163496017456055","4.163496017456055"
"1258680","","","","3.6324005126953125","3.6324005126953125","3.6324005126953125"
"1275000","","","","3.5694894790649414","3.5694894790649414","3.5694894790649414"
"1287240","","","","3.5236711502075195","3.5236711502075195","3.5236711502075195"
"1291320","","","","3.5521721839904785","3.5521721839904785","3.5521721839904785"
"1319880","","","","3.4705004692077637","3.4705004692077637","3.4705004692077637"
"1334160","","","","3.4487593173980713","3.4487593173980713","3.4487593173980713"
"1350480","","","","3.3972532749176025","3.3972532749176025","3.3972532749176025"
"1370880","","","","3.401560068130493","3.401560068130493","3.401560068130493"
"1377000","","","","3.359013080596924","3.359013080596924","3.359013080596924"
"1464720","","","","3.2504987716674805","3.2504987716674805","3.2504987716674805"
"1495320","","","","3.2080230712890625","3.2080230712890625","3.2080230712890625"
"1521840","","","","3.1876516342163086","3.1876516342163086","3.1876516342163086"
"1530000","","","","3.115198850631714","3.115198850631714","3.115198850631714"
"1558560","","","","3.1391279697418213","3.1391279697418213","3.1391279697418213"
"1623840","","","","3.027888774871826","3.027888774871826","3.027888774871826"
"1705440","","","","3.012850284576416","3.012850284576416","3.012850284576416"
"1707480","","","","2.995124101638794","2.995124101638794","2.995124101638794"
"1715640","","","","2.999920606613159","2.999920606613159","2.999920606613159"
"1729920","","","","2.962796449661255","2.962796449661255","2.962796449661255"
"1750320","","","","2.9416544437408447","2.9416544437408447","2.9416544437408447"
"1785000","","","","2.9618310928344727","2.9618310928344727","2.9618310928344727"
"1793160","","","","2.920536994934082","2.920536994934082","2.920536994934082"
"1813560","","","","2.898540496826172","2.898540496826172","2.898540496826172"
"1821720","","","","2.9045302867889404","2.9045302867889404","2.9045302867889404"
"1866600","","","","2.872380018234253","2.872380018234253","2.872380018234253"
"1893120","","","","2.8309078216552734","2.8309078216552734","2.8309078216552734"
"1897200","","","","2.846060037612915","2.846060037612915","2.846060037612915"
"1960440","","","","2.813062906265259","2.813062906265259","2.813062906265259"
"1962480","","","","2.813251256942749","2.813251256942749","2.813251256942749"
"1966560","","","","2.836904287338257","2.836904287338257","2.836904287338257"
"2042040","2.774082660675049","2.774082660675049","2.774082660675049","","",""
"2429640","","","","2.6405489444732666","2.6405489444732666","2.6405489444732666"
"2431680","","","","2.663050651550293","2.663050651550293","2.663050651550293"
"2450040","","","","2.6168384552001953","2.6168384552001953","2.6168384552001953"
"2507160","","","","2.6045403480529785","2.6045403480529785","2.6045403480529785"
"2523480","","","","2.5996713638305664","2.5996713638305664","2.5996713638305664"
"2525520","","","","2.611166000366211","2.611166000366211","2.611166000366211"
"2603040","","","","2.6461808681488037","2.6461808681488037","2.6461808681488037"
"2743800","","","","2.5271027088165283","2.5271027088165283","2.5271027088165283"
"2896800","","","","2.5439183712005615","2.5439183712005615","2.5439183712005615"
"3164040","","","","2.5083298683166504","2.5083298683166504","2.5083298683166504"
"3180360","","","","2.5027263164520264","2.5027263164520264","2.5027263164520264"
"3198720","","","","2.474168539047241","2.474168539047241","2.474168539047241"
"3286440","","","","2.4927964210510254","2.4927964210510254","2.4927964210510254"
"3333360","","","","2.493346691131592","2.493346691131592","2.493346691131592"
"3382320","","","","2.4571774005889893","2.4571774005889893","2.4571774005889893"
"3384360","","","","2.446617603302002","2.446617603302002","2.446617603302002"
"3431280","","","","2.450662612915039","2.450662612915039","2.450662612915039"
"3465960","","","","2.459012746810913","2.459012746810913","2.459012746810913"
"3514920","","","","2.42922043800354","2.42922043800354","2.42922043800354"
"3570000","","","","2.419989585876465","2.419989585876465","2.419989585876465"
"3578160","","","","2.3904857635498047","2.3904857635498047","2.3904857635498047"
"3651600","","","","2.4073030948638916","2.4073030948638916","2.4073030948638916"
"3692400","","","","2.386399507522583","2.386399507522583","2.386399507522583"
"3696480","","","","2.391705274581909","2.391705274581909","2.391705274581909"
"3704640","","","","2.3911712169647217","2.3911712169647217","2.3911712169647217"
"3712800","","","","2.373379707336426","2.373379707336426","2.373379707336426"
"3755640","","","","2.4109551906585693","2.4109551906585693","2.4109551906585693"
"3833160","","","","2.40746808052063","2.40746808052063","2.40746808052063"
"3845400","","","","2.395963668823242","2.395963668823242","2.395963668823242"
"3857640","","","","2.397815704345703","2.397815704345703","2.397815704345703"
"3865800","","","","2.396272659301758","2.396272659301758","2.396272659301758"
